24001, 4300 WATTS AVE, MEMPHIS, TN, 
24206, 5500 APPLE BLOSSOM RD, MEMPHIS, TN, 
24207, 5500 BENNA CV, MEMPHIS, TN, 
24208, 5500 BRANTFORD, MEMPHIS, TN, 
24209, 5500 CESSNA RD, MEMPHIS, TN, 
24210, 5500 HICKORY HILL, MEMPHIS, TN, 
24211, 5500 MEADOW LAKE DR NORTH, MEMPHIS, TN, 
24212, 5500 MEADOW LAKE N, MEMPHIS, TN, 
24213, 5500 MEADOW LAKE S, MEMPHIS, TN, 
24214, 5500 SYCAMORE GROVE LN, MEMPHIS, TN, 
24215, 5500 WHITWORTH, MEMPHIS, TN, 
24216, 5600 FAIRLANE CV, MEMPHIS, TN, 
24217, 5600 FANNIN AVE, MEMPHIS, TN, 
24218, 5600 GETWELL RD, MEMPHIS, TN, 
24219, 5600 GLENWILD, MEMPHIS, TN, 
24220, 5600 HINTON, MEMPHIS, TN, 
24221, 5600 HYACINTH, MEMPHIS, TN, 
24222, 5600 LOCH LOMOND, MEMPHIS, TN, 
24223, 5600 MAPLE TREE DR, MEMPHIS, TN, 
24224, 5600 MURFF, MEMPHIS, TN, 
24225, 5700 LOCH LOMOND, MEMPHIS, TN, 
24226, 5700 MILLBRANCH, MEMPHIS, TN, 
24227, 5700 MOUNT MORIAH RD, MEMPHIS, TN, 
24228, 5700 NEWBERRY AVE, MEMPHIS, TN, 
24229, 5700 RIDGEPOINT DR, MEMPHIS, TN, 
24230, 5700 SHELBY DR, MEMPHIS, TN, 
24231, 5700 TULIP TREE DR, MEMPHIS, TN, 
24232, 5800 BENADINE PL, MEMPHIS, TN, 
24233, 5800 BENADINE PLACE, MEMPHIS, TN, 
24234, 5800 CHALLENGE, MEMPHIS, TN, 
24235, 5800 FOXDALE RD, MEMPHIS, TN, 
24236, 5800 N SILVERCREEK DR, MEMPHIS, TN, 
24237, 5800 PLEASANT VIEW RD, MEMPHIS, TN, 
24238, 5800 POPLAR AVE RD, MEMPHIS, TN, 
24239, 5800 PRINCE CV, MEMPHIS, TN, 
24240, 5800 SUMMER TREES DR, MEMPHIS, TN, 
24241, 5800 TULIP TREE DR, MEMPHIS, TN, 
24242, 5800 WATERSTONE OAK DR, MEMPHIS, TN, 
24243, 5900 CEDAR FOREST, MEMPHIS, TN, 
24244, 5900 HICKORY GREEN, MEMPHIS, TN, 
24245, 5900 HICKORY GREENE DR, MEMPHIS, TN, 
24246, 5900 MACINNESS DR, MEMPHIS, TN, 
24247, 5900 MT MORIAH EXT, MEMPHIS, TN, 
24248, 5900 N NEWBERRY LN, MEMPHIS, TN, 
24249, 600 ADRIAN DR, MEMPHIS, TN, 
24250, 600 ARBOR HOLLOW CR, MEMPHIS, TN, 
24251, 600 BON AIR ST, MEMPHIS, TN, 
24252, 600 BONITA DR, MEMPHIS, TN, 
24253, 600 BONITA, MEMPHIS, TN, 
24254, 600 BONNELL AVE, MEMPHIS, TN, 
24255, 600 BUCK ST, MEMPHIS, TN, 
24256, 600 CHALMERS, MEMPHIS, TN, 
24257, 600 COLONIAL RD, MEMPHIS, TN, 
24258, 600 E ALSTON AVE, MEMPHIS, TN, 
24259, 600 E GEORGIA, MEMPHIS, TN, 
24260, 600 E MENDENVIEW DR, MEMPHIS, TN, 
24261, 600 E PKWY N, MEMPHIS, TN, 
24262, 600 GAGE, MEMPHIS, TN, 
24263, 600 LEONORA DR, MEMPHIS, TN, 
24264, 600 LORRAINE, MEMPHIS, TN, 
24265, 600 MAGNOLIA MOUND DR, MEMPHIS, TN, 
24266, 600 MONTEIGNE BLVD, MEMPHIS, TN, 
24267, 600 NORTH FIFTH, MEMPHIS, TN, 
24268, 600 NORTH SEVENTH, MEMPHIS, TN, 
24269, 600 NORTH SIXTH, MEMPHIS, TN, 
24270, 600 OAK COURT DRIVE, MEMPHIS, TN, 
24271, 600 OAK CT MALL, MEMPHIS, TN, 
24272, 600 PERKINS EXTENDED, MEMPHIS, TN, 
24273, 600 PRESCOTT, MEMPHIS, TN, 
24274, 600 PRINCETON OAKS CV, MEMPHIS, TN, 
24275, 600 RATLIFF, MEMPHIS, TN, 
24276, 600 S PRESCOTT ST, MEMPHIS, TN, 
24277, 600 SEVIER, MEMPHIS, TN, 
24278, 600 TILLMAN, MEMPHIS, TN, 
24279, 600 TONTO, MEMPHIS, TN, 
24280, 600 UPTOWN VILLAGE, MEMPHIS, TN, 
24281, 600 WALNUT, MEMPHIS, TN, 
24282, 600 WELLS AVE, MEMPHIS, TN, 
24283, 600 WHITESBORO AVE, MEMPHIS, TN, 
24284, 6000 BAIRD, MEMPHIS, TN, 
24285, 6000 BISHOPDALE, MEMPHIS, TN, 
24286, 6000 HICKORY RIDGE TRAIL, MEMPHIS, TN, 
24287, 6000 LITTLE BROOK CIR N, MEMPHIS, TN, 
24288, 6000 LITTLE BROOK CIRCLE NORTH, MEMPHIS, TN, 
24289, 6000 LYNNBRIER, MEMPHIS, TN, 
24290, 6000 MOUNT MORIAH, MEMPHIS, TN, 
24291, 6000 PARK TREE CV, MEMPHIS, TN, 
24292, 6000 RALEIGH LAGRANGE, MEMPHIS, TN, 
24293, 6000 SEMINARY DR, MEMPHIS, TN, 
24294, 6000 WINDMEADOW LN, MEMPHIS, TN, 
24295, 6100 BLACK WING, MEMPHIS, TN, 
24296, 6100 CEDARCREST CT, MEMPHIS, TN, 
24297, 6100 HICKORY RIDGE MALL, MEMPHIS, TN, 
24298, 6100 LITTLE BROOK CIRCLE, MEMPHIS, TN, 
24299, 6100 N LITTLEBROOK, MEMPHIS, TN, 
24300, 6100 RIDGEWICK, MEMPHIS, TN, 
24301, 6100 ROSEWIND CIRCLE, MEMPHIS, TN, 
24302, 6100 WINCHESTER AVE, MEMPHIS, TN, 
24303, 6200 BRAXTON, MEMPHIS, TN, 
24304, 6200 CRANBURY PARK, MEMPHIS, TN, 
24305, 6200 FOX RIDGE DR, MEMPHIS, TN, 
24306, 6200 GARDEN CV, MEMPHIS, TN, 
24307, 6200 HICKORY FARMS, MEMPHIS, TN, 
24308, 6200 RIDGEWICK, MEMPHIS, TN, 
24309, 6200 SUDBURY, MEMPHIS, TN, 
24310, 6200 THRUSHOAKS CV, MEMPHIS, TN, 
24311, 6300 BRIGHTWOOD DR, MEMPHIS, TN, 
24312, 6300 HOLLY PARK, MEMPHIS, TN, 
24313, 6300 MALLOCH, MEMPHIS, TN, 
24314, 6300 SUMMER AVE, MEMPHIS, TN, 
24315, 6400 AMANDA OAKS CIR N, MEMPHIS, TN, 
24316, 6400 BECKY CV, MEMPHIS, TN, 
24317, 6400 CHEEKWOOD AVE, MEMPHIS, TN, 
24318, 6400 KINGSCREST, MEMPHIS, TN, 
24319, 6400 SCARLETCREST LN, MEMPHIS, TN, 
24320, 6500 COUNTRY OAKS CIRCLE, MEMPHIS, TN, 
24321, 6500 GALLAN, MEMPHIS, TN, 
24322, 6500 LOST OAKS DR, MEMPHIS, TN, 
24323, 6500 QUAIL HOLLOW, MEMPHIS, TN, 
24324, 6500 SUMMER, MEMPHIS, TN, 
24325, 6500 WILDWIND, MEMPHIS, TN, 
24326, 6600 ASPEN BROOK LN, MEMPHIS, TN, 
24327, 6600 ASPEN BROOK, MEMPHIS, TN, 
24328, 6600 BIRCHWALK, MEMPHIS, TN, 
24329, 6600 CASTLE HEIGHTS CV, MEMPHIS, TN, 
24330, 6600 CASTLE VIEW CV, MEMPHIS, TN, 
24331, 6600 FALLING MIST LN, MEMPHIS, TN, 
24332, 6600 FERN CREEK DR, MEMPHIS, TN, 
24333, 6600 MEADOW BEND, MEMPHIS, TN, 
24334, 6600 NORTH COUNTRY OAKS, MEMPHIS, TN, 
24335, 6600 OAK CREEK CV, MEMPHIS, TN, 
24336, 6600 SPLIT OAK DR, MEMPHIS, TN, 
24337, 6600 SPLIT OAK, MEMPHIS, TN, 
24338, 6700 FRENCH CV, MEMPHIS, TN, 
24339, 6700 QUAIL CVY, MEMPHIS, TN, 
24340, 6700 WHITTEN PINE, MEMPHIS, TN, 
24341, 6800 AMERSHAM DR, MEMPHIS, TN, 
24342, 6800 CLEARY DR, MEMPHIS, TN, 
24343, 6800 GREENBARK, MEMPHIS, TN, 
24344, 6800 RACQUET CLUB, MEMPHIS, TN, 
24345, 6800 RALEIGH-LAGRANGE, MEMPHIS, TN, 
24346, 6800 SHELBY, MEMPHIS, TN, 
24347, 6900 BIRCHLAKE, MEMPHIS, TN, 
24348, 6900 LANDING WAY, MEMPHIS, TN, 
24349, 6900 REESE RD, MEMPHIS, TN, 
24350, 700 ALABAMA AVE, MEMPHIS, TN, 
24351, 700 BENHAM AVE, MEMPHIS, TN, 
24352, 700 CLIFFORD, MEMPHIS, TN, 
24353, 700 DORIAN, MEMPHIS, TN, 
24354, 700 E GAGE AVE, MEMPHIS, TN, 
24355, 700 E PERSON, MEMPHIS, TN, 
24356, 700 E PKWY, MEMPHIS, TN, 
24357, 700 FARRIS, MEMPHIS, TN, 
24358, 700 FRANK CIRCLE, MEMPHIS, TN, 
24359, 700 GEORGE RD, MEMPHIS, TN, 
24360, 700 HAMILTON ST, MEMPHIS, TN, 
24361, 700 HARAHAN RD, MEMPHIS, TN, 
24362, 700 HARBOR EDGE CIR, MEMPHIS, TN, 
24363, 700 HARRELL ST, MEMPHIS, TN, 
24364, 700 HARRY, MEMPHIS, TN, 
24365, 700 LORAINE, MEMPHIS, TN, 
24366, 700 LYMAN, MEMPHIS, TN, 
24367, 700 MARSH AVE, MEMPHIS, TN, 
24368, 700 MCCONNEL, MEMPHIS, TN, 
24369, 700 MCDAVITT PL, MEMPHIS, TN, 
24370, 700 N 5TH ST, MEMPHIS, TN, 
24371, 700 N 5TH, MEMPHIS, TN, 
24372, 700 N 6TH, MEMPHIS, TN, 
24373, 700 N BELLEVUE BLVD, MEMPHIS, TN, 
24374, 700 N EVERGREEN, MEMPHIS, TN, 
24375, 700 N HOLMES ST, MEMPHIS, TN, 
24376, 700 N MERTON ST, MEMPHIS, TN, 
24377, 700 NATIONAL ST, MEMPHIS, TN, 
24378, 700 NONCONNAH RD, MEMPHIS, TN, 
24379, 700 NORTH HIGHLAND, MEMPHIS, TN, 
24380, 700 PHILADELPHIA, MEMPHIS, TN, 
24381, 700 REGENT PL, MEMPHIS, TN, 
24382, 700 ROSEMONT, MEMPHIS, TN, 
24383, 700 S GOODLETT, MEMPHIS, TN, 
24384, 700 S PRESCOTT ST, MEMPHIS, TN, 
24385, 700 SEMMES ST, MEMPHIS, TN, 
24386, 700 SOUTH COX, MEMPHIS, TN, 
24387, 700 WESTERN, MEMPHIS, TN, 
24388, 700 WHITTINGTON, MEMPHIS, TN, 
24389, 7000 CRESTRIDGE, MEMPHIS, TN, 
24390, 7000 DUSTY TRAIL, MEMPHIS, TN, 
24391, 7000 GLENWICK, MEMPHIS, TN, 
24392, 7000 HILLINDALE DR, MEMPHIS, TN, 
24393, 7000 ROCKINGHAM RD, MEMPHIS, TN, 
24394, 7100 DANEMAN DR, MEMPHIS, TN, 
24395, 7100 HIGHWAY 64, MEMPHIS, TN, 
24396, 7100 OAK CHASE LN, MEMPHIS, TN, 
24397, 7100 ROCKINGHAM DR, MEMPHIS, TN, 
24398, 7100 TIMBER RISE CV, MEMPHIS, TN, 
24399, 7200 ATHERTON CV, MEMPHIS, TN, 
24400, 7200 COUNTRY OAKS CV, MEMPHIS, TN, 
24401, 7200 WINCHESTER AVE, MEMPHIS, TN, 
24402, 7300 EGGLESTON RD, MEMPHIS, TN, 
24403, 7300 ISHERWOOD RD, MEMPHIS, TN, 
24404, 7400 ABERCROMBIE LN, MEMPHIS, TN, 
24405, 7400 COUNTRYSIDE RD, MEMPHIS, TN, 
24406, 7500 MEADOWLAND DR, MEMPHIS, TN, 
24407, 7500 MEADOWLAND, MEMPHIS, TN, 
24408, 7500 PALGRAVE LN, MEMPHIS, TN, 
24409, 7500 STAGE, MEMPHIS, TN, 
24410, 7600 APPLING ESTATE, MEMPHIS, TN, 
24411, 7600 HIGHWAY 64, MEMPHIS, TN, 
24412, 7600 MEADOWLAND, MEMPHIS, TN, 
24413, 7600 WINCHSETER, MEMPHIS, TN, 
24414, 7700 GLENFIELD CV, MEMPHIS, TN, 
24415, 7700 SHULER DR, MEMPHIS, TN, 
24416, 7800 MORIARTY, MEMPHIS, TN, 
24417, 7800 WOLFDEN CIR, MEMPHIS, TN, 
24418, 7900 BENTWOOD CIRCLE, MEMPHIS, TN, 
24419, 7900 ELMINGTON, MEMPHIS, TN, 
24420, 800 BEASLEY, MEMPHIS, TN, 
24421, 800 BREEDLOVE ST, MEMPHIS, TN, 
24422, 800 BROOKHAVEN CIR, MEMPHIS, TN, 
24423, 800 BUCK ST, MEMPHIS, TN, 
24424, 800 CARROLLTON, MEMPHIS, TN, 
24425, 800 CARROLTON AVE, MEMPHIS, TN, 
24426, 800 CASTLE PL, MEMPHIS, TN, 
24427, 800 CROCKETT PLACE, MEMPHIS, TN, 
24428, 800 CROSSOVER, MEMPHIS, TN, 
24429, 800 E GAGE AVE, MEMPHIS, TN, 
24430, 800 GRACEWOOD ST, MEMPHIS, TN, 
24431, 800 GRANADA, MEMPHIS, TN, 
24432, 800 HIGHLAND, MEMPHIS, TN, 
24433, 800 KEEL AVE, MEMPHIS, TN, 
24434, 800 KIPLEY, MEMPHIS, TN, 
24435, 800 LESTER ST, MEMPHIS, TN, 
24436, 800 LINDEN YARD, MEMPHIS, TN, 
24437, 800 LUCILLE, MEMPHIS, TN, 
24438, 800 MONTGOMERY ST, MEMPHIS, TN, 
24439, 800 MOSS, MEMPHIS, TN, 
24440, 800 N EVERGREEN ST, MEMPHIS, TN, 
24441, 800 N FIFTH ST, MEMPHIS, TN, 
24442, 800 N SANGA, MEMPHIS, TN, 
24443, 800 NONCONNAH RD, MEMPHIS, TN, 
24444, 800 PENDELTON, MEMPHIS, TN, 
24445, 800 S COOPER ST, MEMPHIS, TN, 
24446, 800 S WILLETT, MEMPHIS, TN, 
24447, 800 STRATFORD RD, MEMPHIS, TN, 
24448, 800 SUNSTONE AVE, MEMPHIS, TN, 
24449, 800 WEST LEVI, MEMPHIS, TN, 
24450, 800 WHITESTATION, MEMPHIS, TN, 
24451, 8000 FISHER STEEL, MEMPHIS, TN, 
24452, 8100 WALNUT RUN, MEMPHIS, TN, 
24453, 8200 SHALLOW GLEN TRAIL, MEMPHIS, TN, 
24454, 8400 HONEY DEW CV, MEMPHIS, TN, 
24455, 8400 US HWY 64, MEMPHIS, TN, 
24456, 8400 WALNUT TREE DR, MEMPHIS, TN, 
24457, 8500 CREEK FRONT, MEMPHIS, TN, 
24458, 8500 OLD DEXTER RD, MEMPHIS, TN, 
24459, 8500 US HIGHWAY 64, MEMPHIS, TN, 
24460, 8600 BAY ORCHARD LN, MEMPHIS, TN, 
24461, 8600 BRER BEAR CV, MEMPHIS, TN, 
24462, 8600 STAGE RD, MEMPHIS, TN, 
24463, 8700 CHIMNEY ROCK BLVD, MEMPHIS, TN, 
24464, 8700 MACON, MEMPHIS, TN, 
24465, 8700 OVERCUP OAKS DR, MEMPHIS, TN, 
24466, 8700 ROGERS PARK, MEMPHIS, TN, 
24467, 8900 GRAND SLAM DR, MEMPHIS, TN, 
24468, 8900 MACON, MEMPHIS, TN, 
24469, 900 BIGGS ST, MEMPHIS, TN, 
24470, 900 CELLA ST, MEMPHIS, TN, 
24471, 900 CLAYBROOK ST, MEMPHIS, TN, 
24472, 900 CROCKET PL, MEMPHIS, TN, 
24473, 900 DICKERSON, MEMPHIS, TN, 
24474, 900 DOLAN RD, MEMPHIS, TN, 
24475, 900 E GEORGIA AVE, MEMPHIS, TN, 
24476, 900 GRIFFITH PL, MEMPHIS, TN, 
24477, 900 LATHAM, MEMPHIS, TN, 
24478, 900 LAUREL ST, MEMPHIS, TN, 
24479, 900 LEACREST AVE, MEMPHIS, TN, 
24480, 900 LINWOOD RD, MEMPHIS, TN, 
24481, 900 MEAGHER ST, MEMPHIS, TN, 
24482, 900 MOHAWK, MEMPHIS, TN, 
