82001, 1100 S GREER AVE, MEMPHIS, TN, 
82082, 1100 SI ORLEANS, MEMPHIS, TN, 
82083, 1100 SMITH ST, MEMPHIS, TN, 
82084, 1100 SO BELLEVUE, MEMPHIS, TN, 
82085, 1100 SO COOPER AVE, MEMPHIS, TN, 
82086, 1100 SO COX ST, MEMPHIS, TN, 
82087, 1100 SO FLORIDA UNIT 41, MEMPHIS, TN, 
82088, 1100 SO FLORIDA, MEMPHIS, TN, 
82089, 1100 SO FOUTH AVE, MEMPHIS, TN, 
82090, 1100 SO LAUDERDALE ST, MEMPHIS, TN, 
82091, 1100 SO PKWY, MEMPHIS, TN, 
82092, 1100 SO WELLINGTON ST, MEMPHIS, TN, 
82093, 1100 SO WILLETT, MEMPHIS, TN, 
82094, 1100 SOMMERVILLE, MEMPHIS, TN, 
82095, 1100 SOUTH BELLEVUE AVE, MEMPHIS, TN, 
82096, 1100 SOUTH BELLVUE, MEMPHIS, TN, 
82097, 1100 SOUTH COOPER #1, MEMPHIS, TN, 
82098, 1100 SOUTH FLORIDA ST, MEMPHIS, TN, 
82099, 1100 SOUTH GREER ST, MEMPHIS, TN, 
82100, 1100 SOUTH LAUDERDALE #1, MEMPHIS, TN, 
82101, 1100 SOUTH LAUDERDALE ST, MEMPHIS, TN, 
82102, 1100 SOUTH MCLEAN BOULEVARD, MEMPHIS, TN, 
82103, 1100 SOUTH MCLEAN ST, MEMPHIS, TN, 
82104, 1100 SOUTH OLEANS, MEMPHIS, TN, 
82105, 1100 SOUTH ORLEANS ST, MEMPHIS, TN, 
82106, 1100 SOUTH PARKWAY EAST, MEMPHIS, TN, 
82107, 1100 SOUTH PLAZA, MEMPHIS, TN, 
82108, 1100 SOUTH SADY GROVE, MEMPHIS, TN, 
82109, 1100 SOUTH SOMMERVILLE, MEMPHIS, TN, 
82110, 1100 SOUTHERN, MEMPHIS, TN, 
82111, 1100 SOUTHPARKWAY, MEMPHIS, TN, 
82112, 1100 SPANISH TRAIL LN, MEMPHIS, TN, 
82113, 1100 SPINGDALE, MEMPHIS, TN, 
82114, 1100 SPRESCOTT, MEMPHIS, TN, 
82115, 1100 SPRINGBROOK, MEMPHIS, TN, 
82116, 1100 ST CHARLES PL, MEMPHIS, TN, 
82117, 1100 ST CT, MEMPHIS, TN, 
82118, 1100 ST PIERRE, MEMPHIS, TN, 
82119, 1100 STA, MEMPHIS, TN, 
82120, 1100 STABLE RUN DR, MEMPHIS, TN, 
82121, 1100 STAFFORD PL, MEMPHIS, TN, 
82122, 1100 STEWART RD, MEMPHIS, TN, 
82123, 1100 STHIRD, MEMPHIS, TN, 
82124, 1100 STONEWALL AVE, MEMPHIS, TN, 
82125, 1100 STONWALL, MEMPHIS, TN, 
82126, 1100 STRADFORD, MEMPHIS, TN, 
82127, 1100 STRAFFORD RD, MEMPHIS, TN, 
82128, 1100 STRAFORD, MEMPHIS, TN, 
82129, 1100 STRATFORD AVE, MEMPHIS, TN, 
82130, 1100 STRATTFORD, MEMPHIS, TN, 
82131, 1100 SUMMER VILL, MEMPHIS, TN, 
82132, 1100 SWHITE STATION, MEMPHIS, TN, 
82133, 1100 TAGEN, MEMPHIS, TN, 
82134, 1100 TALLY, MEMPHIS, TN, 
82135, 1100 TAMMOND, MEMPHIS, TN, 
82136, 1100 TANGELWOOD, MEMPHIS, TN, 
82137, 1100 TANGEWOOD, MEMPHIS, TN, 
82138, 1100 TANGLEWOOD RD, MEMPHIS, TN, 
82139, 1100 TENNYSON CV, MEMPHIS, TN, 
82140, 1100 TERRI CIR, MEMPHIS, TN, 
82141, 1100 TERRY CV, MEMPHIS, TN, 
82142, 1100 TERRY, MEMPHIS, TN, 
82143, 1100 THIRD ST AND ELM, MEMPHIS, TN, 
82144, 1100 THOMAS AND MARBLE AVE, MEMPHIS, TN, 
82145, 1100 THOMAS RD, MEMPHIS, TN, 
82146, 1100 TIDERIDGE CV, MEMPHIS, TN, 
82147, 1100 TIDES RDG, MEMPHIS, TN, 
82148, 1100 TILLMAN #20, MEMPHIS, TN, 
82149, 1100 TILLMAN #3, MEMPHIS, TN, 
82150, 1100 TILLMAN #37, MEMPHIS, TN, 
82151, 1100 TILLMAN APT 20, MEMPHIS, TN, 
82152, 1100 TILLMAN AT, MEMPHIS, TN, 
82153, 1100 TILLMAN ST APT 35, MEMPHIS, TN, 
82154, 1100 TIMOTHY DR AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
82155, 1100 TREADWELL RD, MEMPHIS, TN, 
82156, 1100 TRESDWELL, MEMPHIS, TN, 
82157, 1100 TULLEY, MEMPHIS, TN, 
82158, 1100 TULLY STREET, MEMPHIS, TN, 
82159, 1100 TUNSTALL AVE, MEMPHIS, TN, 
82160, 1100 TUPELO BLDG 3, MEMPHIS, TN, 
82161, 1100 TUPLELO, MEMPHIS, TN, 
82162, 1100 TUPLO, MEMPHIS, TN, 
82163, 1100 UMIVERSITY, MEMPHIS, TN, 
82164, 1100 UNIVERSITY CABANA EAST, MEMPHIS, TN, 
82165, 1100 UNIVERSITY CABANA, MEMPHIS, TN, 
82166, 1100 UNIVERSITY CIR 2, MEMPHIS, TN, 
82167, 1100 UNVERSITY, MEMPHIS, TN, 
82168, 1100 VANUYS, MEMPHIS, TN, 
82169, 1100 VAUGHAN RD, MEMPHIS, TN, 
82170, 1100 VAUGHN ST, MEMPHIS, TN, 
82171, 1100 VOLLENTINE AVE, MEMPHIS, TN, 
82172, 1100 VOLLINETINE ST, MEMPHIS, TN, 
82173, 1100 VOLLINETINE, MEMPHIS, TN, 
82174, 1100 VOLLINTINE AVENUE, MEMPHIS, TN, 
82175, 1100 VOLLINTINE ST, MEMPHIS, TN, 
82176, 1100 VOLLITINE, MEMPHIS, TN, 
82177, 1100 VOLLUNTINE, MEMPHIS, TN, 
82178, 1100 VOLUNTINE, MEMPHIS, TN, 
82179, 1100 W BUFORD ELLINGTON DR, MEMPHIS, TN, 
82180, 1100 W HARBOR CLUB CIR, MEMPHIS, TN, 
82181, 1100 W HARBOR CLUB CIRCLE, MEMPHIS, TN, 
82182, 1100 W HOLMES #1, MEMPHIS, TN, 
82183, 1100 W LEXINGTON CIRLCE, MEMPHIS, TN, 
82184, 1100 W LEXINGTON, MEMPHIS, TN, 
82185, 1100 W MITCHELL, MEMPHIS, TN, 
82186, 1100 W MONTEBELL0, MEMPHIS, TN, 
82187, 1100 W MONTEBELLO, MEMPHIS, TN, 
82188, 1100 W QUAILBROOK, MEMPHIS, TN, 
82189, 1100 W RAINES RED, MEMPHIS, TN, 
82190, 1100 W REX, MEMPHIS, TN, 
82191, 1100 W SHANKMAN ST, MEMPHIS, TN, 
82192, 1100 W SHANKMAN, MEMPHIS, TN, 
82193, 1100 W SHANKMON CIRCLE, MEMPHIS, TN, 
82194, 1100 W SHELBY, MEMPHIS, TN, 
82195, 1100 W WALTHALL CIRCLE, MEMPHIS, TN, 
82196, 1100 W WATHAL CR, MEMPHIS, TN, 
82197, 1100 W WATHALL CIRCLE, MEMPHIS, TN, 
82198, 1100 W WATHALL, MEMPHIS, TN, 
82199, 1100 WAKINS, MEMPHIS, TN, 
82200, 1100 WALDRAN AVE, MEMPHIS, TN, 
82201, 1100 WALL ST, MEMPHIS, TN, 
82202, 1100 WALTHA, MEMPHIS, TN, 
82203, 1100 WALTHAL DR, MEMPHIS, TN, 
82204, 1100 WALTHAL ST, MEMPHIS, TN, 
82205, 1100 WARING COVE AND WARING RD, MEMPHIS, TN, 
82206, 1100 WARKINS, MEMPHIS, TN, 
82207, 1100 WATER LILLY RD, MEMPHIS, TN, 
82208, 1100 WATER LILLY TRAIL 101, MEMPHIS, TN, 
82209, 1100 WATER LILLY TRL, MEMPHIS, TN, 
82210, 1100 WATER LILY, MEMPHIS, TN, 
82211, 1100 WATERLILLY, MEMPHIS, TN, 
82212, 1100 WATERVILLE TRAIL, MEMPHIS, TN, 
82213, 1100 WATERWORK, MEMPHIS, TN, 
82214, 1100 WATHAL CIR, MEMPHIS, TN, 
82215, 1100 WATHAL ST, MEMPHIS, TN, 
82216, 1100 WATKIN6, MEMPHIS, TN, 
82217, 1100 WATKINS #5 AND 1018 WATKINS #3, MEMPHIS, TN, 
82218, 1100 WATKINS 12, MEMPHIS, TN, 
82219, 1100 WATKINS AND BROWN, MEMPHIS, TN, 
82220, 1100 WEAVER COVE, MEMPHIS, TN, 
82221, 1100 WEAVER RD, MEMPHIS, TN, 
82222, 1100 WEDGEWOOD, MEMPHIS, TN, 
82223, 1100 WELLVILLE RD, MEMPHIS, TN, 
82224, 1100 WEST GLORIA ST, MEMPHIS, TN, 
82225, 1100 WEST GLORIA, MEMPHIS, TN, 
82226, 1100 WEST HOLMES RD APT 1, MEMPHIS, TN, 
82227, 1100 WEST HOLMES RD, MEMPHIS, TN, 
82228, 1100 WEST JANICE CIR, MEMPHIS, TN, 
82229, 1100 WEST JANICE CIRCLE, MEMPHIS, TN, 
82230, 1100 WEST MITCHELL, MEMPHIS, TN, 
82231, 1100 WEST MONTEBELLO CIRCLE, MEMPHIS, TN, 
82232, 1100 WEST RAINES IKATCHAS, MEMPHIS, TN, 
82233, 1100 WEST REX RD, MEMPHIS, TN, 
82234, 1100 WEST REX ROAD, MEMPHIS, TN, 
82235, 1100 WEST SHANKMAN, MEMPHIS, TN, 
82236, 1100 WEST SHELBY DR, MEMPHIS, TN, 
82237, 1100 WEST WALTHAL CIR, MEMPHIS, TN, 
82238, 1100 WEST WALTHAL CL, MEMPHIS, TN, 
82239, 1100 WEST WALTHAL ST, MEMPHIS, TN, 
82240, 1100 WEST WALTHALL CIRCLE, MEMPHIS, TN, 
82241, 1100 WEST WATHAL CIRCLE, MEMPHIS, TN, 
82242, 1100 WEYMOUTH, MEMPHIS, TN, 
82243, 1100 WHITACRE DR, MEMPHIS, TN, 
82244, 1100 WHITACRE, MEMPHIS, TN, 
82245, 1100 WHITAKER #10, MEMPHIS, TN, 
82246, 1100 WHITAKER #14, MEMPHIS, TN, 
82247, 1100 WHITAKER #3, MEMPHIS, TN, 
82248, 1100 WHITAKER #4, MEMPHIS, TN, 
82249, 1100 WHITAKER #8, MEMPHIS, TN, 
82250, 1100 WHITAKER #9, MEMPHIS, TN, 
82251, 1100 WHITAKER 14, MEMPHIS, TN, 
82252, 1100 WHITAKER 16, MEMPHIS, TN, 
82253, 1100 WHITAKER 3, MEMPHIS, TN, 
82254, 1100 WHITAKER APARTMENT 8, MEMPHIS, TN, 
82255, 1100 WHITAKER DR #2, MEMPHIS, TN, 
82256, 1100 WHITAKER DRR, MEMPHIS, TN, 
82257, 1100 WHITAKER NUM 5, MEMPHIS, TN, 
82258, 1100 WHITAKER PLACE, MEMPHIS, TN, 
82259, 1100 WHITEFIELD, MEMPHIS, TN, 
82260, 1100 WHITEHAVEN PARK CLR SOUTH, MEMPHIS, TN, 
82261, 1100 WHITEHAVEN PARK, MEMPHIS, TN, 
82262, 1100 WHITEHAVEN RD, MEMPHIS, TN, 
82263, 1100 WHITEKER, MEMPHIS, TN, 
82264, 1100 WHITFIELD AVE, MEMPHIS, TN, 
82265, 1100 WHITFIELD ST, MEMPHIS, TN, 
82266, 1100 WHITTAKER #10, MEMPHIS, TN, 
82267, 1100 WHITTIER, MEMPHIS, TN, 
82268, 1100 WHOLMES RD, MEMPHIS, TN, 
82269, 1100 WILL SVARLET, MEMPHIS, TN, 
82270, 1100 WILLSCARLETT, MEMPHIS, TN, 
82271, 1100 WILSON, MEMPHIS, TN, 
82272, 1100 WITCHITA AVE, MEMPHIS, TN, 
82273, 1100 WITHAL, MEMPHIS, TN, 
82274, 1100 WITICHA AVE, MEMPHIS, TN, 
82275, 1100 WOLFCHASE, MEMPHIS, TN, 
82276, 1100 WOOBURY, MEMPHIS, TN, 
82277, 1100 WOODBERRY, MEMPHIS, TN, 
82278, 1100 WOODBURY ST., MEMPHIS, TN, 
82279, 1100 WOODBURY STREET, MEMPHIS, TN, 
82280, 1100 WOODLAND GLADE, MEMPHIS, TN, 
82281, 1100 WOODLAWN AVE, MEMPHIS, TN, 
82282, 1100 WOODSTONE CIRCLE, MEMPHIS, TN, 
82283, 1100 WRENWOOD AVE, MEMPHIS, TN, 
82284, 1100 WRENWOOD DR, MEMPHIS, TN, 
82285, 1100 YATES RD, MEMPHIS, TN, 
82286, 1100 YATES ST, MEMPHIS, TN, 
82287, 1100CELLA, MEMPHIS, TN, 
82288, 1106GERMANTOWN PKY, MEMPHIS, TN, 
82289, 1107SOUTH BELLEVUE BOULEVARD, MEMPHIS, TN, 
82290, 110MONROE, MEMPHIS, TN, 
82291, 11100 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
82292, 11100 STAGE RD, MEMPHIS, TN, 
82293, 11100 US 64 HWY, MEMPHIS, TN, 
82294, 11100 US HWY 64, MEMPHIS, TN, 
82295, 1110N GERMANTOWN PKWY, MEMPHIS, TN, 
82296, 1111 AND 1106 FRAYSER BLVD, MEMPHIS, TN, 
82297, 1111S ORLEANS, MEMPHIS, TN, 
82298, 1111W AND B 240 AND SAM COOPER BLVD, MEMPHIS, TN, 
82299, 1111WILSON, MEMPHIS, TN, 
82300, 1115B GETWELL RD, MEMPHIS, TN, 
82301, 1116-1118 ATLANTIC, MEMPHIS, TN, 
82302, 1119 AND 1121 NEPTUNE, MEMPHIS, TN, 
82303, 111JACKSON, MEMPHIS, TN, 
82304, 111SILVERAGE, MEMPHIS, TN, 
82305, 1120 AND 1122 N MCNEIL, MEMPHIS, TN, 
82306, 1120-1122 MCNEIL, MEMPHIS, TN, 
82307, 11200 HIGHWAY 64, MEMPHIS, TN, 
82308, 11200 HWY 64, MEMPHIS, TN, 
82309, 11200 SEMMES, MEMPHIS, TN, 
82310, 11200 US HIGHWAY 64, MEMPHIS, TN, 
82311, 1121W LEXINGTON CIR, MEMPHIS, TN, 
82312, 1127SOUTH ORLEANS, MEMPHIS, TN, 
82313, 1128BREEDLOVE, MEMPHIS, TN, 
82314, 112BELVEDERE, MEMPHIS, TN, 
82315, 112EBODLEY, MEMPHIS, TN, 
82316, 112GREENLAW, MEMPHIS, TN, 
82317, 1131SOUTHPRESCOTT, MEMPHIS, TN, 
82318, 1137KANSAS, MEMPHIS, TN, 
82319, 1137WHITAKER DR, MEMPHIS, TN, 
82320, 1139N GRAHAM, MEMPHIS, TN, 
82321, 113N BELVEDERE, MEMPHIS, TN, 
82322, 114 AND 111 HARBOR RIDGE LN SOUTH, MEMPHIS, TN, 
82323, 11400 HIGHWAY 64, MEMPHIS, TN, 
82324, 11400 WHITAKER, MEMPHIS, TN, 
82325, 1145BILTMORE, MEMPHIS, TN, 
82326, 1145LEAWOOD, MEMPHIS, TN, 
82327, 11500 HWY64, MEMPHIS, TN, 
82328, 11500 U S HIGHWAY 64, MEMPHIS, TN, 
82329, 1156JAMES ST, MEMPHIS, TN, 
82330, 115ENORWOOD, MEMPHIS, TN, 
82331, 1161FRAYSER BLVD, MEMPHIS, TN, 
82332, 1161SARAH CV, MEMPHIS, TN, 
82333, 1162 AND 1164 SAXON, MEMPHIS, TN, 
82334, 1163 AND 69 JAMERSON, MEMPHIS, TN, 
82335, 1164 AND 1166 WEST LEXINGTON CIRCLE, MEMPHIS, TN, 
82336, 1166 AND 1164 WEST LEXINGTON CIRCLE, MEMPHIS, TN, 
82337, 11700 US HWY 64, MEMPHIS, TN, 
82338, 1171BARRON, MEMPHIS, TN, 
82339, 1172DAVIS WAY, MEMPHIS, TN, 
82340, 11800 MEADOW RIVER, MEMPHIS, TN, 
82341, 11800 ROBINHOOD, MEMPHIS, TN, 
82342, 1181RIDGEWAY, MEMPHIS, TN, 
82343, 1184COVINGTON PIKE, MEMPHIS, TN, 
82344, 1184EFFIE, MEMPHIS, TN, 
82345, 1188 AND 90 MARBLE, MEMPHIS, TN, 
82346, 1188TUNICA, MEMPHIS, TN, 
82347, 11900 MULLIN STATION, MEMPHIS, TN, 
82348, 1190MARBLE, MEMPHIS, TN, 
82349, 1191EAST MALLORY, MEMPHIS, TN, 
82350, 1191MARGARET, MEMPHIS, TN, 
82351, 1195MERCHANT ST, MEMPHIS, TN, 
82352, 1199BELLEVUE, MEMPHIS, TN, 
82353, 11TH AND CHARTER, MEMPHIS, TN, 
82354, 1200 #2 FRAYSER BLVD, MEMPHIS, TN, 
82355, 1200 ACKLEN RD, MEMPHIS, TN, 
82356, 1200 AGNES PLC, MEMPHIS, TN, 
82357, 1200 AGNESS PLACE, MEMPHIS, TN, 
82358, 1200 AGNUS PLACE, MEMPHIS, TN, 
82359, 1200 AGUES, MEMPHIS, TN, 
82360, 1200 AIRWAYS BOULEVARD, MEMPHIS, TN, 
82361, 1200 AIRWAYS RD, MEMPHIS, TN, 
82362, 1200 ALANTIC, MEMPHIS, TN, 
82363, 1200 ALICE RD, MEMPHIS, TN, 
82364, 1200 ANNESDALE, MEMPHIS, TN, 
82365, 1200 APPLEWOOD, MEMPHIS, TN, 
82366, 1200 APRIL CV, MEMPHIS, TN, 
82367, 1200 APRIL WOODS APT 107, MEMPHIS, TN, 
82368, 1200 APRIL WOODS CIR APT 105, MEMPHIS, TN, 
82369, 1200 APRIL WOODS CIRCLE AVE, MEMPHIS, TN, 
82370, 1200 APRIL WOODS CIRCLE ST, MEMPHIS, TN, 
82371, 1200 APRILWOOD CR, MEMPHIS, TN, 
82372, 1200 APRILWOODS PL, MEMPHIS, TN, 
82373, 1200 APRILWOODS ST, MEMPHIS, TN, 
82374, 1200 ARGYLE ST, MEMPHIS, TN, 
82375, 1200 ATLAS ST, MEMPHIS, TN, 
82376, 1200 AUBRA AVE, MEMPHIS, TN, 
82377, 1200 AUDRA, MEMPHIS, TN, 
82378, 1200 AUDUBON RD, MEMPHIS, TN, 
82379, 1200 AUSTIN, MEMPHIS, TN, 
82380, 1200 AYRES, MEMPHIS, TN, 
82381, 1200 AZALIA #3, MEMPHIS, TN, 
82382, 1200 AZALIA 3, MEMPHIS, TN, 
82383, 1200 AZALIZA, MEMPHIS, TN, 
82384, 1200 AZILIA, MEMPHIS, TN, 
82385, 1200 B RD, MEMPHIS, TN, 
82386, 1200 BALL RD, MEMPHIS, TN, 
82387, 1200 BAMEL, MEMPHIS, TN, 
82388, 1200 BARKSDELL, MEMPHIS, TN, 
82389, 1200 BARON, MEMPHIS, TN, 
82390, 1200 BARRON # 4, MEMPHIS, TN, 
82391, 1200 BARRON 1, MEMPHIS, TN, 
82392, 1200 BARRON 7, MEMPHIS, TN, 
82393, 1200 BARRON COURT #3 ST, MEMPHIS, TN, 
82394, 1200 BARRON CT # 2, MEMPHIS, TN, 
82395, 1200 BARRON CT APARTMENT, MEMPHIS, TN, 
82396, 1200 BARRON CT ST, MEMPHIS, TN, 
82397, 1200 BARRON CT4, MEMPHIS, TN, 
82398, 1200 BARRON CTAVE, MEMPHIS, TN, 
82399, 1200 BARRON CTST, MEMPHIS, TN, 
82400, 1200 BARRON RD, MEMPHIS, TN, 
82401, 1200 BARRRON CT, MEMPHIS, TN, 
82402, 1200 BEEDLOVE APT 202, MEMPHIS, TN, 
82403, 1200 BEILVEDERE, MEMPHIS, TN, 
82404, 1200 BELCLAIR RD, MEMPHIS, TN, 
82405, 1200 BELEVEDER, MEMPHIS, TN, 
82406, 1200 BELEVERDERE, MEMPHIS, TN, 
82407, 1200 BELEVUE, MEMPHIS, TN, 
82408, 1200 BELIEVE, MEMPHIS, TN, 
82409, 1200 BELLEVEDERE, MEMPHIS, TN, 
82410, 1200 BELLEVUE BLVD AND MCLEMORE AVE, MEMPHIS, TN, 
82411, 1200 BELLVUE RD, MEMPHIS, TN, 
82412, 1200 BEVERLEY, MEMPHIS, TN, 
82413, 1200 BILMORE ST, MEMPHIS, TN, 
82414, 1200 BILTIMORE, MEMPHIS, TN, 
82415, 1200 BILTMORA, MEMPHIS, TN, 
82416, 1200 BLK APPLEBROOK LN, MEMPHIS, TN, 
82417, 1200 BLK MARGARET, MEMPHIS, TN, 
82418, 1200 BLK QUAILRIDGE LN, MEMPHIS, TN, 
82419, 1200 BLK THOMAS ST, MEMPHIS, TN, 
82420, 1200 BLK VOLLINTINE ST, MEMPHIS, TN, 
82421, 1200 BLK WESLEY DR AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
82422, 1200 BLK WINCHESTER, MEMPHIS, TN, 
82423, 1200 BLOCK EAST SHELBY AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
82424, 1200 BLOCK EAST SHELBY DR, MEMPHIS, TN, 
82425, 1200 BLOCK ELDRIDGE AVE, MEMPHIS, TN, 
82426, 1200 BLOCK KEATING, MEMPHIS, TN, 
82427, 1200 BLOCK OF AUBRA, MEMPHIS, TN, 
82428, 1200 BLOCK OF CANNON AND DOW PLACE, MEMPHIS, TN, 
82429, 1200 BLOCK OF DEXTER LN, MEMPHIS, TN, 
82430, 1200 BLOCK OF MADISON AVE, MEMPHIS, TN, 
82431, 1200 BLOCK OF MCNIEL, MEMPHIS, TN, 
82432, 1200 BLOCK OF N GERMANTOWN PKWY, MEMPHIS, TN, 
82433, 1200 BLOCK OF PACE AND ELVIS PRESLEY, MEMPHIS, TN, 
82434, 1200 BLOCK OF PATTON, MEMPHIS, TN, 
82435, 1200 BLOCK OF ROBINHOOD LN, MEMPHIS, TN, 
82436, 1200 BLOCK OF S MAIN AND FARROW AVE, MEMPHIS, TN, 
82437, 1200 BLOCK OF SO ORLEANS, MEMPHIS, TN, 
82438, 1200 BLOCK OF SPRINGBROOK, MEMPHIS, TN, 
82439, 1200 BLOCK OF SPRINGDALE, MEMPHIS, TN, 
82440, 1200 BLOCK OF VINTON, MEMPHIS, TN, 
82441, 1200 BLOCK OF VOLLINTINE AND NORTH BELLEVUE BLVD, MEMPHIS, TN, 
82442, 1200 BLOCK OF WARFORD ST, MEMPHIS, TN, 
82443, 1200 BLOCK OF WEAKLEY, MEMPHIS, TN, 
82444, 1200 BLOCK OF WINCHESTER, MEMPHIS, TN, 
82445, 1200 BLOCK RAINES AND GRACELAND, MEMPHIS, TN, 
82446, 1200 BLOCK RANGELINE, MEMPHIS, TN, 
82447, 1200 BLOCK S LEXINGTON CIRCLE, MEMPHIS, TN, 
82448, 1200 BLOCK SHELBY DR AND ELVIS PRESLEY, MEMPHIS, TN, 
82449, 1200 BLOCK WINCHESTER AND ELVIS PRESLEY, MEMPHIS, TN, 
82450, 1200 BONNIE DR, MEMPHIS, TN, 
82451, 1200 BONNIE, MEMPHIS, TN, 
82452, 1200 BOWER, MEMPHIS, TN, 
82453, 1200 BRADBERRY CV, MEMPHIS, TN, 
82454, 1200 BRADBURRY, MEMPHIS, TN, 
82455, 1200 BRADBURY AVE, MEMPHIS, TN, 
82456, 1200 BRADY HILL, MEMPHIS, TN, 
82457, 1200 BRAWER ST, MEMPHIS, TN, 
82458, 1200 BREED LOVE 212, MEMPHIS, TN, 
82459, 1200 BREEDLOVE #12, MEMPHIS, TN, 
