161001, N SECOND AND POPLAR, MEMPHIS, TN, 
161067, N WATKINS AND BURNHAM AVE, MEMPHIS, TN, 
161068, N WATKINS AND CEDARHURST, MEMPHIS, TN, 
161069, N WATKINS AND CORNING AVE, MEMPHIS, TN, 
161070, N WATKINS AND CT AVE, MEMPHIS, TN, 
161071, N WATKINS AND CT, MEMPHIS, TN, 
161072, N WATKINS AND DANNY THOMAS, MEMPHIS, TN, 
161073, N WATKINS AND DELANO AVE, MEMPHIS, TN, 
161074, N WATKINS AND DELANO RD, MEMPHIS, TN, 
161075, N WATKINS AND DELLWOOD AVE, MEMPHIS, TN, 
161076, N WATKINS AND DRIFT, MEMPHIS, TN, 
161077, N WATKINS AND DUPONT ST, MEMPHIS, TN, 
161078, N WATKINS AND EDWARDS, MEMPHIS, TN, 
161079, N WATKINS AND GALLOWAY ST, MEMPHIS, TN, 
161080, N WATKINS AND GALLOWAY, MEMPHIS, TN, 
161081, N WATKINS AND I240, MEMPHIS, TN, 
161082, N WATKINS AND I40 WB, MEMPHIS, TN, 
161083, N WATKINS AND JACKSON AVE, MEMPHIS, TN, 
161084, N WATKINS AND JAMES, MEMPHIS, TN, 
161085, N WATKINS AND KENSETT, MEMPHIS, TN, 
161086, N WATKINS AND MADISON, MEMPHIS, TN, 
161087, N WATKINS AND MCNEIL, MEMPHIS, TN, 
161088, N WATKINS AND OBERLE AVE, MEMPHIS, TN, 
161089, N WATKINS AND OBERLE, MEMPHIS, TN, 
161090, N WATKINS AND OLD MILLINGTON, MEMPHIS, TN, 
161091, N WATKINS AND OVERLY, MEMPHIS, TN, 
161092, N WATKINS AND OVERTON PARK, MEMPHIS, TN, 
161093, N WATKINS AND POPLAR, MEMPHIS, TN, 
161094, N WATKINS AND PORTLAND, MEMPHIS, TN, 
161095, N WATKINS AND ROOSEVELT AVE, MEMPHIS, TN, 
161096, N WATKINS AND ROOSEVELT, MEMPHIS, TN, 
161097, N WATKINS AND RUGBY PL, MEMPHIS, TN, 
161098, N WATKINS AND S LEXINGTON CIR, MEMPHIS, TN, 
161099, N WATKINS AND S LEXINGTON CIRCLE, MEMPHIS, TN, 
161100, N WATKINS AND SAINT ELMO, MEMPHIS, TN, 
161101, N WATKINS AND SIGNAL ST, MEMPHIS, TN, 
161102, N WATKINS AND SNOWDEN, MEMPHIS, TN, 
161103, N WATKINS AND SOMERSET ST, MEMPHIS, TN, 
161104, N WATKINS AND STEEL, MEMPHIS, TN, 
161105, N WATKINS AND THOMAS, MEMPHIS, TN, 
161106, N WATKINS AND VOLLINETINE, MEMPHIS, TN, 
161107, N WATKINS AND VOLLINTINE AVE, MEMPHIS, TN, 
161108, N WATKINS AND WARNER AVE, MEMPHIS, TN, 
161109, N WATKINS AND WHITNEY RD, MEMPHIS, TN, 
161110, N WATKINS RD AND SIGNAL ST, MEMPHIS, TN, 
161111, N WATKINS ST AND AUTUMN AVE, MEMPHIS, TN, 
161112, N WATKINS ST AND DABBS AVE, MEMPHIS, TN, 
161113, N WATKINS ST AND GALLOWAY AVE, MEMPHIS, TN, 
161114, N WATKINS ST AND GREEN TERRACE DR, MEMPHIS, TN, 
161115, N WATKINS ST AND I 40, MEMPHIS, TN, 
161116, N WATKINS ST AND I-40, MEMPHIS, TN, 
161117, N WATKINS ST AND I40, MEMPHIS, TN, 
161118, N WATKINS ST AND OBERLE RD, MEMPHIS, TN, 
161119, N WATKINS ST AND STEELE ST, MEMPHIS, TN, 
161120, N WATKINS ST AND THRIFT AVE, MEMPHIS, TN, 
161121, N WATKINS ST AND WHITNEY AVE, MEMPHIS, TN, 
161122, N WATKINS, OVERTON CROSSING, MEMPHIS, TN, 
161123, N WATKIS AND CLAIRE, MEMPHIS, TN, 
161124, N WAYNOKA CIR AND HOLMES, MEMPHIS, TN, 
161125, N WESLEY FOREST CIR AND NEELY RD, MEMPHIS, TN, 
161126, N WHITE STATION AND SUMMER AVE, MEMPHIS, TN, 
161127, N WHITESTATION RD AND WHEELIS, MEMPHIS, TN, 
161128, N WILLETT AND JACKSON, MEMPHIS, TN, 
161129, N YATES RD AND MELVIN, MEMPHIS, TN, 
161130, N YATES RD AND RICH RD, MEMPHIS, TN, 
161131, N,WATKINS AND GOWAN, MEMPHIS, TN, 
161132, N. CLAYBROOK AND COURT, MEMPHIS, TN, 
161133, N. CLAYBROOK AND POPLAR, MEMPHIS, TN, 
161134, N. GRAHAM AND CHELSEA, MEMPHIS, TN, 
161135, N. HIGHLAND AND CENTRAL, MEMPHIS, TN, 
161136, N. HIGHLAND AND LAMPHIER, MEMPHIS, TN, 
161137, N. HIGHLAND AND SOUTHERN, MEMPHIS, TN, 
161138, N. HOLLYWOOD AND DEXTER, MEMPHIS, TN, 
161139, N. HOLLYWOOD AND JAMES, MEMPHIS, TN, 
161140, N. HOLMES AND COLEMAN, MEMPHIS, TN, 
161141, N. LAUDERDALE ST, MEMPHIS, TN, 
161142, N. MANASSAS AND ADAMS, MEMPHIS, TN, 
161143, N. MENDENHAL RD AND DURBIN, MEMPHIS, TN, 
161144, N. PARKWAY AND AVALON, MEMPHIS, TN, 
161145, N. THIRD AND POPLAR, MEMPHIS, TN, 
161146, N. WATKINS AND ALTA VISTA, MEMPHIS, TN, 
161147, N. WATKINS AND DABBS, MEMPHIS, TN, 
161148, N. WATKINS AND LOUISVILLE, MEMPHIS, TN, 
161149, N. WILLETT AND MADISON, MEMPHIS, TN, 
161150, N.HIGHLAND ST AND MACON RD, MEMPHIS, TN, 
161151, N.WATKINS AND SIGNAL, MEMPHIS, TN, 
161152, NABORS WAY AND COLLINS CHAPEL, MEMPHIS, TN, 
161153, NADINE AND RANGE LINE, MEMPHIS, TN, 
161154, NANDINA AND ASHLEY HURST, MEMPHIS, TN, 
161155, NATHAN AND GRACEWOOD, MEMPHIS, TN, 
161156, NATHAN AND JOHNSON, MEMPHIS, TN, 
161157, NATIONA AND TUTWILER, MEMPHIS, TN, 
161158, NATIONAL & MACON, MEMPHIS, TN, 
161159, NATIONAL & SUMMER, MEMPHIS, TN, 
161160, NATIONAL AND BOWAN, MEMPHIS, TN, 
161161, NATIONAL AND E LLOYD CIR, MEMPHIS, TN, 
161162, NATIONAL AND FARMVILLE AVE, MEMPHIS, TN, 
161163, NATIONAL AND GIVENS, MEMPHIS, TN, 
161164, NATIONAL AND GUERSEY, MEMPHIS, TN, 
161165, NATIONAL AND GUERSNEY, MEMPHIS, TN, 
161166, NATIONAL AND GUERSNSEY, MEMPHIS, TN, 
161167, NATIONAL AND HARMONY WOODS, MEMPHIS, TN, 
161168, NATIONAL AND HARMONYWOODS CT, MEMPHIS, TN, 
161169, NATIONAL AND HAZELWOOD, MEMPHIS, TN, 
161170, NATIONAL AND HENRY, MEMPHIS, TN, 
161171, NATIONAL AND KALAHER, MEMPHIS, TN, 
161172, NATIONAL AND LAMPHIER AVE, MEMPHIS, TN, 
161173, NATIONAL AND LLOYD CIR, MEMPHIS, TN, 
161174, NATIONAL AND LLOYD CR, MEMPHIS, TN, 
161175, NATIONAL AND LLOYD, MEMPHIS, TN, 
161176, NATIONAL AND MEYER, MEMPHIS, TN, 
161177, NATIONAL AND N LLOYD, MEMPHIS, TN, 
161178, NATIONAL AND TOWNSEND, MEMPHIS, TN, 
161179, NATIONAL AND VIVIA, MEMPHIS, TN, 
161180, NATIONAL AVE AND MACON ST, MEMPHIS, TN, 
161181, NATIONAL NORTH OF FARMVILLE, MEMPHIS, TN, 
161182, NATIONAL RD AND MACON RD, MEMPHIS, TN, 
161183, NATIONAL ST AND COLEMAN AVE, MEMPHIS, TN, 
161184, NATIONAL ST AND FAXON AVE, MEMPHIS, TN, 
161185, NATIONAL ST AND GIVEN AVE, MEMPHIS, TN, 
161186, NATIONAL ST AND JACKSON AVE, MEMPHIS, TN, 
161187, NATIONAL ST AND MASON ST, MEMPHIS, TN, 
161188, NATIONAL ST AND ROSAMOND AVE, MEMPHIS, TN, 
161189, NATIONAL ST AND SUMMER AVE, MEMPHIS, TN, 
161190, NATIONAL ST SND HARDIN DR, MEMPHIS, TN, 
161191, NATIONWIDE SALVAGE YARD, MEMPHIS, TN, 
161192, NAVAHO AND AND COCHESE, MEMPHIS, TN, 
161193, NAVAHO AND CHERRY, MEMPHIS, TN, 
161194, NAVAHO AND COTTONWOOD, MEMPHIS, TN, 
161195, NAVAHO AND GOODLETT, MEMPHIS, TN, 
161196, NAVAHO AVE AND CLAUDETTE ST, MEMPHIS, TN, 
161197, NAVAJO AND SEMINOLE LN, MEMPHIS, TN, 
161198, NAYLOR AND LANSFORD, MEMPHIS, TN, 
161199, NAYLOR AND OXBOW CV, MEMPHIS, TN, 
161200, NAYLOR AND YALE, MEMPHIS, TN, 
161201, NAYLOR DR AND LANSFORD DR, MEMPHIS, TN, 
161202, NAYLOR DR AND OXBOW CV, MEMPHIS, TN, 
161203, NAYLOR LANFORD, MEMPHIS, TN, 
161204, NAYLOR ST AND LANSFORD DR, MEMPHIS, TN, 
161205, NB AUSTIN PEAY HWY AND S OF YALE RD, MEMPHIS, TN, 
161206, NB I-240 AND SOUTH OF I-40, MEMPHIS, TN, 
161207, NB I240 AND SHADY GROVE RD, MEMPHIS, TN, 
161208, NB N WATKINS AND I40, MEMPHIS, TN, 
161209, NB NEW ALLEN RD AND S OF RALEIGH FRAISER, MEMPHIS, TN, 
161210, NB RANGELINE AND SANDPIPER, MEMPHIS, TN, 
161211, NB THOMAS AND I-40, MEMPHIS, TN, 
161212, NBB KING BOULEVARD AND POPLAR AVE, MEMPHIS, TN, 
161213, NCAMILLA ST AND CT AVE, MEMPHIS, TN, 
161214, NCOX AND WASHINGTON AVE, MEMPHIS, TN, 
161215, NDUNLAP ST AND CHELSEA AVE, MEMPHIS, TN, 
161216, NEAMIAH AND FAIRWAY, MEMPHIS, TN, 
161217, NEAR 1307 AUSTIN, MEMPHIS, TN, 
161218, NEAR 1626 GRIMES, MEMPHIS, TN, 
161219, NEAR 1952 LAMAR, MEMPHIS, TN, 
161220, NEAR 199 W RED OAK, MEMPHIS, TN, 
161221, NEAR 2620 AMY LN, MEMPHIS, TN, 
161222, NEAR 268 W JOHNSON CIR, MEMPHIS, TN, 
161223, NEAR 2756 GETWELL, MEMPHIS, TN, 
161224, NEAR 2870 DEDRICK, MEMPHIS, TN, 
161225, NEAR 2884 FILMORE, MEMPHIS, TN, 
161226, NEAR 3RD AND LINDEN, MEMPHIS, TN, 
161227, NEAR 3RD AND PEABODY AVE, MEMPHIS, TN, 
161228, NEAR 450 MULBERRY ST, MEMPHIS, TN, 
161229, NEAR 5006 OWEN, MEMPHIS, TN, 
161230, NEAR 600 BLOCK DEERSKIN, MEMPHIS, TN, 
161231, NEAR 741 ADAMS, MEMPHIS, TN, 
161232, NEAR COVINGTON PIKE AND EGYPT CENTRAL, MEMPHIS, TN, 
161233, NEAR HOLLYWOOD AND CHELSEA, MEMPHIS, TN, 
161234, NEAR LYNCHBURG ST AND BRUTON AVE, MEMPHIS, TN, 
161235, NEARHERWOOD AND WILLETT, MEMPHIS, TN, 
161236, NEDRA AND BRITON, MEMPHIS, TN, 
161237, NEDRA AND N MCLEAN, MEMPHIS, TN, 
161238, NEELY & RAINES, MEMPHIS, TN, 
161239, NEELY AND APPLESTONE, MEMPHIS, TN, 
161240, NEELY AND AVANT, MEMPHIS, TN, 
161241, NEELY AND BIRCHWOOD, MEMPHIS, TN, 
161242, NEELY AND BURRWOOD, MEMPHIS, TN, 
161243, NEELY AND BURWOOD, MEMPHIS, TN, 
161244, NEELY AND DREGER, MEMPHIS, TN, 
161245, NEELY AND E RAINES, MEMPHIS, TN, 
161246, NEELY AND HODGE, MEMPHIS, TN, 
161247, NEELY AND JEANNE DR, MEMPHIS, TN, 
161248, NEELY AND JEFFERSON, MEMPHIS, TN, 
161249, NEELY AND LAWNDALE, MEMPHIS, TN, 
161250, NEELY AND LORAINE DR, MEMPHIS, TN, 
161251, NEELY AND MITCHELL RD, MEMPHIS, TN, 
161252, NEELY AND NEELY CV, MEMPHIS, TN, 
161253, NEELY AND PICKETT, MEMPHIS, TN, 
161254, NEELY AND RAINES RD, MEMPHIS, TN, 
161255, NEELY AND SHEBLY DR, MEMPHIS, TN, 
161256, NEELY AND W LEVI, MEMPHIS, TN, 
161257, NEELY AND WESLEY FOREST CIR, MEMPHIS, TN, 
161258, NEELY AND WESLEY FOREST CR, MEMPHIS, TN, 
161259, NEELY AND WESLEY FORREST CR, MEMPHIS, TN, 
161260, NEELY AND WESLEY OAK, MEMPHIS, TN, 
161261, NEELY N AND OF MADISON, MEMPHIS, TN, 
161262, NEELY RAINES, MEMPHIS, TN, 
161263, NEELY RD AND BURWOOD DR, MEMPHIS, TN, 
161264, NEELY RD AND BURWOOD, MEMPHIS, TN, 
161265, NEELY RD AND CLOWER RD, MEMPHIS, TN, 
161266, NEELY RD AND EAST LEVI RD, MEMPHIS, TN, 
161267, NEELY RD AND FAIRWAY, MEMPHIS, TN, 
161268, NEELY RD AND IVAN, MEMPHIS, TN, 
161269, NEELY RD AND LEVI RD, MEMPHIS, TN, 
161270, NEELY RD AND LEVI, MEMPHIS, TN, 
161271, NEELY RD AND LORAINE RD, MEMPHIS, TN, 
161272, NEELY RD AND MUSCOVY LN, MEMPHIS, TN, 
161273, NEELY RD AND PARKDALE DR, MEMPHIS, TN, 
161274, NEELY RD AND PICKETT DR, MEMPHIS, TN, 
161275, NEELY RD AND RAINES RD, MEMPHIS, TN, 
161276, NEELY RD AND SOUTHILL RD, MEMPHIS, TN, 
161277, NEELY RD AND SOUTHVIEW AVE, MEMPHIS, TN, 
161278, NEELY RD AND WESLEY FOREST CV, MEMPHIS, TN, 
161279, NEELY RD AND WESLEY FOREST, MEMPHIS, TN, 
161280, NEELY RD AND WESLEY FORREST, MEMPHIS, TN, 
161281, NEELY RED AND SUMMERWOOD DR, MEMPHIS, TN, 
161282, NEELY ST AND S AVANT LN, MEMPHIS, TN, 
161283, NEELY ST AND TECHNO LN, MEMPHIS, TN, 
161284, NEFFLER AND MISSISSIPPI, MEMPHIS, TN, 
161285, NEFLER AND GATHIER, MEMPHIS, TN, 
161286, NEFLER AND HERNANDO, MEMPHIS, TN, 
161287, NEFLER AND MISSISSIPPI, MEMPHIS, TN, 
161288, NEFLERE AND BARNES CT, MEMPHIS, TN, 
161289, NEHEMIAH AND FAIRWAY, MEMPHIS, TN, 
161290, NEHEMIAH AND INTERFAITH PLACE, MEMPHIS, TN, 
161291, NEISE AND KERR, MEMPHIS, TN, 
161292, NEITHERWOOD AND WILLET, MEMPHIS, TN, 
161293, NEITHERWOOD WILLET, MEMPHIS, TN, 
161294, NELIA CV AND HERMITAGE, MEMPHIS, TN, 
161295, NELLIE AND BOINGSHIRE, MEMPHIS, TN, 
161296, NELLIE RD AND HANCOCK DR, MEMPHIS, TN, 
161297, NELLY AND HOWARD, MEMPHIS, TN, 
161298, NELLY AND SULLIVAN, MEMPHIS, TN, 
161299, NELLY AND WINCHESTER, MEMPHIS, TN, 
161300, NELSON AND BLYTHE, MEMPHIS, TN, 
161301, NELSON AND BUNTYN, MEMPHIS, TN, 
161302, NELSON AND COOPER ST, MEMPHIS, TN, 
161303, NELSON AND EAST PKWY, MEMPHIS, TN, 
161304, NELSON AND PARKWAY, MEMPHIS, TN, 
161305, NELSON AND ROLAND, MEMPHIS, TN, 
161306, NELSON AND S COOPER, MEMPHIS, TN, 
161307, NELSON AVE AND BLYTHE ST, MEMPHIS, TN, 
161308, NELSON AVE AND ROZELLE ST, MEMPHIS, TN, 
161309, NELSON AVE AND S COX, MEMPHIS, TN, 
161310, NELSON ON THE ST AND EPARKWAY, MEMPHIS, TN, 
161311, NELSON RD AND PHILADELPHIA DR, MEMPHIS, TN, 
161312, NEPTUNE AND BEBE, MEMPHIS, TN, 
161313, NEPTUNE AND BEEBE, MEMPHIS, TN, 
161314, NEPTUNE AND BEEBEE, MEMPHIS, TN, 
161315, NEPTUNE AND E TRIGG, MEMPHIS, TN, 
161316, NEPTUNE AND FERRY CT, MEMPHIS, TN, 
161317, NEPTUNE AND GEORGIA, MEMPHIS, TN, 
161318, NEPTUNE AND GROVE, MEMPHIS, TN, 
161319, NEPTUNE AND HEISKELL PL, MEMPHIS, TN, 
161320, NEPTUNE AND HEISKELL PLACE, MEMPHIS, TN, 
161321, NEPTUNE AND HEISKELL, MEMPHIS, TN, 
161322, NEPTUNE AND SAXON ST, MEMPHIS, TN, 
161323, NEPTUNE AND WILLIAMS, MEMPHIS, TN, 
161324, NEPTUNE AVE AND E MCLEMORE ST, MEMPHIS, TN, 
161325, NEPTUNE ST AND MCLEMORE, MEMPHIS, TN, 
161326, NEPTUNE ST AND WALKER AVE, MEMPHIS, TN, 
161327, NEPTUNE, MEMPHIS, TN, 
161328, NESHOBA AND KIRBY, MEMPHIS, TN, 
161329, NESTER AND DOUBLETREE, MEMPHIS, TN, 
161330, NETHERWOOD AND LAPALOMA, MEMPHIS, TN, 
161331, NETHERWOOD AND MCLEMORE, MEMPHIS, TN, 
161332, NETHERWOOD AND OAKLAWN, MEMPHIS, TN, 
161333, NETHERWOOD AND S WILLETT, MEMPHIS, TN, 
161334, NETHERWOOD AND SOUTH WILLETT, MEMPHIS, TN, 
161335, NETHERWOOD AND WAVERLY, MEMPHIS, TN, 
161336, NETHERWOOD AND WILLLETT, MEMPHIS, TN, 
161337, NETHERWOOD AVE AND S WILLETT ST, MEMPHIS, TN, 
161338, NETHERWOOD AVE AND SOUTH WILLETT ST, MEMPHIS, TN, 
161339, NETHERWOOD AVE AND WILLET ST, MEMPHIS, TN, 
161340, NETHERWOOD AVE AND WILLETT ST, MEMPHIS, TN, 
161341, NETHERWOOD/KYLE, MEMPHIS, TN, 
161342, NETHERWOOD/WILLET, MEMPHIS, TN, 
161343, NETHWOOD AND WILLET, MEMPHIS, TN, 
161344, NETTLETON AND WAGNER, MEMPHIS, TN, 
161345, NETTLETON AVE AND WAGNER PL, MEMPHIS, TN, 
161346, NETUNE AND STAFFORD, MEMPHIS, TN, 
161347, NEW ALLEN AND BLUFF WOOD, MEMPHIS, TN, 
161348, NEW ALLEN AND FRAISER, MEMPHIS, TN, 
161349, NEW ALLEN AND FRASYER RALEIGH, MEMPHIS, TN, 
161350, NEW ALLEN AND FRAYSER BLV, MEMPHIS, TN, 
161351, NEW ALLEN AND HAWKINKS MILL, MEMPHIS, TN, 
161352, NEW ALLEN AND HEDGES DR, MEMPHIS, TN, 
161353, NEW ALLEN AND JAMES RD, MEMPHIS, TN, 
161354, NEW ALLEN AND KERWIN RD, MEMPHIS, TN, 
161355, NEW ALLEN AND KEYSTONE, MEMPHIS, TN, 
161356, NEW ALLEN AND NEW FRAYSER, MEMPHIS, TN, 
161357, NEW ALLEN AND OLD RALEIGH MILLINGTON, MEMPHIS, TN, 
161358, NEW ALLEN AND OLD RALEIGH-MILLINGTON, MEMPHIS, TN, 
161359, NEW ALLEN AND RICKEY, MEMPHIS, TN, 
161360, NEW ALLEN AND ROYAL ROAD, MEMPHIS, TN, 
161361, NEW ALLEN AND ROYALWOOD, MEMPHIS, TN, 
161362, NEW ALLEN AND SCENIC HILL, MEMPHIS, TN, 
161363, NEW ALLEN AND TIMBER, MEMPHIS, TN, 
161364, NEW ALLEN AND WARFORD ST, MEMPHIS, TN, 
161365, NEW ALLEN AND WHITNEY AVE, MEMPHIS, TN, 
161366, NEW ALLEN ANS EGYPT CENTRAL, MEMPHIS, TN, 
161367, NEW ALLEN BLUFF WOOD, MEMPHIS, TN, 
161368, NEW ALLEN BLUFFWOOD, MEMPHIS, TN, 
161369, NEW ALLEN DR AND WHITNEY AVE, MEMPHIS, TN, 
161370, NEW ALLEN FRAYSER, MEMPHIS, TN, 
161371, NEW ALLEN JAMES, MEMPHIS, TN, 
161372, NEW ALLEN RD AND BRAYCREST CV, MEMPHIS, TN, 
161373, NEW ALLEN RD AND FRAYSER RALEIGH, MEMPHIS, TN, 
161374, NEW ALLEN RD AND HAWKINS MILL, MEMPHIS, TN, 
161375, NEW ALLEN RD AND OLD ALLEN, MEMPHIS, TN, 
161376, NEW ALLEN RD AND SCENIC HIGHWAY, MEMPHIS, TN, 
161377, NEW ALLEN RD AND TIMBERLINE RD, MEMPHIS, TN, 
161378, NEW ALLEN RD AND WARFORD ST, MEMPHIS, TN, 
161379, NEW ALLEN RIDGEMONT, MEMPHIS, TN, 
161380, NEW ALLEN S AND B AND RIDGEMONT, MEMPHIS, TN, 
161381, NEW ALLEN ST AND EGYPT CENTRAL AVE, MEMPHIS, TN, 
161382, NEW ALLEN, MEMPHIS, TN, 
161383, NEW ALLEN/ FRAYSER RALIEGH, MEMPHIS, TN, 
161384, NEW BRUNSWICK AND WOLF CHASE MALL, MEMPHIS, TN, 
161385, NEW BRUNSWICK S AND U S HWY 64, MEMPHIS, TN, 
161386, NEW CHICAGO AND CAPITOL, MEMPHIS, TN, 
161387, NEW CHICAGO PARK, MEMPHIS, TN, 
161388, NEW CHICAGO ST AND CAPITAL AVE, MEMPHIS, TN, 
161389, NEW COVINGTON PIKE AND YALE, MEMPHIS, TN, 
161390, NEW COVINGTON PIKE AND, MEMPHIS, TN, 
161391, NEW FRAYSER RALEIGH RD AND NEW ALLEN, MEMPHIS, TN, 
161392, NEW GATE AND KINGSGATE, MEMPHIS, TN, 
161393, NEW GATE AND OUTLAND, MEMPHIS, TN, 
161394, NEW GATE AND WOODFIELD, MEMPHIS, TN, 
161395, NEW GATE DR AND BANKSIDE DR, MEMPHIS, TN, 
161396, NEW GATE DR AND KINGSGATE DR, MEMPHIS, TN, 
161397, NEW GETWELL AND LAMAR AVE, MEMPHIS, TN, 
161398, NEW GETWELL AND N DISTRIPLEX, MEMPHIS, TN, 
161399, NEW GETWELL AND VISCOUNT AVE, MEMPHIS, TN, 
161400, NEW GETWELL AND VISCOUNT, MEMPHIS, TN, 
161401, NEW GETWELL AND WHITEBROOK, MEMPHIS, TN, 
161402, NEW GETWELL RD AND PREMIER AVE, MEMPHIS, TN, 
161403, NEW HARIZON APT, MEMPHIS, TN, 
161404, NEW HAVEN TRAILER PARK, MEMPHIS, TN, 
161405, NEW HORIZON APARMENT (OLD CAZASSA CROSSING), MEMPHIS, TN, 
161406, NEW HORIZON APTS UNKNOWN ST, MEMPHIS, TN, 
161407, NEW HORIZON APTS, MEMPHIS, TN, 
161408, NEW HORN LAKE AND BROOKS, MEMPHIS, TN, 
161409, NEW HORN LAKE AND FAIRWAY, MEMPHIS, TN, 
161410, NEW HORN LAKE AND HOLMES, MEMPHIS, TN, 
161411, NEW HORN LAKE AND I-55, MEMPHIS, TN, 
161412, NEW HORN LAKE AND MITCHELL, MEMPHIS, TN, 
161413, NEW HORN LAKE AND RIVERGATE RD, MEMPHIS, TN, 
161414, NEW HORN LAKE RD AND BROOKS RD, MEMPHIS, TN, 
161415, NEW HORN LAKE RD AND RIVERGATE DR, MEMPHIS, TN, 
161416, NEW HORN LAKE RD AND W BROOKS RD, MEMPHIS, TN, 
161417, NEW HORN LAKE RD NORTH OF WEST PEBBLES, MEMPHIS, TN, 
161418, NEW HORN LAKE RD, MEMPHIS, TN, 
161419, NEW HORN LAKE/BROOKS, MEMPHIS, TN, 
161420, NEW HORNLAKE AND RIVE GATE, MEMPHIS, TN, 
161421, NEW HORNLAKE RD AND BROOKS RD, MEMPHIS, TN, 
161422, NEW HORZION APARTMENTS, MEMPHIS, TN, 
161423, NEW LONDON AND CHARLESTOWNE RD, MEMPHIS, TN, 
