133001, 6100 WALNUT GROVE RD-PARKING LOT, MEMPHIS, TN, 
133187, 6200 HICKORY FOREST, MEMPHIS, TN, 
133188, 6200 HICKORY FRAM CIR, MEMPHIS, TN, 
133189, 6200 HICKORY HILL MALL, MEMPHIS, TN, 
133190, 6200 HICKORY HILL RD, MEMPHIS, TN, 
133191, 6200 HICKORY HL, MEMPHIS, TN, 
133192, 6200 HICKORY RIDGE MALL DR, MEMPHIS, TN, 
133193, 6200 HOLLY PARK F4, MEMPHIS, TN, 
133194, 6200 HUMPHREYS, MEMPHIS, TN, 
133195, 6200 HUMPHRIES, MEMPHIS, TN, 
133196, 6200 HWY 64, MEMPHIS, TN, 
133197, 6200 HWY 70, MEMPHIS, TN, 
133198, 6200 INTERNATIONAL DR, MEMPHIS, TN, 
133199, 6200 ISLAND FORTY, MEMPHIS, TN, 
133200, 6200 IVANHOE RD, MEMPHIS, TN, 
133201, 6200 JANIS, MEMPHIS, TN, 
133202, 6200 KIGHTBRIDGE, MEMPHIS, TN, 
133203, 6200 KIGHTSBRIDGE DR, MEMPHIS, TN, 
133204, 6200 KIMNER DR, MEMPHIS, TN, 
133205, 6200 KIRBY TREE DR, MEMPHIS, TN, 
133206, 6200 KITTY DR, MEMPHIS, TN, 
133207, 6200 KNIGHT ARKNOLD, MEMPHIS, TN, 
133208, 6200 KNIGHT ARNOLD DR, MEMPHIS, TN, 
133209, 6200 KNIGHT ARNOLD EXTENDED, MEMPHIS, TN, 
133210, 6200 KNIGHT ARNOLD R, MEMPHIS, TN, 
133211, 6200 KNIGHT ARNOLD RD AND RIDGEWAY RD, MEMPHIS, TN, 
133212, 6200 KNIGHT ARNOLD RD EXTD, MEMPHIS, TN, 
133213, 6200 KNIGHT ARNOLD RD STE 101, MEMPHIS, TN, 
133214, 6200 KNIGHT ARNOLD ROAD EXT, MEMPHIS, TN, 
133215, 6200 KNIGHT ARNOLD ROAD, MEMPHIS, TN, 
133216, 6200 KNIGHT ARNOLD SUITE 105, MEMPHIS, TN, 
133217, 6200 KNIGHT ARONLD EXT, MEMPHIS, TN, 
133218, 6200 KNIGHT BR, MEMPHIS, TN, 
133219, 6200 KNIGHT RD, MEMPHIS, TN, 
133220, 6200 KNIGHT RIDGE, MEMPHIS, TN, 
133221, 6200 KNIGHTARNOLD EXT, MEMPHIS, TN, 
133222, 6200 KNIGHTBRIDGE CIR, MEMPHIS, TN, 
133223, 6200 KNIGHTS BIRDGE, MEMPHIS, TN, 
133224, 6200 KNIGHTS BRIDGE CIR, MEMPHIS, TN, 
133225, 6200 KNIGHTS BRIDGE CR, MEMPHIS, TN, 
133226, 6200 KNIGHTS BRIDGE LN, MEMPHIS, TN, 
133227, 6200 KNIGHTS BRIDGE RD, MEMPHIS, TN, 
133228, 6200 KNIGHTSBRIDGE CR, MEMPHIS, TN, 
133229, 6200 KNIGHTSBRIDGE RD, MEMPHIS, TN, 
133230, 6200 KNIGTSBRIDGE, MEMPHIS, TN, 
133231, 6200 LACEYWOOD, MEMPHIS, TN, 
133232, 6200 LITTLEBROOK CIR S, MEMPHIS, TN, 
133233, 6200 LIVE OAK CIR, MEMPHIS, TN, 
133234, 6200 LIVE OAK DR, MEMPHIS, TN, 
133235, 6200 LIVE OAKS CV, MEMPHIS, TN, 
133236, 6200 LIVEOAK CV, MEMPHIS, TN, 
133237, 6200 MACAN, MEMPHIS, TN, 
133238, 6200 MACINESS, MEMPHIS, TN, 
133239, 6200 MACON 101, MEMPHIS, TN, 
133240, 6200 MACON 5, MEMPHIS, TN, 
133241, 6200 MACON AVE, MEMPHIS, TN, 
133242, 6200 MACON RD 1, MEMPHIS, TN, 
133243, 6200 MACON RD SUITE 101, MEMPHIS, TN, 
133244, 6200 MACON RD SUITE 5, MEMPHIS, TN, 
133245, 6200 MACON RD, SUITE 2, MEMPHIS, TN, 
133246, 6200 MACON ST, MEMPHIS, TN, 
133247, 6200 MACON SUITE 2, MEMPHIS, TN, 
133248, 6200 MACOON, MEMPHIS, TN, 
133249, 6200 MARIAH TRAIL, MEMPHIS, TN, 
133250, 6200 MATEO SQUARE, MEMPHIS, TN, 
133251, 6200 MCKELLAR WOODS DR, MEMPHIS, TN, 
133252, 6200 MCREE ST, MEMPHIS, TN, 
133253, 6200 MISSIONRIDGE, MEMPHIS, TN, 
133254, 6200 MOARY CV, MEMPHIS, TN, 
133255, 6200 MOLSON WOOD, MEMPHIS, TN, 
133256, 6200 MONTACELLO LN, MEMPHIS, TN, 
133257, 6200 MORAH LN, MEMPHIS, TN, 
133258, 6200 MORAY CV, MEMPHIS, TN, 
133259, 6200 MORIAH LN, MEMPHIS, TN, 
133260, 6200 MORIAH, MEMPHIS, TN, 
133261, 6200 MOUNT MARIAH EXT, MEMPHIS, TN, 
133262, 6200 MOUNT MARIAH RD, MEMPHIS, TN, 
133263, 6200 MOUNT MORIAH ROAD EXTENDED ROAD, MEMPHIS, TN, 
133264, 6200 MR MORIAH EXT, MEMPHIS, TN, 
133265, 6200 MT MORIAH 103, MEMPHIS, TN, 
133266, 6200 MT MORIAH EXT, STE 103, MEMPHIS, TN, 
133267, 6200 MT MORIAH RD EXTD, MEMPHIS, TN, 
133268, 6200 MT MORIAH ST, MEMPHIS, TN, 
133269, 6200 MT MORIAH SUITE 111, MEMPHIS, TN, 
133270, 6200 MT MOUNT MORIAH, MEMPHIS, TN, 
133271, 6200 MT. MORIAH, MEMPHIS, TN, 
133272, 6200 MTMORIAH RD, MEMPHIS, TN, 
133273, 6200 MULLOCH, MEMPHIS, TN, 
133274, 6200 N SHELBY OAKS DR, MEMPHIS, TN, 
133275, 6200 NIGHTS BRIDGE DR, MEMPHIS, TN, 
133276, 6200 OAKWIND, MEMPHIS, TN, 
133277, 6200 OLD BROMPTON CIRCLE, MEMPHIS, TN, 
133278, 6200 OLD POPLAR PIKE, ROOM #513, MEMPHIS, TN, 
133279, 6200 PEBBLE BEACH DR, MEMPHIS, TN, 
133280, 6200 PEEBLEBEACH, MEMPHIS, TN, 
133281, 6200 PLEASANT HILL RD, MEMPHIS, TN, 
133282, 6200 POLAR AVE, MEMPHIS, TN, 
133283, 6200 POPLAR AVE # 150, MEMPHIS, TN, 
133284, 6200 POPLAR AVE #146, MEMPHIS, TN, 
133285, 6200 POPLAR AVE 146, MEMPHIS, TN, 
133286, 6200 POPLAR AVE RD, MEMPHIS, TN, 
133287, 6200 POPLAR AVE SUITE 105, MEMPHIS, TN, 
133288, 6200 POPLAR PIKE EXT, MEMPHIS, TN, 
133289, 6200 POPLAR SUITE 119, MEMPHIS, TN, 
133290, 6200 POPOLAR PIKE, MEMPHIS, TN, 
133291, 6200 QUAIL CVY DR, MEMPHIS, TN, 
133292, 6200 QUINCE AVE, MEMPHIS, TN, 
133293, 6200 QUINCE ROAD, MEMPHIS, TN, 
133294, 6200 QUNICE RD, MEMPHIS, TN, 
133295, 6200 RAINTREE DRIVE, MEMPHIS, TN, 
133296, 6200 RAINTREE ST, MEMPHIS, TN, 
133297, 6200 RATLIFF LN, MEMPHIS, TN, 
133298, 6200 RAVENOAK DR, MEMPHIS, TN, 
133299, 6200 RAVENOAKS, MEMPHIS, TN, 
133300, 6200 RHYTHM, MEMPHIS, TN, 
133301, 6200 RIDGE MANOR, MEMPHIS, TN, 
133302, 6200 RIDGE WAY, MEMPHIS, TN, 
133303, 6200 RIDGE WYCK, MEMPHIS, TN, 
133304, 6200 RIDGELINE RD, MEMPHIS, TN, 
133305, 6200 RIDGEWAY BLDV, MEMPHIS, TN, 
133306, 6200 RIDGEWAY BOULEVARD, MEMPHIS, TN, 
133307, 6200 RIDGEWAY CROSSING, MEMPHIS, TN, 
133308, 6200 RIDGEWAY ROAD, MEMPHIS, TN, 
133309, 6200 RIDGEWAY XING, MEMPHIS, TN, 
133310, 6200 RIDGEWAY#43, MEMPHIS, TN, 
133311, 6200 RIDGEWHICK, MEMPHIS, TN, 
133312, 6200 RIDGEWICH, MEMPHIS, TN, 
133313, 6200 RIDGEWYCH, MEMPHIS, TN, 
133314, 6200 RIDGEWYCK 1, MEMPHIS, TN, 
133315, 6200 RIDGEWYCK DRIVE, MEMPHIS, TN, 
133316, 6200 RIDGWICK, MEMPHIS, TN, 
133317, 6200 RIDGWYCK DR, MEMPHIS, TN, 
133318, 6200 RIGDEWICK, MEMPHIS, TN, 
133319, 6200 S COUNTRY OAKS CIR, MEMPHIS, TN, 
133320, 6200 SAGE BRUSH DR, MEMPHIS, TN, 
133321, 6200 SAGEBRUSH APT 3, MEMPHIS, TN, 
133322, 6200 SAGEBUSH, MEMPHIS, TN, 
133323, 6200 SCARELETT DR, MEMPHIS, TN, 
133324, 6200 SCARLET LEAF AVE, MEMPHIS, TN, 
133325, 6200 SCARLET LEAF RD, MEMPHIS, TN, 
133326, 6200 SCARLET, MEMPHIS, TN, 
133327, 6200 SCARLETLEAF DR, MEMPHIS, TN, 
133328, 6200 SCARLETS LEAF DR, MEMPHIS, TN, 
133329, 6200 SCARLETT LEAF RD, MEMPHIS, TN, 
133330, 6200 SELKIRK DR, MEMPHIS, TN, 
133331, 6200 SHADOW CV FALL, MEMPHIS, TN, 
133332, 6200 SHADOW FALLS, MEMPHIS, TN, 
133333, 6200 SHADOWFALL DR, MEMPHIS, TN, 
133334, 6200 SHADOWFALLS CV, MEMPHIS, TN, 
133335, 6200 SHADY GROVE RD, MEMPHIS, TN, 
133336, 6200 SHADY OAKS DR, MEMPHIS, TN, 
133337, 6200 SHAWDOWFALL CV, MEMPHIS, TN, 
133338, 6200 SHEBLY OAKS DR, MEMPHIS, TN, 
133339, 6200 SHEBLY OAKS DRIVR, MEMPHIS, TN, 
133340, 6200 SHELBY 0AK, MEMPHIS, TN, 
133341, 6200 SHELBY DRIVE, MEMPHIS, TN, 
133342, 6200 SHELBY OAK, MEMPHIS, TN, 
133343, 6200 SHELBY OAKS DRR, MEMPHIS, TN, 
133344, 6200 SHELBY OAKS EAST, MEMPHIS, TN, 
133345, 6200 SHELBY OAKS GARDEN TREE HOTEL DRIVE, MEMPHIS, TN, 
133346, 6200 SHELBY OAKS RD AND SYCAMORE VIEW, MEMPHIS, TN, 
133347, 6200 SHELBY OAKS RM 329, MEMPHIS, TN, 
133348, 6200 SHELBY OAKS ROOM 423, MEMPHIS, TN, 
133349, 6200 SHELBY OAKS, RM 346, MEMPHIS, TN, 
133350, 6200 SHELBY RD, MEMPHIS, TN, 
133351, 6200 SHELBY UNIT 8093, MEMPHIS, TN, 
133352, 6200 SHELBY VIEW, MEMPHIS, TN, 
133353, 6200 SHELBY, MEMPHIS, TN, 
133354, 6200 SHELLBY OAKS, MEMPHIS, TN, 
133355, 6200 SHLEBY OAKS RD, MEMPHIS, TN, 
133356, 6200 SOLWAY, MEMPHIS, TN, 
133357, 6200 SOUTHHAMPTON, MEMPHIS, TN, 
133358, 6200 SPRING WIND CV, MEMPHIS, TN, 
133359, 6200 SPRINGWIND, MEMPHIS, TN, 
133360, 6200 SQUIRE CT, MEMPHIS, TN, 
133361, 6200 STAGE BRUSH LN, MEMPHIS, TN, 
133362, 6200 STAGE RD, MEMPHIS, TN, 
133363, 6200 STONEBRIOOK, MEMPHIS, TN, 
133364, 6200 SUBBURY, MEMPHIS, TN, 
133365, 6200 SUDBURRY LN, MEMPHIS, TN, 
133366, 6200 SUDBURY 202, MEMPHIS, TN, 
133367, 6200 SUDBURY APT 103, MEMPHIS, TN, 
133368, 6200 SUDBURY PLACE, MEMPHIS, TN, 
133369, 6200 SUDBURY RD, MEMPHIS, TN, 
133370, 6200 SUMMER 38134, MEMPHIS, TN, 
133371, 6200 SUMMER HILL CL, MEMPHIS, TN, 
133372, 6200 SUMMER HILLS CL, MEMPHIS, TN, 
133373, 6200 SUMMER HILLS CV, MEMPHIS, TN, 
133374, 6200 SUMMER SUITE 102, MEMPHIS, TN, 
133375, 6200 SUMMERHILL, MEMPHIS, TN, 
133376, 6200 SYCAMORE VIEW RD, MEMPHIS, TN, 
133377, 6200 SYCAMOREVIEW, MEMPHIS, TN, 
133378, 6200 SYNDER RD, MEMPHIS, TN, 
133379, 6200 TAELON, MEMPHIS, TN, 
133380, 6200 TALEN, MEMPHIS, TN, 
133381, 6200 TALLEN DR, MEMPHIS, TN, 
133382, 6200 TALLENT DR, MEMPHIS, TN, 
133383, 6200 TALLON DR, MEMPHIS, TN, 
133384, 6200 TALLON, MEMPHIS, TN, 
133385, 6200 TALON #138, MEMPHIS, TN, 
133386, 6200 TALON APT 156E, MEMPHIS, TN, 
133387, 6200 TALON CV, MEMPHIS, TN, 
133388, 6200 TALON DR APT 173, MEMPHIS, TN, 
133389, 6200 TALON DR DR, MEMPHIS, TN, 
133390, 6200 TALON DR EAST, MEMPHIS, TN, 
133391, 6200 TALON DRIVE, MEMPHIS, TN, 
133392, 6200 TALON DT, MEMPHIS, TN, 
133393, 6200 TALON RD, MEMPHIS, TN, 
133394, 6200 THRUSH OAKS CV, MEMPHIS, TN, 
133395, 6200 THRUSHOAKS LN, MEMPHIS, TN, 
133396, 6200 TROUTVALLEY CV, MEMPHIS, TN, 
133397, 6200 TROUTVALLEY, MEMPHIS, TN, 
133398, 6200 TYROL CT, MEMPHIS, TN, 
133399, 6200 VALLEY DALE DR, MEMPHIS, TN, 
133400, 6200 VALLEY DALE, MEMPHIS, TN, 
133401, 6200 VALLEY PARK, MEMPHIS, TN, 
133402, 6200 VALLEYDALE 38141, MEMPHIS, TN, 
133403, 6200 VALLEYDALE DRIVE, MEMPHIS, TN, 
133404, 6200 VALLEYDALE RD, MEMPHIS, TN, 
133405, 6200 VALLYEDALE, MEMPHIS, TN, 
133406, 6200 VILLAGE GROOVE, MEMPHIS, TN, 
133407, 6200 VILLAGE GROVC, MEMPHIS, TN, 
133408, 6200 VILLAGE GROVE APT 2, MEMPHIS, TN, 
133409, 6200 VILLAGE GROVE LANE, MEMPHIS, TN, 
133410, 6200 W RIVER TRACE DR, MEMPHIS, TN, 
133411, 6200 W RIVERTRACE, MEMPHIS, TN, 
133412, 6200 WALNUT BROVE, MEMPHIS, TN, 
133413, 6200 WALUNT GROVE, MEMPHIS, TN, 
133414, 6200 WATER STONE OAKWAY, MEMPHIS, TN, 
133415, 6200 WATERSTONE LANDING, MEMPHIS, TN, 
133416, 6200 WATERSTONE LN, MEMPHIS, TN, 
133417, 6200 WATERSTONE OAK DR, MEMPHIS, TN, 
133418, 6200 WATERSTONE OAK WAY, APT 201, MEMPHIS, TN, 
133419, 6200 WATERSTONE OAKS WAY, MEMPHIS, TN, 
133420, 6200 WATERSTONE OAKWAY DR, MEMPHIS, TN, 
133421, 6200 WATERSTONE OAKWAY ST, MEMPHIS, TN, 
133422, 6200 WATERSTONEA OK WAY, MEMPHIS, TN, 
133423, 6200 WATERSTONR OAK WAY, MEMPHIS, TN, 
133424, 6200 WICHESTER, MEMPHIS, TN, 
133425, 6200 WILD OAKS DR, MEMPHIS, TN, 
133426, 6200 WILD OAKS, MEMPHIS, TN, 
133427, 6200 WINCHESTER ROAD, MEMPHIS, TN, 
133428, 6200 WOODS EDGE, MEMPHIS, TN, 
133429, 6201HAILEY RD, MEMPHIS, TN, 
133430, 621-625 N 5TH ST, MEMPHIS, TN, 
133431, 6217 AND 6219 MT MORIAH EXT, MEMPHIS, TN, 
133432, 621ASPIRE, MEMPHIS, TN, 
133433, 62500 ARBORWOOD DR, MEMPHIS, TN, 
133434, 6266LAKE ARBOR PLACE, MEMPHIS, TN, 
133435, 626CHARLESTON CT, MEMPHIS, TN, 
133436, 62700 RAINBROOK LN, MEMPHIS, TN, 
133437, 6285ARBOR CREEK TRAIL, MEMPHIS, TN, 
133438, 6294THISTLEBROOK, MEMPHIS, TN, 
133439, 6300 A SHELBY DR, MEMPHIS, TN, 
133440, 6300 ALIBI, MEMPHIS, TN, 
133441, 6300 AMERSHAM RD, MEMPHIS, TN, 
133442, 6300 ARBOR CREAK TRAIL, MEMPHIS, TN, 
133443, 6300 ARBOR CREEK APT 302, MEMPHIS, TN, 
133444, 6300 ARBOR CREEK BLD 7, MEMPHIS, TN, 
133445, 6300 ARBOR CREEK LN, MEMPHIS, TN, 
133446, 6300 ARBOR CREEK TL, MEMPHIS, TN, 
133447, 6300 ARBOR CREEK TR DR, MEMPHIS, TN, 
133448, 6300 ARBOR CREEK TR RD, MEMPHIS, TN, 
133449, 6300 ARBOR CREEK TR, MEMPHIS, TN, 
