141001, 8700 SUNNYVALE S, MEMPHIS, TN, 
141139, 88900 CHIMNEYROCK, MEMPHIS, TN, 
141140, 889SPRINGDALE RUN, MEMPHIS, TN, 
141141, 88E TRIGG, MEMPHIS, TN, 
141142, 8900 ARBOR CIRCLE LN, MEMPHIS, TN, 
141143, 8900 ARBOR GATE CV, MEMPHIS, TN, 
141144, 8900 ARBORGATE, MEMPHIS, TN, 
141145, 8900 ASPEN VIEW CV, MEMPHIS, TN, 
141146, 8900 BAZEBERRY, MEMPHIS, TN, 
141147, 8900 BEACHWOOD CV, MEMPHIS, TN, 
141148, 8900 BECCA POINT, MEMPHIS, TN, 
141149, 8900 BEECHWOOD, MEMPHIS, TN, 
141150, 8900 BERRYHILL RD, MEMPHIS, TN, 
141151, 8900 BREDBURY CV E, MEMPHIS, TN, 
141152, 8900 BREDBURY, MEMPHIS, TN, 
141153, 8900 BRIARWOOD CV, MEMPHIS, TN, 
141154, 8900 BURNT HINES, MEMPHIS, TN, 
141155, 8900 BURNT PINES, MEMPHIS, TN, 
141156, 8900 CAMPALODONE, MEMPHIS, TN, 
141157, 8900 CAPALDINO, MEMPHIS, TN, 
141158, 8900 CARROLLWOOD DR EAST, MEMPHIS, TN, 
141159, 8900 CARROLLWOOD, MEMPHIS, TN, 
141160, 8900 CEDAR CHEST, MEMPHIS, TN, 
141161, 8900 CEDAR MILLS CIRCLE, MEMPHIS, TN, 
141162, 8900 CEDAR MILLS CR, MEMPHIS, TN, 
141163, 8900 CEDAR MILLS, MEMPHIS, TN, 
141164, 8900 CEDARCHASE CV, MEMPHIS, TN, 
141165, 8900 CHAMPALDINO AVE, MEMPHIS, TN, 
141166, 8900 CHEMNEY ROCK, MEMPHIS, TN, 
141167, 8900 CHERRY SPG, MEMPHIS, TN, 
141168, 8900 CHERRY SPRINGS DR, MEMPHIS, TN, 
141169, 8900 CHERRY TREE CV, MEMPHIS, TN, 
141170, 8900 CHIMMEYROCK BLVD, MEMPHIS, TN, 
141171, 8900 CHIMMNEY ROCK, MEMPHIS, TN, 
141172, 8900 CHIMNEY ROCK PKWY, MEMPHIS, TN, 
141173, 8900 CHIMNEY ROCK RD, MEMPHIS, TN, 
141174, 8900 CLASSIC, MEMPHIS, TN, 
141175, 8900 CORDOVA STATION, MEMPHIS, TN, 
141176, 8900 CORONA N RD, MEMPHIS, TN, 
141177, 8900 CORTONA CIR N, MEMPHIS, TN, 
141178, 8900 CORTONA CIR, MEMPHIS, TN, 
141179, 8900 CORTONA CIRCLE, MEMPHIS, TN, 
141180, 8900 CROCKETT, MEMPHIS, TN, 
141181, 8900 DELP RD, MEMPHIS, TN, 
141182, 8900 DEWBERRY RD, MEMPHIS, TN, 
141183, 8900 DEXTER ST, MEMPHIS, TN, 
141184, 8900 E PLANTATION OAKS, MEMPHIS, TN, 
141185, 8900 EATONWICH DR, MEMPHIS, TN, 
141186, 8900 EATONWICK FAIRWAY, MEMPHIS, TN, 
141187, 8900 FAIRWAY GARDEN DR, MEMPHIS, TN, 
141188, 8900 FAIRWAY GARDENS, MEMPHIS, TN, 
141189, 8900 FLAME LEAF, MEMPHIS, TN, 
141190, 8900 FLETCHER CREEK, MEMPHIS, TN, 
141191, 8900 FLETCHER FOLK CV, MEMPHIS, TN, 
141192, 8900 FLETCHER FORK CV, MEMPHIS, TN, 
141193, 8900 FLETCHER FORK, MEMPHIS, TN, 
141194, 8900 FLETCHERS FORK CV, MEMPHIS, TN, 
141195, 8900 FORREST RIDGE CV, MEMPHIS, TN, 
141196, 8900 FORRET BREEZE DR, MEMPHIS, TN, 
141197, 8900 GERMANTOWN PKWY, MEMPHIS, TN, 
141198, 8900 GOOSE BERRY CV, MEMPHIS, TN, 
141199, 8900 GOOSEBERRY CV, MEMPHIS, TN, 
141200, 8900 GRAANDBURY, MEMPHIS, TN, 
141201, 8900 GRAND SLAM RD, MEMPHIS, TN, 
141202, 8900 GRANDBERRY PL, MEMPHIS, TN, 
141203, 8900 GRANDBERRY, MEMPHIS, TN, 
141204, 8900 GRANDBURY DR, MEMPHIS, TN, 
141205, 8900 GRANDSLAM, MEMPHIS, TN, 
141206, 8900 GRASMERE PL, MEMPHIS, TN, 
141207, 8900 GRASMERE PLACE, MEMPHIS, TN, 
141208, 8900 HAMPTON COURT E, MEMPHIS, TN, 
141209, 8900 HAMPTON CT RD E, MEMPHIS, TN, 
141210, 8900 HIDDEN SPRINGS CR, MEMPHIS, TN, 
141211, 8900 JACKSON, MEMPHIS, TN, 
141212, 8900 JOHNSTON, MEMPHIS, TN, 
141213, 8900 KENBROOK CV, MEMPHIS, TN, 
141214, 8900 LAKE EDGE CV EAST, MEMPHIS, TN, 
141215, 8900 LAKE EDGE CV, MEMPHIS, TN, 
141216, 8900 LAKES EDGE, MEMPHIS, TN, 
141217, 8900 LINDSTORM CV, MEMPHIS, TN, 
141218, 8900 LYBROOK CV, MEMPHIS, TN, 
141219, 8900 LYNBROOK CV, MEMPHIS, TN, 
141220, 8900 MAGNOLIA LEAF, MEMPHIS, TN, 
141221, 8900 MAY ORCHARD LN, MEMPHIS, TN, 
141222, 8900 MAYTHORN CV, MEMPHIS, TN, 
141223, 8900 MEADOW RIDGE CV WEST, MEMPHIS, TN, 
141224, 8900 MT PISGAH, MEMPHIS, TN, 
141225, 8900 N CORTONA CIRCLE, MEMPHIS, TN, 
141226, 8900 N ROCKY POINT, MEMPHIS, TN, 
141227, 8900 NEW BRUNSWICK RD, MEMPHIS, TN, 
141228, 8900 NIBLIK CV, MEMPHIS, TN, 
141229, 8900 NORTH CARTONA CIR, MEMPHIS, TN, 
141230, 8900 OAKHEDGE, MEMPHIS, TN, 
141231, 8900 ORCHARD PARK, MEMPHIS, TN, 
141232, 8900 OVERLEAF CV, MEMPHIS, TN, 
141233, 8900 OVERLEQ CV, MEMPHIS, TN, 
141234, 8900 PLANTATION OAK CV, MEMPHIS, TN, 
141235, 8900 PLANTATION OAKS DR, MEMPHIS, TN, 
141236, 8900 PLANTATION OAKS, MEMPHIS, TN, 
141237, 8900 PLANTATION PLACE CV, MEMPHIS, TN, 
141238, 8900 PLANTATION TRIAL CV, MEMPHIS, TN, 
141239, 8900 RASBERRY LN, MEMPHIS, TN, 
141240, 8900 RIDGEWAY LOOP RD 107, MEMPHIS, TN, 
141241, 8900 RIVE RISE DR, MEMPHIS, TN, 
141242, 8900 RIVER RISE ST, MEMPHIS, TN, 
141243, 8900 RIVER WOOD FARM, MEMPHIS, TN, 
141244, 8900 RIVERRISE, MEMPHIS, TN, 
141245, 8900 ROCKY POINT RD, MEMPHIS, TN, 
141246, 8900 ROCKY POINT, MEMPHIS, TN, 
141247, 8900 ROCKYPOINT RD, MEMPHIS, TN, 
141248, 8900 SANGA RD, MEMPHIS, TN, 
141249, 8900 SUTTLE CV, MEMPHIS, TN, 
141250, 8900 W TURNBERRY RD, MEMPHIS, TN, 
141251, 8900 W TURNBERRY, MEMPHIS, TN, 
141252, 8900 WALNUT GROVE RD, MEMPHIS, TN, 
141253, 8900 WALNUT GRV, MEMPHIS, TN, 
141254, 8900 WALNUT HILLS APTS, MEMPHIS, TN, 
141255, 8900 WALUNT HL, MEMPHIS, TN, 
141256, 8900 WENHAM CV W, MEMPHIS, TN, 
141257, 8900 WENHAM CV WEST, MEMPHIS, TN, 
141258, 8900 WEST TURNBERRY PLACE, MEMPHIS, TN, 
141259, 8900 WHENHAM, MEMPHIS, TN, 
141260, 8900 WOOD MILL EAST, MEMPHIS, TN, 
141261, 8900 WOOD MILLS COVE E, MEMPHIS, TN, 
141262, 891MEAGHER, MEMPHIS, TN, 
141263, 8971HWY 64, MEMPHIS, TN, 
141264, 900 #15 BARTLETT RD, MEMPHIS, TN, 
141265, 900 1 AND 2 DECATUR, MEMPHIS, TN, 
141266, 900 3RD, MEMPHIS, TN, 
141267, 900 5TH, MEMPHIS, TN, 
141268, 900 7TH APT 9, MEMPHIS, TN, 
141269, 900 7TH ST, MEMPHIS, TN, 
141270, 900 ABBEY GROVE LN, MEMPHIS, TN, 
141271, 900 ABURNDALE, MEMPHIS, TN, 
141272, 900 ADAM, MEMPHIS, TN, 
141273, 900 ADAMS #502, MEMPHIS, TN, 
141274, 900 ADAMS AVE ICU, MEMPHIS, TN, 
141275, 900 ADAMS ROOM 5618, MEMPHIS, TN, 
141276, 900 ALAM, MEMPHIS, TN, 
141277, 900 ALAMEDA CV, MEMPHIS, TN, 
141278, 900 ALEXA RD, MEMPHIS, TN, 
141279, 900 ALEXANDERITE CV, MEMPHIS, TN, 
141280, 900 ALEXANDERITE, MEMPHIS, TN, 
141281, 900 ALEXANDRAITE, MEMPHIS, TN, 
141282, 900 ALEXANDRITE, MEMPHIS, TN, 
141283, 900 ALEXUS, MEMPHIS, TN, 
141284, 900 ALICE BLVD, MEMPHIS, TN, 
141285, 900 ALIDA RD, MEMPHIS, TN, 
141286, 900 ALSTIN, MEMPHIS, TN, 
141287, 900 ALSTON 101, MEMPHIS, TN, 
141288, 900 ALSTON AVE 101, MEMPHIS, TN, 
141289, 900 ALSTON ST, MEMPHIS, TN, 
141290, 900 ANGELINA PLACE, MEMPHIS, TN, 
141291, 900 ANGLINA PLACE, MEMPHIS, TN, 
141292, 900 ANN PLAC, MEMPHIS, TN, 
141293, 900 ANN PLACE, MEMPHIS, TN, 
141294, 900 ANNIE AVE, MEMPHIS, TN, 
141295, 900 ANNIE PL AND JOSEPH PL, MEMPHIS, TN, 
141296, 900 ANNIE PLC, MEMPHIS, TN, 
141297, 900 ARBOR BEND LN, MEMPHIS, TN, 
141298, 900 ARGONNE, MEMPHIS, TN, 
141299, 900 AUBERNDALE, MEMPHIS, TN, 
141300, 900 AUBURNDALE ST, MEMPHIS, TN, 
141301, 900 AURBANDALE, MEMPHIS, TN, 
141302, 900 AUSTIN, MEMPHIS, TN, 
141303, 900 AVALON RD, MEMPHIS, TN, 
141304, 900 AVALONE, MEMPHIS, TN, 
141305, 900 AVON AVE, MEMPHIS, TN, 
141306, 900 AYERS F, MEMPHIS, TN, 
141307, 900 B B KING ST, MEMPHIS, TN, 
141308, 900 BALITMORE, MEMPHIS, TN, 
141309, 900 BALL AVE, MEMPHIS, TN, 
141310, 900 BALL RD, MEMPHIS, TN, 
141311, 900 BARBRA DR, MEMPHIS, TN, 
141312, 900 BARBRA, MEMPHIS, TN, 
141313, 900 BARKSDALE ST, MEMPHIS, TN, 
141314, 900 BARSANTI RD, MEMPHIS, TN, 
141315, 900 BARTLET RD, MEMPHIS, TN, 
141316, 900 BARTLETT #3, MEMPHIS, TN, 
141317, 900 BARTLETT 14, MEMPHIS, TN, 
141318, 900 BARTLETT BLVD, MEMPHIS, TN, 
141319, 900 BARTLETT RD 5, MEMPHIS, TN, 
141320, 900 BARTLETT ST, MEMPHIS, TN, 
141321, 900 BB KING AVE, MEMPHIS, TN, 
141322, 900 BB KING ST, MEMPHIS, TN, 
141323, 900 BEACHMONT, MEMPHIS, TN, 
141324, 900 BEAU PRE CIR S, MEMPHIS, TN, 
141325, 900 BEAU PRE CIR, MEMPHIS, TN, 
141326, 900 BEAU PRE S, MEMPHIS, TN, 
141327, 900 BEAU PRE SOUTH CIRCLE, MEMPHIS, TN, 
141328, 900 BEAU PRE, MEMPHIS, TN, 
141329, 900 BEAUMONT DR, MEMPHIS, TN, 
141330, 900 BEAVERS ALLEY, MEMPHIS, TN, 
141331, 900 BEBE, MEMPHIS, TN, 
141332, 900 BECLAIR, MEMPHIS, TN, 
141333, 900 BEEBEE AVE, MEMPHIS, TN, 
141334, 900 BELEVEDERE, MEMPHIS, TN, 
141335, 900 BELLEVERDERE, MEMPHIS, TN, 
141336, 900 BELLEVUE ST, MEMPHIS, TN, 
141337, 900 BELLVUE, MEMPHIS, TN, 
141338, 900 BELVEDERE AVE, MEMPHIS, TN, 
141339, 900 BELVEDERE BLVD, MEMPHIS, TN, 
141340, 900 BELVEDERE ST, MEMPHIS, TN, 
141341, 900 BELVERDERE, MEMPHIS, TN, 
141342, 900 BERCLAIR APT 9, MEMPHIS, TN, 
141343, 900 BERCLAIRE, MEMPHIS, TN, 
141344, 900 BERRY, MEMPHIS, TN, 
141345, 900 BETHAL, MEMPHIS, TN, 
141346, 900 BIGHAM, MEMPHIS, TN, 
141347, 900 BIRCH DR, MEMPHIS, TN, 
141348, 900 BLCK OF CHAMBLISS, MEMPHIS, TN, 
141349, 900 BLK COOPER ST, MEMPHIS, TN, 
141350, 900 BLK E BROOKS RD, MEMPHIS, TN, 
141351, 900 BLK E PERSON AVE AND GAITHER ST, MEMPHIS, TN, 
141352, 900 BLK N HIGHLAND, MEMPHIS, TN, 
141353, 900 BLK N HOLMES ST AND GIVEN AVE, MEMPHIS, TN, 
141354, 900 BLK OF HIGHLAND ST, MEMPHIS, TN, 
141355, 900 BLK OF HUMPHREYS BLVD, MEMPHIS, TN, 
141356, 900 BLK OF N MONTGOMERY, MEMPHIS, TN, 
141357, 900 BLK OF OLYMPIC, MEMPHIS, TN, 
141358, 900 BLK OF PEABODY AVE AND DUDLEY ST, MEMPHIS, TN, 
141359, 900 BLK RANDLE, MEMPHIS, TN, 
141360, 900 BLK S BELLEVUE BLVD, MEMPHIS, TN, 
141361, 900 BLK STAGE RD, MEMPHIS, TN, 
141362, 900 BLOCK DORRIS AVE, MEMPHIS, TN, 
141363, 900 BLOCK E PARKWAY N, MEMPHIS, TN, 
141364, 900 BLOCK ELDRIDGE, MEMPHIS, TN, 
141365, 900 BLOCK HACKBERRY LN, MEMPHIS, TN, 
141366, 900 BLOCK JACKSON AVE AND DECATUR ST, MEMPHIS, TN, 
141367, 900 BLOCK JACKSON AVE AND DUNLAP ST, MEMPHIS, TN, 
141368, 900 BLOCK LYCOMEDE CV, MEMPHIS, TN, 
141369, 900 BLOCK OF COLLEGE PARK, MEMPHIS, TN, 
141370, 900 BLOCK OF COLLEGE ST, MEMPHIS, TN, 
141371, 900 BLOCK OF E HOLMES RD, MEMPHIS, TN, 
141372, 900 BLOCK OF FOURTH, MEMPHIS, TN, 
141373, 900 BLOCK OF HOLMES, MEMPHIS, TN, 
141374, 900 BLOCK OF LEON, MEMPHIS, TN, 
141375, 900 BLOCK OF MANASSAS, MEMPHIS, TN, 
141376, 900 BLOCK OF OAKMONT PLACE, MEMPHIS, TN, 
141377, 900 BLOCK OF S PARKWAY E, MEMPHIS, TN, 
141378, 900 BLOCK OF SOUTH FOURTH ST, MEMPHIS, TN, 
141379, 900 BLOCK OF WALKER AVE, MEMPHIS, TN, 
141380, 900 BLOCK OF WOODLAWN, MEMPHIS, TN, 
141381, 900 BLOCK S HIGHLAND ST, MEMPHIS, TN, 
141382, 900 BLOCK SEATTLE, MEMPHIS, TN, 
141383, 900 BLOCK SEMMES AVE AND CARRINGTON ST, MEMPHIS, TN, 
141384, 900 BLUE PEARLS CV, MEMPHIS, TN, 
141385, 900 BLUEBELL CV, MEMPHIS, TN, 
141386, 900 BLUEBELL, MEMPHIS, TN, 
141387, 900 BLYTHE RD, MEMPHIS, TN, 
141388, 900 BODLEY AVE, MEMPHIS, TN, 
141389, 900 BODLEY ST, MEMPHIS, TN, 
141390, 900 BODLY, MEMPHIS, TN, 
141391, 900 BOSTON RD, MEMPHIS, TN, 
141392, 900 BRADD, MEMPHIS, TN, 
141393, 900 BRAMBLE WOOD AVE, MEMPHIS, TN, 
141394, 900 BRAMBLE WOOD, MEMPHIS, TN, 
141395, 900 BRAMBLEWOD, MEMPHIS, TN, 
141396, 900 BRAMBLEWOOD RD, MEMPHIS, TN, 
141397, 900 BREDLOVE, MEMPHIS, TN, 
141398, 900 BREEDLOOVE, MEMPHIS, TN, 
141399, 900 BREEDLOVE STREET AND KEEL AVE, MEMPHIS, TN, 
141400, 900 BREEDLOVE STREET, MEMPHIS, TN, 
141401, 900 BRIGGS, MEMPHIS, TN, 
141402, 900 BRIGHTON, MEMPHIS, TN, 
141403, 900 BROWMLEE, MEMPHIS, TN, 
141404, 900 BROWNLEE AVE, MEMPHIS, TN, 
141405, 900 BROWNLEE RD, MEMPHIS, MEMPHIS, TN, 
141406, 900 BROWNLEE ROAD, MEMPHIS, TN, 
141407, 900 BROWNLEE ST, MEMPHIS, TN, 
141408, 900 BULLLINGTON, MEMPHIS, TN, 
141409, 900 BUNTYM, MEMPHIS, TN, 
141410, 900 CADRACA, MEMPHIS, TN, 
141411, 900 CAIRN CREEK DR, MEMPHIS, TN, 
141412, 900 CAIRN CRK, MEMPHIS, TN, 
141413, 900 CAIRNS CREEK, MEMPHIS, TN, 
141414, 900 CALIVER, MEMPHIS, TN, 
141415, 900 CALVALIER DR, MEMPHIS, TN, 
141416, 900 CALVALIER, MEMPHIS, TN, 
141417, 900 CALVIN, MEMPHIS, TN, 
141418, 900 CANDACE RD, MEMPHIS, TN, 
141419, 900 CANDENCE DR, MEMPHIS, TN, 
141420, 900 CARIN CREEK DR, MEMPHIS, TN, 
141421, 900 CARNES, MEMPHIS, TN, 
141422, 900 CAROLTON, MEMPHIS, TN, 
141423, 900 CARRIAGE LN, MEMPHIS, TN, 
141424, 900 CARRINGTON ST, MEMPHIS, TN, 
141425, 900 CARRLTON, MEMPHIS, TN, 
141426, 900 CARROLLTON RD, MEMPHIS, TN, 
141427, 900 CARROLLTON ST, MEMPHIS, TN, 
141428, 900 CARROLTON ST, MEMPHIS, TN, 
141429, 900 CASLTLEWOOD, MEMPHIS, TN, 
141430, 900 CASTELWOOD RD, MEMPHIS, TN, 
141431, 900 CAVALIER RD, MEMPHIS, TN, 
141432, 900 CAVIALER CV, MEMPHIS, TN, 
141433, 900 CAVIALER, MEMPHIS, TN, 
141434, 900 CCROSSFIELD CV, MEMPHIS, TN, 
141435, 900 CEDAR BRAKE, MEMPHIS, TN, 
141436, 900 CELLA AVE, MEMPHIS, TN, 
141437, 900 CHANNEL 3 WAY, MEMPHIS, TN, 
141438, 900 CHANNEL 3, MEMPHIS, TN, 
141439, 900 CHARLES PLC, MEMPHIS, TN, 
141440, 900 CHARTWELL LN, MEMPHIS, TN, 
141441, 900 CHATTWOOD ST, MEMPHIS, TN, 
141442, 900 CHELESA, MEMPHIS, TN, 
141443, 900 CHELSEA IN THE REAR, MEMPHIS, TN, 
141444, 900 CHELSSA, MEMPHIS, TN, 
141445, 900 CHERRY, MEMPHIS, TN, 
141446, 900 CHESLEA, MEMPHIS, TN, 
141447, 900 CHIMNEY ROCK RD, MEMPHIS, TN, 
141448, 900 CLAYBROOK 1, MEMPHIS, TN, 
141449, 900 CLAYBROOK RD, MEMPHIS, TN, 
141450, 900 CLEABORN ST, MEMPHIS, TN, 
141451, 900 COLEMAN AVE, MEMPHIS, TN, 
141452, 900 COLGATE ST, MEMPHIS, TN, 
141453, 900 COLLEG PARK, MEMPHIS, TN, 
141454, 900 COLONIAL ST, MEMPHIS, TN, 
141455, 900 COPPER, MEMPHIS, TN, 
141456, 900 CORRINE, MEMPHIS, TN, 
141457, 900 COTTON GEN PL, MEMPHIS, TN, 
141458, 900 COTTON GIN 9, MEMPHIS, TN, 
141459, 900 COTTON GIN LOT, MEMPHIS, TN, 
141460, 900 COTTON GIN PLACE, MEMPHIS, TN, 
141461, 900 COUNTRY SQUARE LN, MEMPHIS, TN, 
141462, 900 COUNTRY SQUIRE PLACE, MEMPHIS, TN, 
141463, 900 COUNTRY, MEMPHIS, TN, 
141464, 900 CRAFT ED, MEMPHIS, TN, 
141465, 900 CRCOKETT, MEMPHIS, TN, 
