123001, 4600 MACON RD #8, MEMPHIS, TN, 
123187, 4600 SBERRYPICK, MEMPHIS, TN, 
123188, 4600 SCARETLEAF CV, MEMPHIS, TN, 
123189, 4600 SCARLET LEAF, MEMPHIS, TN, 
123190, 4600 SCARLETT CV, MEMPHIS, TN, 
123191, 4600 SCARLETT LEAF, MEMPHIS, TN, 
123192, 4600 SCOTT CROSS, MEMPHIS, TN, 
123193, 4600 SCOTT CROSSING DR APT2, MEMPHIS, TN, 
123194, 4600 SCOTT CROSSINGS, MEMPHIS, TN, 
123195, 4600 SCOTTS CROSSING DR, MEMPHIS, TN, 
123196, 4600 SCOTTSCROSSING, MEMPHIS, TN, 
123197, 4600 SCOTTSDALE AVE, MEMPHIS, TN, 
123198, 4600 SEAISLE, MEMPHIS, TN, 
123199, 4600 SEQUIOIA, MEMPHIS, TN, 
123200, 4600 SEWANNE RD, MEMPHIS, TN, 
123201, 4600 SHADOW CREEK DR, MEMPHIS, TN, 
123202, 4600 SHADOW CREEK ST, MEMPHIS, TN, 
123203, 4600 SHADOW CRK, MEMPHIS, TN, 
123204, 4600 SHELBY, MEMPHIS, TN, 
123205, 4600 SHELL LANE CV, MEMPHIS, TN, 
123206, 4600 SHELL LN CV, MEMPHIS, TN, 
123207, 4600 SHELL LN PL, MEMPHIS, TN, 
123208, 4600 SHELL LN PLACE, MEMPHIS, TN, 
123209, 4600 SHELL-LANE CV, MEMPHIS, TN, 
123210, 4600 SHELL-LANE PLACE, MEMPHIS, TN, 
123211, 4600 SO BERRYPICK LN, MEMPHIS, TN, 
123212, 4600 SOAPSTONE, MEMPHIS, TN, 
123213, 4600 SOMONA, MEMPHIS, TN, 
123214, 4600 SONOMA C, MEMPHIS, TN, 
123215, 4600 SONOMA RD, MEMPHIS, TN, 
123216, 4600 SOUTH 3RD ST, MEMPHIS, TN, 
123217, 4600 SOUTH AMANDA CIRCLE, MEMPHIS, TN, 
123218, 4600 SOUTH GERMANTOWN, MEMPHIS, TN, 
123219, 4600 SOUTH JANICE CIR, MEMPHIS, TN, 
123220, 4600 SOUTH JANICE CIRCLE, MEMPHIS, TN, 
123221, 4600 SOUTH PKWY, MEMPHIS, TN, 
123222, 4600 SOUTHRIDGE, MEMPHIS, TN, 
123223, 4600 SPANIEL CV, MEMPHIS, TN, 
123224, 4600 SPORTS WAY CT, MEMPHIS, TN, 
123225, 4600 SPRING GLEN RD, MEMPHIS, TN, 
123226, 4600 SPRING GLENN CV, MEMPHIS, TN, 
123227, 4600 SPRING GLENN DR, MEMPHIS, TN, 
123228, 4600 SPRING GLN, MEMPHIS, TN, 
123229, 4600 SPRING VALLEY RD, MEMPHIS, TN, 
123230, 4600 SPRINGVALLEY DR, MEMPHIS, TN, 
123231, 4600 SSNDYPARK, MEMPHIS, TN, 
123232, 4600 ST HONORED DR, MEMPHIS, TN, 
123233, 4600 ST HONOREE, MEMPHIS, TN, 
123234, 4600 ST HONROWE, MEMPHIS, TN, 
123235, 4600 ST JAMES, MEMPHIS, TN, 
123236, 4600 ST PAUL CROSSING DR, MEMPHIS, TN, 
123237, 4600 STAGE AVE, MEMPHIS, TN, 
123238, 4600 STOCK POINT DR, MEMPHIS, TN, 
123239, 4600 STONEGATE, MEMPHIS, TN, 
123240, 4600 STONEY POINT, MEMPHIS, TN, 
123241, 4600 STRATFORD ST, MEMPHIS, TN, 
123242, 4600 SUGAR CEEK RD, MEMPHIS, TN, 
123243, 4600 SUGARCREEK RD, MEMPHIS, TN, 
123244, 4600 SUMMER 5, MEMPHIS, TN, 
123245, 4600 SUMMER AVE AND BERCLAIR RD, MEMPHIS, TN, 
123246, 4600 SUMMER AVE STE 5, MEMPHIS, TN, 
123247, 4600 SUMMER AVE SUITE #1, MEMPHIS, TN, 
123248, 4600 SUMMER AVE,SUITE 101, MEMPHIS, TN, 
123249, 4600 SUMMER AVENUE, MEMPHIS, TN, 
123250, 4600 SUMMER AVS, MEMPHIS, TN, 
123251, 4600 SUMMER CREEK CV E, MEMPHIS, TN, 
123252, 4600 SUMMER CREEK CV N, MEMPHIS, TN, 
123253, 4600 SUMMER CREEK DR AND NORTH, MEMPHIS, TN, 
123254, 4600 SUMMER CREEK LN AND NORTH, MEMPHIS, TN, 
123255, 4600 SUMMER CRK N, MEMPHIS, TN, 
123256, 4600 SUMMER CV CRK, MEMPHIS, TN, 
123257, 4600 SUMMER RD, MEMPHIS, TN, 
123258, 4600 SUMMER SUITE 4, MEMPHIS, TN, 
123259, 4600 SUMMER WELLS RD, MEMPHIS, TN, 
123260, 4600 SUMMER WLS, MEMPHIS, TN, 
123261, 4600 SUMMERCREEK N, MEMPHIS, TN, 
123262, 4600 SUMMERS WELL RD, MEMPHIS, TN, 
123263, 4600 SUMMERS WELL, MEMPHIS, TN, 
123264, 4600 SUMMERSWELLS, MEMPHIS, TN, 
123265, 4600 SUMMERVIEW DR, MEMPHIS, TN, 
123266, 4600 SUMMERWELL, MEMPHIS, TN, 
123267, 4600 SUMNER CREEK N, MEMPHIS, TN, 
123268, 4600 SUMNERS WELL RD, MEMPHIS, TN, 
123269, 4600 SUMNERS WELLS ROAD, MEMPHIS, TN, 
123270, 4600 SUMNERS WLS, MEMPHIS, TN, 
123271, 4600 SUMNERSWELLS, MEMPHIS, TN, 
123272, 4600 SUMNERWELLS RD, MEMPHIS, TN, 
123273, 4600 SUMNERWELLS, MEMPHIS, TN, 
123274, 4600 SUN RIDGE DR, MEMPHIS, TN, 
123275, 4600 SUNDOWN, MEMPHIS, TN, 
123276, 4600 SUNNYBROOK AVE, MEMPHIS, TN, 
123277, 4600 SUNNYSLOP RD, MEMPHIS, TN, 
123278, 4600 SUNNYSLOPE AVE, MEMPHIS, TN, 
123279, 4600 SUNNYSLOPE RD, MEMPHIS, TN, 
123280, 4600 SUNNYVIEW RD, MEMPHIS, TN, 
123281, 4600 SUNRIDGE, MEMPHIS, TN, 
123282, 4600 SUNVALLEY LN, MEMPHIS, TN, 
123283, 4600 SUNVALLEY RD, MEMPHIS, TN, 
123284, 4600 SUNVALLY, MEMPHIS, TN, 
123285, 4600 SYCAMORE VIEW, MEMPHIS, TN, 
123286, 4600 TAMMY LNE, MEMPHIS, TN, 
123287, 4600 TANBARK AVE, MEMPHIS, TN, 
123288, 4600 TRACY LYNN, MEMPHIS, TN, 
123289, 4600 TROUT VALLEY RD, MEMPHIS, TN, 
123290, 4600 TROUTVALLEY, MEMPHIS, TN, 
123291, 4600 TROUY VLY, MEMPHIS, TN, 
123292, 4600 TRUMAN ST, MEMPHIS, TN, 
123293, 4600 TUCKAHOE RD, MEMPHIS, TN, 
123294, 4600 TUGGLE, MEMPHIS, TN, 
123295, 4600 TUTWEILER, MEMPHIS, TN, 
123296, 4600 TUTWILER ST, MEMPHIS, TN, 
123297, 4600 VALLEY SPRINGS, MEMPHIS, TN, 
123298, 4600 VANDER OAK, MEMPHIS, TN, 
123299, 4600 VERN, MEMPHIS, TN, 
123300, 4600 VERNE AVE, MEMPHIS, TN, 
123301, 4600 VILLA WOOD DR, MEMPHIS, TN, 
123302, 4600 VILLAGE GREEN, MEMPHIS, TN, 
123303, 4600 VILLAGREEN LN, MEMPHIS, TN, 
123304, 4600 VILLAGREEN ST, MEMPHIS, TN, 
123305, 4600 VILLASGREEN, MEMPHIS, TN, 
123306, 4600 VILLAWOOD AVE, MEMPHIS, TN, 
123307, 4600 VILLAWOOD ST, MEMPHIS, TN, 
123308, 4600 VIOLET RD, MEMPHIS, TN, 
123309, 4600 W AMANDA OAKS CIR, MEMPHIS, TN, 
123310, 4600 W DISTRIPLEX CV, MEMPHIS, TN, 
123311, 4600 W FARONIA SQUARE, MEMPHIS, TN, 
123312, 4600 W FAWN HOLLOW CR, MEMPHIS, TN, 
123313, 4600 W FAWN HOLLOW, MEMPHIS, TN, 
123314, 4600 W FAWN HOLW, MEMPHIS, TN, 
123315, 4600 W SUMMER CREEK LN, MEMPHIS, TN, 
123316, 4600 WALNUT GV, MEMPHIS, TN, 
123317, 4600 WALNUT RD, MEMPHIS, TN, 
123318, 4600 WARDEN AVE, MEMPHIS, TN, 
123319, 4600 WARDEN ST, MEMPHIS, TN, 
123320, 4600 WATER MIILL, MEMPHIS, TN, 
123321, 4600 WATER TREE DR 1, MEMPHIS, TN, 
123322, 4600 WATER TREE DRIVE, MEMPHIS, TN, 
123323, 4600 WATERMILL #4, MEMPHIS, TN, 
123324, 4600 WATERMILL 102, MEMPHIS, TN, 
123325, 4600 WATERMILL ST, MEMPHIS, TN, 
123326, 4600 WATERSTONE OAK WAY, MEMPHIS, TN, 
123327, 4600 WATERTREE ST, MEMPHIS, TN, 
123328, 4600 WATERVILLE, MEMPHIS, TN, 
123329, 4600 WAYFARER CIRCLE, MEMPHIS, TN, 
123330, 4600 WEAVE, MEMPHIS, TN, 
123331, 4600 WESMONT, MEMPHIS, TN, 
123332, 4600 WESTMONT AVE, MEMPHIS, TN, 
123333, 4600 WESTMONT DR, MEMPHIS, TN, 
123334, 4600 WHITE LN, MEMPHIS, TN, 
123335, 4600 WHITE OW LN, MEMPHIS, TN, 
123336, 4600 WHITE OWL LB, MEMPHIS, TN, 
123337, 4600 WHITE OWL LNLANE, MEMPHIS, TN, 
123338, 4600 WHITE PINES, MEMPHIS, TN, 
123339, 4600 WHITEFLOWER, MEMPHIS, TN, 
123340, 4600 WHITEFOX CV, MEMPHIS, TN, 
123341, 4600 WHITEFOX DR, MEMPHIS, TN, 
123342, 4600 WHITEOWL, MEMPHIS, TN, 
123343, 4600 WHITEPINES, MEMPHIS, TN, 
123344, 4600 WHITES BORO CV, MEMPHIS, TN, 
123345, 4600 WHITESIDE AVE, MEMPHIS, TN, 
123346, 4600 WHITESIDE DR, MEMPHIS, TN, 
123347, 4600 WHITESIDE RD, MEMPHIS, TN, 
123348, 4600 WHITESTONE ST, MEMPHIS, TN, 
123349, 4600 WHITETIDE ST, MEMPHIS, TN, 
123350, 4600 WHITEVILLE CV, MEMPHIS, TN, 
123351, 4600 WHITEVILLE, MEMPHIS, TN, 
123352, 4600 WILLIAMS-SONOMA, MEMPHIS, TN, 
123353, 4600 WILLOW CREEK AVE, MEMPHIS, TN, 
123354, 4600 WILLOWS, MEMPHIS, TN, 
123355, 4600 WINBRANCH, MEMPHIS, TN, 
123356, 4600 WINCHESTER #100, MEMPHIS, TN, 
123357, 4600 WINCHESTER AND KNIGHT, MEMPHIS, TN, 
123358, 4600 WINCHESTER RD SUITE 3, MEMPHIS, TN, 
123359, 4600 WINDING BROOK, MEMPHIS, TN, 
123360, 4600 WINDWARD RD, MEMPHIS, TN, 
123361, 4600 WOOD DALE, MEMPHIS, TN, 
123362, 4600 WOODALE AVE, MEMPHIS, TN, 
123363, 4600 WOODALE RD, MEMPHIS, TN, 
123364, 4600 WOODDALE #6, MEMPHIS, TN, 
123365, 4600 WOODDALE APT 6, MEMPHIS, TN, 
123366, 4600 WOODDALE DR, MEMPHIS, TN, 
123367, 4600 YILLAGREEN, MEMPHIS, TN, 
123368, 4601AIRWAYS BLVD, MEMPHIS, TN, 
123369, 4621BERTA, MEMPHIS, TN, 
123370, 4623BRINDLREY, MEMPHIS, TN, 
123371, 4627BOYCE, MEMPHIS, TN, 
123372, 4632VEGA CT, MEMPHIS, TN, 
123373, 4634MILLPORT, MEMPHIS, TN, 
123374, 4635ADDINGTON, MEMPHIS, TN, 
123375, 4636COTTON DR, MEMPHIS, TN, 
123376, 4641MILLBRANCH, MEMPHIS, TN, 
123377, 4645-4643 YOSEMITE CT, MEMPHIS, TN, 
123378, 4651FOREST OAK WAY, MEMPHIS, TN, 
123379, 4651N FORREST OAK WAY, MEMPHIS, TN, 
123380, 4657ELVIS PRESLEY, MEMPHIS, TN, 
123381, 4661B AMERICAN WAY, MEMPHIS, TN, 
123382, 4661BERTA RD, MEMPHIS, TN, 
123383, 4666HEDGES, MEMPHIS, TN, 
123384, 4691 AND 4665 KNIGHT ARNOLD, MEMPHIS, TN, 
123385, 4691POPLAR, MEMPHIS, TN, 
123386, 4692LEATHERWOOD AVE, MEMPHIS, TN, 
123387, 46W FAY, MEMPHIS, TN, 
123388, 4700 0AKFORREST WAY, MEMPHIS, TN, 
123389, 4700 ADDINGTON AVE, MEMPHIS, TN, 
123390, 4700 ADDINGTON DRIVE, MEMPHIS, TN, 
123391, 4700 AIRPARK, MEMPHIS, TN, 
123392, 4700 AIRWAYS #3, MEMPHIS, TN, 
123393, 4700 AIRWAYS 4, MEMPHIS, TN, 
123394, 4700 ALAMO, MEMPHIS, TN, 
123395, 4700 ALDRIDGE ST, MEMPHIS, TN, 
123396, 4700 ALDRIGE, MEMPHIS, TN, 
123397, 4700 ALICE ANN, MEMPHIS, TN, 
123398, 4700 ALLENDALE DR, MEMPHIS, TN, 
123399, 4700 ALMO ST, MEMPHIS, TN, 
123400, 4700 AMANDA CIRCLE SOUTH, MEMPHIS, TN, 
123401, 4700 AMANDA OAK CIRCLE, MEMPHIS, TN, 
123402, 4700 AMANDA OAK CL W, MEMPHIS, TN, 
123403, 4700 AMANDA OAK WEST, MEMPHIS, TN, 
123404, 4700 AMANDA OAK, MEMPHIS, TN, 
123405, 4700 AMANDA OAKS CIC, MEMPHIS, TN, 
123406, 4700 AMANDA OAKS CIR W, MEMPHIS, TN, 
123407, 4700 AMANDA OAKS CIR WEST, MEMPHIS, TN, 
123408, 4700 AMANDA OAKS CIRCLE #5, MEMPHIS, TN, 
123409, 4700 AMANDA OAKS CIRCLE S, MEMPHIS, TN, 
123410, 4700 AMANDA OAKS CIRCLE WEST, MEMPHIS, TN, 
123411, 4700 AMANDA OAKS CR S, MEMPHIS, TN, 
123412, 4700 AMANDA OAKS CR W, MEMPHIS, TN, 
123413, 4700 AMANDA OAKS CR, MEMPHIS, TN, 
123414, 4700 AMANDA OAKS S, MEMPHIS, TN, 
123415, 4700 AMARICAN WAY, MEMPHIS, TN, 
123416, 4700 AMBON, MEMPHIS, TN, 
123417, 4700 AMBOY ST, MEMPHIS, TN, 
123418, 4700 AMEICAN WAY, MEMPHIS, TN, 
123419, 4700 AMERCIAN WAY, MEMPHIS, TN, 
123420, 4700 AMERIAN WAY, MEMPHIS, TN, 
123421, 4700 AMERICAN WAY STE A, MEMPHIS, TN, 
123422, 4700 AMERICAN WAY SUITE 01, MEMPHIS, TN, 
123423, 4700 AMERICAN WAY SUITE 101, MEMPHIS, TN, 
123424, 4700 AMERICAN WAY SUITE 103, MEMPHIS, TN, 
123425, 4700 APPLEGATE ST, MEMPHIS, TN, 
123426, 4700 APPLESTONE AVE, MEMPHIS, TN, 
123427, 4700 APPLESTONE RD, MEMPHIS, TN, 
123428, 4700 APPLETREE, MEMPHIS, TN, 
123429, 4700 ARGONE, MEMPHIS, TN, 
123430, 4700 AUBURN RD., MEMPHIS, TN, 
123431, 4700 AUBURN ST, MEMPHIS, TN, 
123432, 4700 AURBURN, MEMPHIS, TN, 
123433, 4700 AUTUMN RIDGE, MEMPHIS, TN, 
123434, 4700 AUTUMNWOOD, MEMPHIS, TN, 
123435, 4700 BARTON 4, MEMPHIS, TN, 
123436, 4700 BARTON, MEMPHIS, TN, 
123437, 4700 BAY POINT CIRCLE EAST, MEMPHIS, TN, 
123438, 4700 BAY, MEMPHIS, TN, 
123439, 4700 BAYBERRY, MEMPHIS, TN, 
123440, 4700 BEECHCLIFF DR, MEMPHIS, TN, 
123441, 4700 BENOIT RD, MEMPHIS, TN, 
123442, 4700 BENOIT ST, MEMPHIS, TN, 
123443, 4700 BERDA, MEMPHIS, TN, 
123444, 4700 BERTHA, MEMPHIS, TN, 
123445, 4700 BIRDONG FERRY CV, MEMPHIS, TN, 
123446, 4700 BIRDSING FERRY CV, MEMPHIS, TN, 
123447, 4700 BIRDSONG FERRY C, MEMPHIS, TN, 
123448, 4700 BIRDSONGFERRY CV, MEMPHIS, TN, 
123449, 4700 BLANDFORD ST, MEMPHIS, TN, 
123450, 4700 BLANFORD RD, MEMPHIS, TN, 
123451, 4700 BLENDING CV, MEMPHIS, TN, 
123452, 4700 BLK OF TULANE, MEMPHIS, TN, 
123453, 4700 BLOCK OF HILLBROOK, MEMPHIS, TN, 
123454, 4700 BLOCK OF SHELBY DR, MEMPHIS, TN, 
123455, 4700 BLOCK OF THIRD ST, MEMPHIS, TN, 
123456, 4700 BLOCK TULANE RD, MEMPHIS, TN, 
123457, 4700 BLOCK TULANE, MEMPHIS, TN, 
123458, 4700 BLOCKTULANE, MEMPHIS, TN, 
