154001, HUMPHERY AND WALNUT GROVE, MEMPHIS, TN, 
154102, HWY 64 AND ROCK CREEK, MEMPHIS, TN, 
154103, HWY 64 AND ROCKCREEK, MEMPHIS, TN, 
154104, HWY 64 AND ROLAND DR, MEMPHIS, TN, 
154105, HWY 64 AND SUMMER AVE, MEMPHIS, TN, 
154106, HWY 64 AND SUMMER, MEMPHIS, TN, 
154107, HWY 64 AND VAN DER VEER, MEMPHIS, TN, 
154108, HWY 64 AND WALMART DR, MEMPHIS, TN, 
154109, HWY 64 AND WASHINGTON RD, MEMPHIS, TN, 
154110, HWY 64 AND WOLF CREEK PKWY, MEMPHIS, TN, 
154111, HWY 64 AND WOLF CREEK, MEMPHIS, TN, 
154112, HWY 64 AND WOLFCREEK PKWY, MEMPHIS, TN, 
154113, HWY 64 EASTBOUND AND NEW BRUNSWICK, MEMPHIS, TN, 
154114, HWY 64/ HOUSTON LEVEE, MEMPHIS, TN, 
154115, HWY 70 AND ELMORE RD, MEMPHIS, TN, 
154116, HWY 70 AND RAL LAGRANGE, MEMPHIS, TN, 
154117, HWY 78 AND HOLMES RD, MEMPHIS, TN, 
154118, HWY 78 AND REPUBLIC, MEMPHIS, TN, 
154119, HWY 78 AND SHELBY DR, MEMPHIS, TN, 
154120, HWY I240, MEMPHIS, TN, 
154121, HWY-64 AND I-40, MEMPHIS, TN, 
154122, HWY51 AND N WATKINS, MEMPHIS, TN, 
154123, HWY51 AND WATKINS, MEMPHIS, TN, 
154124, HWY64 AND GERMANTOWN, MEMPHIS, TN, 
154125, HWY64 AND HOUSTON LEVEE, MEMPHIS, TN, 
154126, HWY64 AND MORNING SUN, MEMPHIS, TN, 
154127, HWY64 AND NEW BRUNSWICK, MEMPHIS, TN, 
154128, HWY64 AND REED HOOKER, MEMPHIS, TN, 
154129, HWY64, MEMPHIS, TN, 
154130, HWY78 AND OLD 78, MEMPHIS, TN, 
154131, HWY78 AND SHELBY, MEMPHIS, TN, 
154132, HYACINTH AND APPLE BLOSSOM, MEMPHIS, TN, 
154133, HYACINTH AND HYACINTH COVE, MEMPHIS, TN, 
154134, HYACINTH CV AND HYACINTH DR, MEMPHIS, TN, 
154135, HYDE PARK AND CHELSEA ST, MEMPHIS, TN, 
154136, HYDE PARK AND HOWELL, MEMPHIS, TN, 
154137, HYDE PARK AND LYON AVE, MEMPHIS, TN, 
154138, HYDE PARK AND LYON ST, MEMPHIS, TN, 
154139, HYDE PARK AND MARBLE, MEMPHIS, TN, 
154140, HYDE PARK AND NEDRA, MEMPHIS, TN, 
154141, HYDE PARK AND SHANNON, MEMPHIS, TN, 
154142, HYDE PARK AND STOVAL, MEMPHIS, TN, 
154143, HYDE PARK BOULEVARD AND LYON AVE, MEMPHIS, TN, 
154144, HYDE PARK NORTH OF CHELSEA, MEMPHIS, TN, 
154145, HYDE PARK, MEMPHIS, TN, 
154146, HYDE PARK/ELDER, MEMPHIS, TN, 
154147, HYDE-PARK AND STOVELL, MEMPHIS, TN, 
154148, HYDEPARK AND GRIGGS, MEMPHIS, TN, 
154149, HYDEPARK AND LYONS, MEMPHIS, TN, 
154150, HYPDE PARK AND GRIGGS AVE, MEMPHIS, TN, 
154151, HYPE PARK AND CHELSEA, MEMPHIS, TN, 
154152, HYW 385 AND WINCHESTER, MEMPHIS, TN, 
154153, I 240 (SOUTHBOUND), MEMPHIS, TN, 
154154, I 240 / NORRIS, MEMPHIS, TN, 
154155, I 240 & I 40, MEMPHIS, TN, 
154156, I 240 & JACKSON, MEMPHIS, TN, 
154157, I 240 AND 385, MEMPHIS, TN, 
154158, I 240 AND AIRWAYS BLVD, MEMPHIS, TN, 
154159, I 240 AND ALABAMA, MEMPHIS, TN, 
154160, I 240 AND AND POPLAR, MEMPHIS, TN, 
154161, I 240 AND AUSTIN PEAY, MEMPHIS, TN, 
154162, I 240 AND AUSTINPEA, MEMPHIS, TN, 
154163, I 240 AND BROOKS, MEMPHIS, TN, 
154164, I 240 AND CHELSA, MEMPHIS, TN, 
154165, I 240 AND CHELSEA AVE, MEMPHIS, TN, 
154166, I 240 AND COVNGTON PIKE, MEMPHIS, TN, 
154167, I 240 AND DANNY THOMAS, MEMPHIS, TN, 
154168, I 240 AND DEMOCRAT RD, MEMPHIS, TN, 
154169, I 240 AND DUNLAP, MEMPHIS, TN, 
154170, I 240 AND EASTBOUND AND AIRWAYS, MEMPHIS, TN, 
154171, I 240 AND ELVIS PRESLEY, MEMPHIS, TN, 
154172, I 240 AND FAXON AVE, MEMPHIS, TN, 
154173, I 240 AND GET WELL RD, MEMPHIS, TN, 
154174, I 240 AND GETWELL RD, MEMPHIS, TN, 
154175, I 240 AND I 40, MEMPHIS, TN, 
154176, I 240 AND I 55 SOUTH, MEMPHIS, TN, 
154177, I 240 AND I 55, MEMPHIS, TN, 
154178, I 240 AND I-40, MEMPHIS, TN, 
154179, I 240 AND I40, MEMPHIS, TN, 
154180, I 240 AND MADISON AVE, MEMPHIS, TN, 
154181, I 240 AND MOUNT MORIAH RD, MEMPHIS, TN, 
154182, I 240 AND MT MORIAH BLVD, MEMPHIS, TN, 
154183, I 240 AND NONCONNAH, MEMPHIS, TN, 
154184, I 240 AND NORIS RD, MEMPHIS, TN, 
154185, I 240 AND NORRIS ROAD, MEMPHIS, TN, 
154186, I 240 AND PARK AVE, MEMPHIS, TN, 
154187, I 240 AND PARKWAY, MEMPHIS, TN, 
154188, I 240 AND PERSON, MEMPHIS, TN, 
154189, I 240 AND POPLAR AVE, MEMPHIS, TN, 
154190, I 240 AND POPLAR W AND B, MEMPHIS, TN, 
154191, I 240 AND SUMMER, MEMPHIS, TN, 
154192, I 240 AND WATKINS ST, MEMPHIS, TN, 
154193, I 240 AT JACKSON EXIT, MEMPHIS, TN, 
154194, I 240 E AND B AIRWAYS, MEMPHIS, TN, 
154195, I 240 E AND B AND EXIT 8 JACKSON AVE, MEMPHIS, TN, 
154196, I 240 E AND B AND LAMAR, MEMPHIS, TN, 
154197, I 240 E AND B AND PERKINS EXIT, MEMPHIS, TN, 
154198, I 240 E AND B AND PERKINS, MEMPHIS, TN, 
154199, I 240 E AND B AND WALNUT GROVE, MEMPHIS, TN, 
154200, I 240 E AND B EAST OF GETWELL EXIT, MEMPHIS, TN, 
154201, I 240 E AND B LAMAR AVE, MEMPHIS, TN, 
154202, I 240 E AND B, MEMPHIS, TN, 
154203, I 240 E AND O BILL MORRIS, MEMPHIS, TN, 
154204, I 240 E\B AND AIRWAYS, MEMPHIS, TN, 
154205, I 240 EAST AND GETWELL RD, MEMPHIS, TN, 
154206, I 240 EAST AND PARK AVE, MEMPHIS, TN, 
154207, I 240 EAST AND WALNUT GROVE, MEMPHIS, TN, 
154208, I 240 EAST BOUND AND EAST OF GETWELL, MEMPHIS, TN, 
154209, I 240 EAST BOUND WAST OF HOLLYWOOD EXIT, MEMPHIS, TN, 
154210, I 240 EASTBOUND AND LAMAR AVE, MEMPHIS, TN, 
154211, I 240 EB AND PERKINS RD, MEMPHIS, TN, 
154212, I 240 EB EAST OF PERKINS EXIT, MEMPHIS, TN, 
154213, I 240 EB WEST OF AIRWAYS, MEMPHIS, TN, 
154214, I 240 EXPRESSWAY W AND B RD, MEMPHIS, TN, 
154215, I 240 HWY, MEMPHIS, TN, 
154216, I 240 INTERSTATE AND PERKINS RD, MEMPHIS, TN, 
154217, I 240 JACKSON AVE, MEMPHIS, TN, 
154218, I 240 MIDTOWN SOUTH OF LAMAR, MEMPHIS, TN, 
154219, I 240 N AND B AND JACKSON AVE, MEMPHIS, TN, 
154220, I 240 N AND B AND S PKWY E, MEMPHIS, TN, 
154221, I 240 N AND B AND WALNUT GROVE, MEMPHIS, TN, 
154222, I 240 N AND B NORTH OF NORRIS RD, MEMPHIS, TN, 
154223, I 240 N AND S PKWY E, MEMPHIS, TN, 
154224, I 240 N AND SOUTH PKWY, MEMPHIS, TN, 
154225, I 240 NEAR, MEMPHIS, TN, 
154226, I 240 NORTH AND I 40, MEMPHIS, TN, 
154227, I 240 NORTH AND JACKSON AVE, MEMPHIS, TN, 
154228, I 240 NORTH AND UNION AVE, MEMPHIS, TN, 
154229, I 240 NORTH BOUND AND NORRIS, MEMPHIS, TN, 
154230, I 240 NORTH OF MT MORIAH RD, MEMPHIS, TN, 
154231, I 240 NORTH S AND O NORRIS RD, MEMPHIS, TN, 
154232, I 240 NORTHBOUND AND NORROS RD, MEMPHIS, TN, 
154233, I 240 RD AND MILLBRANCH RD, MEMPHIS, TN, 
154234, I 240 S AND B AND JACKSON, MEMPHIS, TN, 
154235, I 240 S AND B AND POPLAR, MEMPHIS, TN, 
154236, I 240 S AND B AND SOUTHPARKWAY, MEMPHIS, TN, 
154237, I 240 S AND B SOUTH OF LAMAR EXIT, MEMPHIS, TN, 
154238, I 240 S AND B SOUTH OF SOUTH PARKWAY RD, MEMPHIS, TN, 
154239, I 240 S AND JACKSON AVE, MEMPHIS, TN, 
154240, I 240 S AND O I 40, MEMPHIS, TN, 
154241, I 240 SB AND NORRIS, MEMPHIS, TN, 
154242, I 240 SOUTH AND JEFFERSON, MEMPHIS, TN, 
154243, I 240 SOUTHBOUND 100YRDS N OF NORRIS, MEMPHIS, TN, 
154244, I 240 W AND B AND LAMAR, MEMPHIS, TN, 
154245, I 240 W AND B AND MADISON ST, MEMPHIS, TN, 
154246, I 240 W AND B AND MILBRANCH RD, MEMPHIS, TN, 
154247, I 240 W AND B AND MILLBRANCH, MEMPHIS, TN, 
154248, I 240 W AND B AND THE PERKINS OVERPASS, MEMPHIS, TN, 
154249, I 240 W AND B EAST OF AIRWAYS, MEMPHIS, TN, 
154250, I 240 W AND B JUST EAST OF GETWELL RD, MEMPHIS, TN, 
154251, I 240 W AND B LAMAR AVE, MEMPHIS, TN, 
154252, I 240 W AND B MILLBRANCH, MEMPHIS, TN, 
154253, I 240 W AND B ON THE EXIT RAMP TO GO SOUTH ON AIRWAYS, MEMPHIS, TN, 
154254, I 240 W AND B, MEMPHIS, TN, 
154255, I 240 W AND GETWELL RD, MEMPHIS, TN, 
154256, I 240 W AND MILLIBRANCH, MEMPHIS, TN, 
154257, I 240 W AND MT MORIAH, MEMPHIS, TN, 
154258, I 240 W AND O MT MORIAH, MEMPHIS, TN, 
154259, I 240 W MILE MARKER 23, MEMPHIS, TN, 
154260, I 240 WALNUT GROVE, MEMPHIS, TN, 
154261, I 240 WB AND GETWELL, MEMPHIS, TN, 
154262, I 240 WB AND LAMAR, MEMPHIS, TN, 
154263, I 240 WB EAST OF MILLBRANCH, MEMPHIS, TN, 
154264, I 240 WEST AND AIRWAYS BLVD, MEMPHIS, TN, 
154265, I 240 WEST AND AIRWAYS, MEMPHIS, TN, 
154266, I 240 WEST LAMAR AVE, MEMPHIS, TN, 
154267, I 240 WEST OF AIRWAYS, MEMPHIS, TN, 
154268, I 240 WESTBOUND AIRWAYS, MEMPHIS, TN, 
154269, I 240 WESTBOUND AND AIRWAYS, MEMPHIS, TN, 
154270, I 240-UNION, MEMPHIS, TN, 
154271, I 240, MEMPHIS, TN, 
154272, I 240/ NORRIS, MEMPHIS, TN, 
154273, I 240E AND B AND AIRWAYS, MEMPHIS, TN, 
154274, I 240E AND MILLBRANCH RD, MEMPHIS, TN, 
154275, I 240E BETWEEN CHELSEA AND WATKINS, MEMPHIS, TN, 
154276, I 240W AND ARIWAYS, MEMPHIS, TN, 
154277, I 385 AND RIDGEWAY EXT, MEMPHIS, TN, 
154278, I 385 AND RIDGEWAY, MEMPHIS, TN, 
154279, I 385 E AND B AND RIVERDALE RD, MEMPHIS, TN, 
154280, I 385 KIRBY PKWY, MEMPHIS, TN, 
154281, I 385 WEST AND KIRBY PKWY, MEMPHIS, TN, 
154282, I 385, MEMPHIS, TN, 
154283, I 3971 TUSCANY DR, MEMPHIS, TN, 
154284, I 40 & SYCAMORE VIEW, MEMPHIS, TN, 
154285, I 40 & WARFORD, MEMPHIS, TN, 
154286, I 40 AND 101 CONNECTOR, MEMPHIS, TN, 
154287, I 40 AND COVINGTON WAY, MEMPHIS, TN, 
154288, I 40 AND GERMANTOWN PKWY, MEMPHIS, TN, 
154289, I 40 AND GERMANTOWN, MEMPHIS, TN, 
154290, I 40 AND GET WELL RD, MEMPHIS, TN, 
154291, I 40 AND I 240 EAST BOUND, MEMPHIS, TN, 
154292, I 40 AND JACKSON AVE, MEMPHIS, TN, 
154293, I 40 AND LAMAR, MEMPHIS, TN, 
154294, I 40 AND MADISON AVE, MEMPHIS, TN, 
154295, I 40 AND N WATKINS ST, MEMPHIS, TN, 
154296, I 40 AND NORRIS RD, MEMPHIS, TN, 
154297, I 40 AND OLD AUSTIN PEAY, MEMPHIS, TN, 
154298, I 40 AND SAM COOPER, MEMPHIS, TN, 
154299, I 40 AND SUMMER, MEMPHIS, TN, 
154300, I 40 AND SYCAMORE VIEW RD, MEMPHIS, TN, 
154301, I 40 AND THIRD ST, MEMPHIS, TN, 
154302, I 40 E & JACKSON, MEMPHIS, TN, 
154303, I 40 E AND B AND HWY 64, MEMPHIS, TN, 
154304, I 40 E AND B AND SYCAMORE VIEW, MEMPHIS, TN, 
154305, I 40 E AND B GERMANTOWN EXIT, MEMPHIS, TN, 
154306, I 40 E AND B MILE MARKER 8 AND 4, MEMPHIS, TN, 
154307, I 40 E AND B ST, MEMPHIS, TN, 
154308, I 40 E AND B SYCAMORE VIEW, MEMPHIS, TN, 
154309, I 40 E AND COVINGTON PIKE, MEMPHIS, TN, 
154310, I 40 E AND N HOLLYWWOD ST, MEMPHIS, TN, 
154311, I 40 E AND WATKINS ST, MEMPHIS, TN, 
154312, I 40 E ST, MEMPHIS, TN, 
154313, I 40 EAST AND EXIT 8, MEMPHIS, TN, 
154314, I 40 EAST AND N HOLLYWOOD, MEMPHIS, TN, 
154315, I 40 EAST AND PERKINS EXIT, MEMPHIS, TN, 
154316, I 40 EAST AND WARFORD, MEMPHIS, TN, 
154317, I 40 EAST BOUND, MEMPHIS, TN, 
154318, I 40 EAST JUST WEST OF COVINGTON PIKE, MEMPHIS, TN, 
154319, I 40 EASTBOUND EAST OF WATKINS, MEMPHIS, TN, 
154320, I 40 EB AND MCCLEAN, MEMPHIS, TN, 
154321, I 40 EXT 14, MEMPHIS, TN, 
154322, I 40 HWY AND WARFORD, MEMPHIS, TN, 
154323, I 40 RD AND WHITTEN, MEMPHIS, TN, 
154324, I 40 S AND B SOUTH OF CHELSEA, MEMPHIS, TN, 
154325, I 40 W AND AUSTIN PEAY, MEMPHIS, TN, 
154326, I 40 W AND B AND AUSTIN PEAY EX, MEMPHIS, TN, 
154327, I 40 W AND B AND HOLLYWOOD ST, MEMPHIS, TN, 
154328, I 40 W AND B AND I 240 N AND B, MEMPHIS, TN, 
154329, I 40 W AND B WEST OF SYCAMORE VIEW EXIT, MEMPHIS, TN, 
154330, I 40 W AND SAM COOPER BLVD, MEMPHIS, TN, 
154331, I 40 W AND WATKINS ST, MEMPHIS, TN, 
154332, I 40 W, MEMPHIS, TN, 
154333, I 40 WEST AND JACKSON AVE, MEMPHIS, TN, 
154334, I 40 WEST BOUND AND HWY 64, MEMPHIS, TN, 
154335, I 40 WEST BOUND AND SUMMER AVE, MEMPHIS, TN, 
154336, I 40 WEST BOUND, MEMPHIS, TN, 
154337, I 40 WEST ST, MEMPHIS, TN, 
154338, I 40 WESTBOUND AND GERMANTOWN RD, MEMPHIS, TN, 
154339, I 40 WESTBOUND WEST OF SYCAMORE VIEW, MEMPHIS, TN, 
154340, I 40W AND JACKSON AVE, MEMPHIS, TN, 
154341, I 55 AND 1 240 INTERCHANGE, MEMPHIS, TN, 
154342, I 55 AND 240, MEMPHIS, TN, 
154343, I 55 AND 3RD ST, MEMPHIS, TN, 
154344, I 55 AND BROOKS RD, MEMPHIS, TN, 
154345, I 55 AND E HOLMES RD, MEMPHIS, TN, 
154346, I 55 AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
154347, I 55 AND I 240 RD, MEMPHIS, TN, 
154348, I 55 AND MILLBRANCH RD, MEMPHIS, TN, 
154349, I 55 AND NORRIS, MEMPHIS, TN, 
154350, I 55 AND RAINES, MEMPHIS, TN, 
154351, I 55 AND S PKWY S AND B, MEMPHIS, TN, 
154352, I 55 AND S PKWY W, MEMPHIS, TN, 
154353, I 55 AND SHELBY, MEMPHIS, TN, 
154354, I 55 AND SOUTH PARKWAY OVERPASS, MEMPHIS, TN, 
154355, I 55 AND SOUTH THIRD, MEMPHIS, TN, 
154356, I 55 AND STATE LINE, MEMPHIS, TN, 
154357, I 55 BRIDGE, MEMPHIS, TN, 
154358, I 55 HWY AND SHELBY DR, MEMPHIS, TN, 
154359, I 55 N AND B AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
154360, I 55 N AND B AND SHELBY DR, MEMPHIS, TN, 
154361, I 55 N AND B SOUTH OF S PKWY, MEMPHIS, TN, 
154362, I 55 N AND SHELBY DR, MEMPHIS, TN, 
154363, I 55 N\B AND BROOKS RD EXIT, MEMPHIS, TN, 
154364, I 55 NORTH E AND O SOUTH THIRD, MEMPHIS, TN, 
154365, I 55 NORTHBOUND 500 FEET SOUTH OF SHELBY DR, MEMPHIS, TN, 
154366, I 55 NORTHBOUND AND ELVIS PRESLEY, MEMPHIS, TN, 
154367, I 55 S AND B AND BROOKS RD, MEMPHIS, TN, 
154368, I 55 S AND TRIGG, MEMPHIS, TN, 
154369, I 55 SOUTH AND EXIT 12, MEMPHIS, TN, 
154370, I 55 SOUTH AND SHELBY DR, MEMPHIS, TN, 
154371, I 55 SOUTHBOUND ELVIS PRESLEY OVER PASS, MEMPHIS, TN, 
154372, I 55S AND E BROOKS RD, MEMPHIS, TN, 
154373, I 687 HUNTERS BLUFF DR, MEMPHIS, TN, 
154374, I AND 240 AND MILBRANCH, MEMPHIS, TN, 
154375, I AND 240 AND WALNUT GROVE, MEMPHIS, TN, 
154376, I AND 240 EAST OF WATKINS, MEMPHIS, TN, 
154377, I AND 240 SOUTH PERKINS RD, MEMPHIS, TN, 
154378, I AND 240 WEST I AND 240 NORTH ST, MEMPHIS, TN, 
154379, I_40 AND AUSTIN PEAY HWY, MEMPHIS, TN, 
154380, I_40 AND AUSTINPEAY, MEMPHIS, TN, 
154381, I_40 AND HOLLYWOOD ST, MEMPHIS, TN, 
154382, I-20 AND LAMAR AVE, MEMPHIS, TN, 
154383, I-240 (EASTBOUND) AND PERKINS, MEMPHIS, TN, 
154384, I-240 (SOUTHBOUND) AND NORRIS, MEMPHIS, TN, 
154385, I-240 @ MENDENHALL, MEMPHIS, TN, 
154386, I-240 & AUSTIN PEAY, MEMPHIS, TN, 
154387, I-240 & SUMMER, MEMPHIS, TN, 
154388, I-240 AIRWAYS, MEMPHIS, TN, 
154389, I-240 AND 1-55, MEMPHIS, TN, 
154390, I-240 AND 385 E, MEMPHIS, TN, 
154391, I-240 AND 385 HWY, MEMPHIS, TN, 
154392, I-240 AND AIRWAY BLVD, MEMPHIS, TN, 
154393, I-240 AND AIRWAYS AVE, MEMPHIS, TN, 
154394, I-240 AND AIRWAYS BOULEVARD, MEMPHIS, TN, 
154395, I-240 AND AIRWAYS W AND B, MEMPHIS, TN, 
154396, I-240 AND AIWAYS, MEMPHIS, TN, 
154397, I-240 AND ALCY RD, MEMPHIS, TN, 
154398, I-240 AND AND ALCY RD, MEMPHIS, TN, 
154399, I-240 AND AND E PERSON AVE, MEMPHIS, TN, 
154400, I-240 AND AND MADISON, MEMPHIS, TN, 
154401, I-240 AND AND PERSON AVE, MEMPHIS, TN, 
154402, I-240 AND APPLING RD, MEMPHIS, TN, 
154403, I-240 AND AUSTIN PEE RD, MEMPHIS, TN, 
154404, I-240 AND CRUMP BLVD, MEMPHIS, TN, 
154405, I-240 AND E H CRUMP, MEMPHIS, TN, 
154406, I-240 AND E PERSON, MEMPHIS, TN, 
154407, I-240 AND E PKWY, MEMPHIS, TN, 
154408, I-240 AND EASTMORELAND, MEMPHIS, TN, 
154409, I-240 AND ELVIS PRESLEY ST, MEMPHIS, TN, 
154410, I-240 AND EXIT 2A, MEMPHIS, TN, 
154411, I-240 AND FIRESTONE, MEMPHIS, TN, 
154412, I-240 AND FRONT, MEMPHIS, TN, 
154413, I-240 AND GERMANTOWN PKWY, MEMPHIS, TN, 
154414, I-240 AND GETWELL ST, MEMPHIS, TN, 
154415, I-240 AND I 40, MEMPHIS, TN, 
154416, I-240 AND I-385 RD, MEMPHIS, TN, 
154417, I-240 AND I-40 AND SAM COOPER BLVD, MEMPHIS, TN, 
154418, I-240 AND I-40 E AND B, MEMPHIS, TN, 
154419, I-240 AND I-40 EXIT RAMP, MEMPHIS, TN, 
154420, I-240 AND I-40 INTERSTATE, MEMPHIS, TN, 
154421, I-240 AND I-40 RD, MEMPHIS, TN, 
154422, I-240 AND I-40 WEST, MEMPHIS, TN, 
154423, I-240 AND I-55 E AND B, MEMPHIS, TN, 
154424, I-240 AND I-55 W AND B, MEMPHIS, TN, 
