35001, PRESTON HWY S / I65N, LOUISVILLE, KY, 40213
35217, S 41ST ST, LOUISVILLE, KY, 40211
35218, S 42ND ST, LOUISVILLE, KY, NA
35219, S 43RD ST / FORDSON WAY, LOUISVILLE, KY, 40211
35220, S 43RD ST / VIRGINIA AVE, LOUISVILLE, KY, 40211
35221, S 43RD ST, LOUISVILLE, KY, 40212
35222, S 44TH ST / GARLAND AVE, LOUISVILLE, KY, 40211
35223, S 45TH ST / GRAND AVE, LOUISVILLE, KY, 40211
35224, S 45TH ST / W KENTUCKY ST, LOUISVILLE, KY, 40211
35225, S 45TH ST / WINNROSE WAY, LOUISVILLE, KY, 40211
35226, S 46TH ST / SHAMROCK WYND, LOUISVILLE, KY, 40212
35227, S 4TH ST / THEATRE SQ, LOUISVILLE, KY, 40202
35228, S 4TH ST / W AMHERST AVE, LOUISVILLE, KY, 40214
35229, S 4TH ST AND W BLOOM ST, LOUISVILLE, KY, NA
35230, S 4TH ST, LOUISVILLE, KY, 40214
35231, S 4TH ST/CENTRAL AVE, LOUISVILLE, KY, NA
35232, S 5TH ST / BURKLEY AVE, LOUISVILLE, KY, 40214
35233, S 5TH ST / CHRISTOPHER PL, LOUISVILLE, KY, 40214
35234, S 5TH ST / COMPTON ST, LOUISVILLE, KY, 40208
35235, S 5TH ST / COURT PL, LOUISVILLE, KY, 40202
35236, S 5TH ST / EXPRESSWAY AVE, LOUISVILLE, KY, 40214
35237, S 5TH ST / FREEMAN AVE, LOUISVILLE, KY, 40214
35238, S 5TH ST / SPANISH CT, LOUISVILLE, KY, 40214
35239, S 5TH ST/CHESTNUT, LOUISVILLE, KY, NA
35240, S 6TH ST / COLORADO AVE, LOUISVILLE, KY, 40208
35241, S 6TH ST / EXPRESSWAY AVE, LOUISVILLE, KY, 40214
35242, S 6TH ST / FLORAL TER, LOUISVILLE, KY, 40208
35243, S 6TH ST / KATHLEEN AVE, LOUISVILLE, KY, 40214
35244, S 6TH ST / KLEIER AVE, LOUISVILLE, KY, 40208
35245, S 6TH ST / MIX AVE, LOUISVILLE, KY, 40208
35246, S 6TH ST / W FLORENCE AVE, LOUISVILLE, KY, 40215
35247, S 6TH ST/JAIL, LOUISVILLE, KY, NA
35248, S 7TH ST / DUMESNIL ST, LOUISVILLE, KY, 40203
35249, S 7TH ST/ALGONQUIN PKWY, LOUISVILLE, KY, NA
35250, S 8TH ST / CONGRESS ALY, LOUISVILLE, KY, 40202
35251, S 8TH ST / MARY J ROBB CT, LOUISVILLE, KY, 40203
35252, S 8TH ST / OAKLAND AVE, LOUISVILLE, KY, 40208
35253, S 8TH ST / W BURNETT AVE, LOUISVILLE, KY, 40208
35254, S 8TH ST / W MAIN ST, LOUISVILLE, KY, 40202
35255, S 9TH ST / ROY WILKINS AVE, LOUISVILLE, KY, 40203
35256, S BARBEE WAY / HANCOCK CROSSWAY, LOUISVILLE, KY, 40217
35257, S BAYLY AVE / CALEDONIA AVE, LOUISVILLE, KY, 40206
35258, S BECKLEY STATION RD / GLENDOWER DR, LOUISVILLE, KY, 40245
35259, S BECKLEY STATION RD / I64, LOUISVILLE, KY, 40245
35260, S BECKLEY STATION RD / WIBBLE HILL RD, LOUISVILLE, KY, 40245
35261, S BIRCHWOOD AVE / GRINSTEAD DR, LOUISVILLE, KY, 40206
35262, S BROOK ST / E BROADWAY, LOUISVILLE, KY, 40202
35263, S BROOK ST / E FAIRMONT AVE, LOUISVILLE, KY, 40214
35264, S BROOK ST / E LANSING AVE, LOUISVILLE, KY, 40214
35265, S BROOK ST / I 65 RAMP, LOUISVILLE, KY, 40202
35266, S BROOK ST / S 1ST ST, LOUISVILLE, KY, 40208
35267, S BROOK ST / UNIVERSITY BLVD, LOUISVILLE, KY, 40208
35268, S BROOK ST / WARNOCK ST, LOUISVILLE, KY, 40208
35269, S BROOK ST / WARNOCK WALK, LOUISVILLE, KY, 40208
35270, S CAMPBELL ST, LOUISVILLE, KY, 40206
35271, S CLAY ST / CALDWELL ST, LOUISVILLE, KY, 40203
35272, S CLAY ST / FINZER ST, LOUISVILLE, KY, 40208
35273, S CLAY ST / S SHELBY ST, LOUISVILLE, KY, 40203
35274, S CLAY ST, LOUISVILLE, KY, 40217
35275, S CRUMS LN / CANE RUN RD, LOUISVILLE, KY, 40216
35276, S DODGE LN / FLUSHING WAY, LOUISVILLE, KY, 40272
35277, S DORSEY LN / DORSEY VILLAGE DR, LOUISVILLE, KY, 40223
35278, S ENGLISH STATION RD / LANDIS VILLA DR, LOUISVILLE, KY, 40245
35279, S ENGLISH STATION RD / REHL RD, LOUISVILLE, KY, 40299
35280, S EWING AVE / PAYNE ST, LOUISVILLE, KY, 40206
35281, S FLOYD ST / BYRNE AVE, LOUISVILLE, KY, 40209
35282, S FLOYD ST / CAMP ST, LOUISVILLE, KY, 40203
35283, S FLOYD ST / E BROADWAY, LOUISVILLE, KY, NA
35284, S FLOYD ST / FARMINGTON AVE, LOUISVILLE, KY, 40209
35285, S FLOYD ST / OLD EASTERN PKY, LOUISVILLE, KY, 40209
35286, S FLOYD ST / PARK BLVD, LOUISVILLE, KY, 40209
35287, S FLOYD ST & BROADWAY, LOUISVILLE, KY, NA
35288, S GALT AVE / ROWLAND AVE, LOUISVILLE, KY, 40206
35289, S GALT AVE, LOUISVILLE, KY, 40206
35290, S HANCOCK ST / BALLARD ST, LOUISVILLE, KY, 40202
35291, S HANCOCK ST / E BURNETT AVE, LOUISVILLE, KY, 40217
35292, S HANCOCK ST / E HILL ST, LOUISVILLE, KY, 40217
35293, S HANCOCK ST / E MAIN ST, LOUISVILLE, KY, 40202
35294, S HANCOCK ST / FINZER ST, LOUISVILLE, KY, 40203
35295, S HANCOCK ST / MERIWETHER AVE, LOUISVILLE, KY, 40217
35296, S HANCOCK ST / SPRINGER ALY, LOUISVILLE, KY, 40202
35297, S HURSTBOURNE PKY / AMBROSSE LN, LOUISVILLE, KY, 40299
35298, S HURSTBOURNE PKY / BARDSTOWN RD, LOUISVILLE, KY, 40291
35299, S HURSTBOURNE PKY / BLAIRWOOD RD, LOUISVILLE, KY, 40222
35300, S HURSTBOURNE PKY / CANONERO WAY, LOUISVILLE, KY, 40291
35301, S HURSTBOURNE PKY / RIDGEHURST PL, LOUISVILLE, KY, 40299
35302, S HURSTBOURNE PKY / SEATON SPRINGS PKY, LOUISVILLE, KY, 40222
35303, S HURSTBOURNE PKY / SEATON SPRINGS PKY, LOUISVILLE, KY, NA
35304, S HURSTBOURNE PKY / WESSEX PL, LOUISVILLE, KY, NA
35305, S HURSTBOURNE PKY, LOUISVILLE, KY, 40222
35306, S JACKSON ST / FINZER ST, LOUISVILLE, KY, 40203
35307, S JACKSON ST / SPRINGER ALY, LOUISVILLE, KY, 40202
35308, S JOHNSON ST / E MAIN ST, LOUISVILLE, KY, 40206
35309, S JOHNSON ST / E MARKET ST, LOUISVILLE, KY, 40206
35310, S KEATS AVE / PAYNE ST, LOUISVILLE, KY, 40206
35311, S LYNDON LN / NOTTINGHAM PKY, LOUISVILLE, KY, 40222
35312, S MADISON AVE / WAYSIDE AVE, LOUISVILLE, KY, 40243
35313, S POPE LICK RD / POPLAR LN, LOUISVILLE, KY, 40299
35314, S POPE LICK RD / TUCKER STATION RD, LOUISVILLE, KY, 40299
35315, S PRESTON ST / ATWOOD ST, LOUISVILLE, KY, 40217
35316, S PRESTON ST / E CHESTNUT ST, LOUISVILLE, KY, 40202
35317, S PRESTON ST / E LIBERTY ST, LOUISVILLE, KY, 40202
35318, S PRESTON ST / E MAIN ST, LOUISVILLE, KY, 40202
35319, S PRESTON ST / FINZER ST, LOUISVILLE, KY, 40203
35320, S PRESTON ST / GERNERT CT, LOUISVILLE, KY, 40217
35321, S PRESTON ST / LAMPTON ST, LOUISVILLE, KY, 40203
35322, S SHELBY ST / CALDWELL ST, LOUISVILLE, KY, 40203
35323, S SHELBY ST / CAMP ST, LOUISVILLE, KY, 40203
35324, S SHELBY ST / E MAIN ST, LOUISVILLE, KY, 40202
35325, S SHELBY ST / E OAK ST, LOUISVILLE, KY, 40203
35326, S SHELBY ST / E ORMSBY AVE, LOUISVILLE, KY, 40217
35327, S SHELBY ST / EASTERN PKY, LOUISVILLE, KY, 40217
35328, S SHELBY ST / GWENDOLYN ST, LOUISVILLE, KY, 40203
35329, S SHELBY ST / LAMPTON ST, LOUISVILLE, KY, 40203
35330, S SHELBY ST / MULBERRY ST, LOUISVILLE, KY, 40217
35331, S SHELBY ST, LOUISVILLE, KY, 40217
35332, S SHELBY ST/ EASTERN PARKWAY, LOUISVILLE, KY, NA
35333, S SHELBY ST/E OAK ST, LOUISVILLE, KY, NA
35334, S WATTERSON TRL / BARDSTOWN RD, LOUISVILLE, KY, 40291
35335, S WATTERSON TRL / OUTER LOOP, LOUISVILLE, KY, 40228
35336, S WATTERSON TRL, LOUISVILLE, KY, NA
35337, S WENZEL ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40204
35338, S WHEATMORE DR / W WHEATMORE DR, LOUISVILLE, KY, 40215
35339, SADDLEBROOK LN / ROCKFORD LN, LOUISVILLE, KY, 40216
35340, SADDLECREEK CT / SADDLECREEK DR, LOUISVILLE, KY, 40245
35341, SAILOR RD / BARB CT, LOUISVILLE, KY, 40291
35342, SAINT ANDREWS CHURCH RD/ SAINT ANTHONY CHURCH RD., LOUISVILLE, KY, NA
35343, SALE AVE, LOUISVILLE, KY, NA
35344, SALLY DR / STEPHAN DR, LOUISVILLE, KY, 40258
35345, SAM DR / YORK RIVER RD, LOUISVILLE, KY, 40214
35346, SAMUEL ST / KRIEGER ST, LOUISVILLE, KY, 40204
35347, SAN JOSE AVE / STEWART AVE, LOUISVILLE, KY, NA
35348, SANDERS GATE RD / RUNDILL RD, LOUISVILLE, KY, 40214
35349, SANDRAY BLVD / DUNKIRK LN, LOUISVILLE, KY, 40272
35350, SANTA FE TRL//HACKEL DR, LOUISVILLE, KY, NA
35351, SAPPENFIELD WAY / DIXIE HWY, LOUISVILLE, KY, 40272
35352, SCANLON ST / GRANT AVE, LOUISVILLE, KY, 40214
35353, SCARBOROUGH AVE, LOUISVILLE, KY, NA
35354, SCENIC LOOP / ALEXANDER RD, LOUISVILLE, KY, 40205
35355, SCENIC LOOP / BARNEY AVE, LOUISVILLE, KY, 40205
35356, SCENIC LOOP, LOUISVILLE, KY, 40205
35357, SCHILLER AVE / E KENTUCKY ST, LOUISVILLE, KY, 40204
35358, SEAFORTH DR / SEAFORTH WAY, LOUISVILLE, KY, 40258
35359, SEARS AVE / SHELBYVILLE RD, LOUISVILLE, KY, 40207
35360, SEATON LN / FARMSTEAD LN, LOUISVILLE, KY, 40291
35361, SEATONVILLE RD / BRENTLINGER LN, LOUISVILLE, KY, 40291
35362, SEELBACH AVE / TAYLOR BLVD, LOUISVILLE, KY, NA
35363, SENECA DR / VALLETTA RD, LOUISVILLE, KY, 40205
35364, SENECA PARK RD / PEE WEE REESE RD, LOUISVILLE, KY, 40205
35365, SENECA TRL / SENECA TRAIL NORTH, LOUISVILLE, KY, 40214
35366, SENECA TRL / TECUMSEH AVE, LOUISVILLE, KY, 40214
35367, SHAFFER LN / VETERANS DR, LOUISVILLE, KY, 40291
35368, SHARP AVE / WELLER AVE, LOUISVILLE, KY, 40208
35369, SHAWNEE PARK CIR / SHAWNEE PARK CT, LOUISVILLE, KY, 40211
35370, SHELBY PKY / S JACKSON ST, LOUISVILLE, KY, 40203
35371, SHELBY ST / I65N, LOUISVILLE, KY, 40216
35372, SHELBY STATION DR / SHELBYVILLE RD, LOUISVILLE, KY, 40245
35373, SHELBYVILLE RD / BLANKENBAKER PKY, LOUISVILLE, KY, 40243
35374, SHELBYVILLE RD / CHENOWETH LN, LOUISVILLE, KY, 40207
35375, SHELBYVILLE RD / FRANKFORT AVE, LOUISVILLE, KY, 40207
35376, SHELBYVILLE RD / I 264 RAMP, LOUISVILLE, KY, 40207
35377, SHELBYVILLE RD / I 265 RAMP, LOUISVILLE, KY, 40223
35378, SHELBYVILLE RD / N HURSTBOURNE PKY, LOUISVILLE, KY, 40222
35379, SHELBYVILLE RD / N SHERRIN AVE, LOUISVILLE, KY, NA
