1, COMMUNITY / LARGE, LOUISVILLE, KY, 40056
285, 800 S 4TH ST, LOUISVILLE, KY, 40203
286, 4500 S 6TH ST, LOUISVILLE, KY, 40214
287, 4700 S 3RD ST, LOUISVILLE, KY, 40214
288, 4500 CANE RUN RD, LOUISVILLE, KY, 40216
289, 1400 NIGHTINGALE RD, LOUISVILLE, KY, 40213
290, 3200 ORCHARD MANOR CIR, LOUISVILLE, KY, 40220
291, 600 S 4TH ST, LOUISVILLE, KY, 40202
292, S 22ND ST / W BROADWAY, LOUISVILLE, KY, 40211
293, 100 WHISP BROOK CIR, LOUISVILLE, KY, 40229
294, 1100 E BROADWAY, LOUISVILLE, KY, 40204
295, 4200 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
296, 1200 S 3RD ST, LOUISVILLE, KY, 40203
297, 500 W ORMSBY AVE, LOUISVILLE, KY, 40203
298, W BROADWAY / LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
299, 1100 GARVIN PL, LOUISVILLE, KY, 40203
300, 1200 QUEST DR, LOUISVILLE, KY, 40213
301, 7800 DIXIE HWY, LOUISVILLE, KY, 40258
302, 1400 S BROOK ST, LOUISVILLE, KY, 40208
303, 1700 W OAK ST, LOUISVILLE, KY, 40210
304, 400 N 29TH ST, LOUISVILLE, KY, 40212
305, 4800 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
306, 8000 PRESTON HWY, LOUISVILLE, KY, 40219
307, 9400 DORAL CT, LOUISVILLE, KY, 40220
308, 1200 W BROADWAY, LOUISVILLE, KY, 40203
309, 1700 WILART DR, LOUISVILLE, KY, 40210
310, 2900 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
311, 3700 W BROADWAY, LOUISVILLE, KY, 40211
312, DIXIE HWY / VALLEY STATION RD, LOUISVILLE, KY, 40272
313, E ORMSBY AVE / S PRESTON ST, LOUISVILLE, KY, 40203
314, 3200 BARDSTOWN RD, LOUISVILLE, KY, 40205
315, 5300 MITSCHER AVE, LOUISVILLE, KY, 40214
316, 700 M ST, LOUISVILLE, KY, 40208
317, 3700 E WHEATMORE DR, LOUISVILLE, KY, 40215
318, S 28TH ST / W MARKET ST, LOUISVILLE, KY, 40212
319, 1800 CARL CT, LOUISVILLE, KY, 40215
320, 900 S BROOK ST, LOUISVILLE, KY, 40203
321, CHEROKEE PARK, LOUISVILLE, KY, 40205
322, 5300 RANGELAND RD, LOUISVILLE, KY, 40219
323, 1100 S 4TH ST, LOUISVILLE, KY, 40203
324, SEELBACH AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
325, 12400 OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
326, 3000 MID DALE LN, LOUISVILLE, KY, 40220
327, 200 JUNEAU DR, LOUISVILLE, KY, 40243
328, 600 S 42ND ST, LOUISVILLE, KY, 40211
329, 7100 SOUTHSIDE DR, LOUISVILLE, KY, 40214
330, E BROADWAY / S HANCOCK ST, LOUISVILLE, KY, 40202
331, 1000 W JEFFERSON ST, LOUISVILLE, KY, 40203
332, 700 CAMP ST, LOUISVILLE, KY, 40203
333, 9400 WESTPORT RD, LOUISVILLE, KY, 40241
334, 1500 CLARA AVE, LOUISVILLE, KY, 40215
335, 6200 LEDGEWOOD PKY, LOUISVILLE, KY, 40214
336, FERN VALLEY RD / PRESTON HWY, LOUISVILLE, KY, 40219
337, 1200 W ASHLAND AVE, LOUISVILLE, KY, 40215
338, 4200 NORENE LN, LOUISVILLE, KY, 40219
339, 1200 LIPPS LN, LOUISVILLE, KY, 40219
340, 4300 CRITTENDEN DR, LOUISVILLE, KY, 40209
341, 5300 BARDSTOWN RD, LOUISVILLE, KY, 40291
342, 100 E BROADWAY, LOUISVILLE, KY, 40202
343, 600 CECIL AVE, LOUISVILLE, KY, 40211
344, 600 INDUSTRY RD, LOUISVILLE, KY, 40208
345, 1600 W OAK ST, LOUISVILLE, KY, 40210
346, 5200 BARDSTOWN RD, LOUISVILLE, KY, 40291
347, 6800 SOUTHSIDE DR, LOUISVILLE, KY, 40214
348, IROQUOIS PARK, LOUISVILLE, KY, 40214
349, S 35TH ST / W BROADWAY, LOUISVILLE, KY, 40211
350, 1700 S 13TH ST, LOUISVILLE, KY, 40210
351, 2600 BANK ST, LOUISVILLE, KY, 40212
352, 3800 SOUTHERN PKY, LOUISVILLE, KY, 40214
353, 4300 SHADY VILLA DR, LOUISVILLE, KY, 40219
354, 6900 BROOKLAWN DR, LOUISVILLE, KY, 40214
355, 900 S 1ST ST, LOUISVILLE, KY, 40203
356, OUTER LOOP / PRESTON HWY, LOUISVILLE, KY, 40219
357, 12100 SHELBYVILLE RD, LOUISVILLE, KY, 40243
358, 3100 BROOKLAWN CAMPUS DR, LOUISVILLE, KY, 40218
359, 3800 FRANKFORT AVE, LOUISVILLE, KY, 40207
360, 800 EASTERN PKY, LOUISVILLE, KY, 40217
361, 10300 DIXIE HWY, LOUISVILLE, KY, 40272
362, 200 E KENTUCKY ST, LOUISVILLE, KY, 40203
363, 2400 ST XAVIER ST, LOUISVILLE, KY, 40212
364, 4200 MEDALLION CT, LOUISVILLE, KY, 40219
365, 4900 NORTON HEALTHCARE BLVD, LOUISVILLE, KY, 40241
366, 100 FENLEY AVE, LOUISVILLE, KY, 40207
367, 1000 FAIRDALE RD, LOUISVILLE, KY, 40118
368, 1400 DIXIE HWY, LOUISVILLE, KY, 40210
369, 400 S 5TH ST, LOUISVILLE, KY, 40202
370, 600 S 35TH ST, LOUISVILLE, KY, 40211
371, 9800 PRESTON CROSSING BLVD, LOUISVILLE, KY, 40229
372, 3100 SPRINGFIELD DR, LOUISVILLE, KY, 40214
373, 400 N 25TH ST, LOUISVILLE, KY, 40212
374, 9500 WESTPORT RD, LOUISVILLE, KY, 40241
375, 3300 RED ROOF INN PL, LOUISVILLE, KY, 40218
376, 3600 HILLCROSS DR, LOUISVILLE, KY, 40229
377, S 12TH ST / CEDAR CT, LOUISVILLE, KY, 40203
378, 3000 GREENWOOD AVE, LOUISVILLE, KY, 40211
379, 3200 UTAH AVE, LOUISVILLE, KY, 40215
380, 400 S 11TH ST, LOUISVILLE, KY, 40203
381, S 15TH ST / W BROADWAY, LOUISVILLE, KY, 40203
382, 1300 S PRESTON ST, LOUISVILLE, KY, 40208
383, 3300 RENWOOD BLVD, LOUISVILLE, KY, 40214
384, 9700 PRESTON CROSSING BLVD, LOUISVILLE, KY, 40229
385, 4000 SOUTHERN PKY, LOUISVILLE, KY, 40214
386, 4900 BROWNSBORO RD, LOUISVILLE, KY, 40222
387, 600 S 41ST ST, LOUISVILLE, KY, 40211
388, E INDIAN TRL / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
389, 1000 S 38TH ST, LOUISVILLE, KY, 40211
390, 1100 S 1ST ST, LOUISVILLE, KY, 40203
391, 11400 WESTPORT RD, LOUISVILLE, KY, 40241
392, 1900 BASHFORD MANOR LN, LOUISVILLE, KY, 40218
393, 4900 SADDLEBROOK LN, LOUISVILLE, KY, 40216
394, 1600 CYPRESS ST, LOUISVILLE, KY, 40210
395, 3100 S 3RD ST, LOUISVILLE, KY, 40214
396, 500 S 8TH ST, LOUISVILLE, KY, 40203
397, 1 AUDUBON PLAZA DR, LOUISVILLE, KY, 40217
398, 1000 CHEROKEE RD, LOUISVILLE, KY, 40204
399, 8400 DIXIE HWY, LOUISVILLE, KY, 40258
400, BAXTER AVE / E BROADWAY, LOUISVILLE, KY, 40204
401, NEW CUT RD / OUTER LOOP, LOUISVILLE, KY, 40214
402, S 7TH ST / W HILL ST, LOUISVILLE, KY, 40208
403, S FLOYD ST / E ST CATHERINE ST, LOUISVILLE, KY, 40203
404, 1400 OAKWOOD AVE, LOUISVILLE, KY, 40215
405, 1500 OLEANDA AVE, LOUISVILLE, KY, 40215
406, 1700 WILSON AVE, LOUISVILLE, KY, 40210
407, 2300 W BROADWAY, LOUISVILLE, KY, 40211
408, 900 GOSS AVE, LOUISVILLE, KY, 40217
409, S 12TH ST / W BROADWAY, LOUISVILLE, KY, 40203
410, 1700 W BROADWAY, LOUISVILLE, KY, 40203
411, BARDSTOWN RD / GOLDSMITH LN, LOUISVILLE, KY, 40205
412, 1300 S BROOK ST, LOUISVILLE, KY, 40208
413, 4800 DIXIE HWY, LOUISVILLE, KY, 40216
414, 6500 SIGNATURE DR, LOUISVILLE, KY, 40213
415, 3600 ELDERWOOD WAY, LOUISVILLE, KY, 40215
416, 1600 S 13TH ST, LOUISVILLE, KY, 40210
417, 6000 PRESTON HWY, LOUISVILLE, KY, 40219
418, BERRY BLVD / TAYLOR BLVD, LOUISVILLE, KY, 40215
419, 1100 S 3RD ST, LOUISVILLE, KY, 40203
420, 2100 DIXIE HWY, LOUISVILLE, KY, 40210
421, 3500 7TH STREET RD, LOUISVILLE, KY, 40216
422, 100 E JEFFERSON ST, LOUISVILLE, KY, 40202
423, 9400 BROWNSBORO RD, LOUISVILLE, KY, 40241
424, DIXIE HWY / W OAK ST, LOUISVILLE, KY, 40210
425, 1800 MELLWOOD AVE, LOUISVILLE, KY, 40206
426, 2400 ELLIOTT AVE, LOUISVILLE, KY, 40211
427, 2600 ROWAN ST, LOUISVILLE, KY, 40212
428, 3700 TAYLORSVILLE RD, LOUISVILLE, KY, 40220
429, 8600 NATIONAL TPKE, LOUISVILLE, KY, 40118
430, 2200 HIKES LN, LOUISVILLE, KY, 40218
431, 4100 LA SALLE AVE, LOUISVILLE, KY, 40215
432, 5600 OXFORD CT, LOUISVILLE, KY, 40291
433, 600 S 39TH ST, LOUISVILLE, KY, 40211
434, 1000 S 28TH ST, LOUISVILLE, KY, 40211
435, 1300 S 28TH ST, LOUISVILLE, KY, 40211
436, 2200 PAYNE ST, LOUISVILLE, KY, 40206
437, 2300 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
