street,City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,County,Zip,Country,Source
4000 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
6100 OAKWAY LN,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3100 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.661016,-97.283084,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
4700 PLAYERS PK,Fort Worth,TX,32.948474,-97.152368,0.33,place,Tarrant County,76092,US,TIGER/Line® dataset from the US Census Bureau
5500 EAST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
5200 A ROBERSON BL,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
10500 SASLOW SK,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2600 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.668288,-97.355992,1,range_interpolation,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3700 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.709653,-97.232115,0.2,rooftop,Tarrant County,76119,US,Tarrant County
6100 ZEPHYR WAY,Fort Worth,TX,32.85486,-97.322098,1,range_interpolation,Tarrant County,76131,US,TIGER/Line® dataset from the US Census Bureau
3400 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
6100 WRIGLEY WAY,Fort Worth,TX,32.6559,-97.390653,1,rooftop,Tarrant County,76133,US,Tarrant County
500 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.753319,-97.482281,0.2,rooftop,Tarrant County,76108,US,Tarrant County
7400 E SOUTH MEADOW DR,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
1400 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2700 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2900 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.66248,-97.28836,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
6800 GREEN OAKS RD,Fort Worth,TX,32.745297,-97.432916,0.8,street_center,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
2800 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
300 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3900 HIGHWAY,Fort Worth,TX,32.743094,-97.426847,0.33,place,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
10600 FLAGSTAFF RU,Fort Worth,TX,32.601095,-97.314852,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
1400 NORTH SOUTH FW,Fort Worth,TX,32.728945,-97.321123,0.6,rooftop,Tarrant County,76104,US,Tarrant County
1600 NORTH SOUTH FW,Fort Worth,TX,32.72683,-97.321098,0.6,rooftop,Tarrant County,76104,US,Tarrant County
1800 NORTH SOUTH FW,Fort Worth,TX,32.741679,-97.345478,0.5,rooftop,Tarrant County,76102,US,Tarrant County
6000 CARSWELL ACCESS RD,Fort Worth,TX,32.775595,-97.411732,1,range_interpolation,Tarrant County,76114,US,TIGER/Line® dataset from the US Census Bureau
100 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.778482,-97.213082,0.9,range_interpolation,Tarrant County,76118,US,TIGER/Line® dataset from the US Census Bureau
2500 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.839035,-97.317669,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
3500 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.7117,-97.230695,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4400 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.696655,-97.238821,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4700 SOUTH RIDGE TE,Fort Worth,TX,32.679273,-97.370191,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
4900 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3300 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3400 SOUTH HILLS AV,Fort Worth,TX,32.696199,-97.365063,1,range_interpolation,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
7300 SOUTH RIDGE TR,Fort Worth,TX,32.637325,-97.362721,0.2,rooftop,Tarrant County,76133,US,Tarrant County
1700 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1800 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.839852,-97.330754,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
3400 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3900 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
5000 LAGO BE,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3100 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3900 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.705188,-97.234158,0.2,rooftop,Tarrant County,76119,US,Tarrant County
100 EAST FREEWAY E INTERSTATE,Fort Worth,TX,32.934203,-97.3135,0.9,rooftop,Tarrant County,76177,US,Tarrant County
2300 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
6600 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.801505,-97.430193,0.9,range_interpolation,Tarrant County,76135,US,TIGER/Line® dataset from the US Census Bureau
10500 FLAGSTAFF RU,Fort Worth,TX,32.603322,-97.314327,1,rooftop,Tarrant County,76140,US,Tarrant County
1300 S FORUM WAY,Fort Worth,TX,32.620557,-97.310447,0.6,rooftop,Tarrant County,76140,US,Tarrant County
1700 NORTH SOUTH FW,Fort Worth,TX,32.742243,-97.343929,0.5,rooftop,Tarrant County,76102,US,Tarrant County
2300 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.791882,-97.20224,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3600 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
4200 MILLER AV,Fort Worth,TX,32.702542,-97.262901,1,range_interpolation,Tarrant County,76119,US,TIGER/Line® dataset from the US Census Bureau
1000 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1900 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2800 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.715375,-97.229369,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3800 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
4000 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.704284,-97.234936,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4200 SOUTH FW,Fort Worth,TX,32.725551,-97.387142,1,rooftop,Tarrant County,76115,US,Tarrant County
700 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
8600 EAST FREEWAY,Fort Worth,TX,32.894724,-97.31482,0.9,rooftop,Tarrant County,76177,US,Tarrant County
10000 BULL RU,Fort Worth,TX,32.63822,-97.280597,0.8,street_center,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
2000 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.670724,-97.351276,1,range_interpolation,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2700 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.664455,-97.292001,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
3000 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
7000 AVINGTON WAY,Fort Worth,TX,32.641014,-97.354115,0.8,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
1000 STONE CHAPEL WAY,Fort Worth,TX,32.839002,-97.378955,1,rooftop,Tarrant County,76179,US,Tarrant County
1400 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.783242,-97.212541,1,range_interpolation,Tarrant County,76118,US,TIGER/Line® dataset from the US Census Bureau
2500 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.664391,-97.294423,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
1700 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.666323,-97.345158,1,range_interpolation,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3000 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.714648,-97.229307,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3100 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.820919,-97.396457,0.7,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
3400 OUTLET BL,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3500 SOUTH HILLS AV,Fort Worth,TX,32.696241,-97.367143,1,range_interpolation,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
3600 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.710789,-97.231622,0.2,rooftop,Tarrant County,76119,US,Tarrant County
400 MAIN ST,Fort Worth,TX,32.762604,-97.336037,0.6,rooftop,Tarrant County,76102,US,Tarrant County
4300 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
5000 EXPOSITION WAY,Fort Worth,TX,32.913301,-97.279848,1,rooftop,Tarrant County,76244,US,Tarrant County
6500 NORMANDY RD,Fort Worth,TX,32.7485,-97.218803,1,rooftop,Tarrant County,76112,US,Tarrant County
7400 ASHBOURNE WAY,Fort Worth,TX,32.636333,-97.356525,1,rooftop,Tarrant County,76133,US,Tarrant County
8100 CALMONT AV,Fort Worth,TX,32.733457,-97.454557,1,range_interpolation,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
8400 BELLCHAISE DR,Fort Worth,TX,32.755882,-97.166421,1,range_interpolation,Tarrant County,76120,US,TIGER/Line® dataset from the US Census Bureau
8700 HUNTERS POINT WAY,Fort Worth,TX,32.614114,-97.387411,0.9,rooftop,Tarrant County,76123,US,Tarrant County
900 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
100 20 INTERSTATE 35W,Fort Worth,TX,32.666707,-97.32049,1,range_interpolation,Tarrant County,76119,US,TIGER/Line® dataset from the US Census Bureau
100 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.822856,-97.390858,0.8,street_center,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
1800 IM. TERRELL WAY,Fort Worth,TX,32.750089,-97.314366,1,range_interpolation,Tarrant County,76102,US,TIGER/Line® dataset from the US Census Bureau
2100 E INTERSTATE 820 FW,Fort Worth,TX,0,0,0,,,,,
2300 DOTTIE LYNN PK,Fort Worth,TX,32.744627,-97.175039,1,rooftop,Tarrant County,76120,US,Tarrant County
2700 SOUTH MEADOW DR,Fort Worth,TX,32.641152,-97.360306,1,rooftop,Tarrant County,76133,US,Tarrant County
5700 LIONFISH WAY,Fort Worth,TX,32.848401,-97.322148,1,rooftop,Tarrant County,76131,US,Tarrant County
6100 RIVER POINT DR,Fort Worth,TX,32.774265,-97.413933,1,range_interpolation,Tarrant County,76114,US,TIGER/Line® dataset from the US Census Bureau
6500 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.802768,-97.427032,0.9,range_interpolation,Tarrant County,76135,US,TIGER/Line® dataset from the US Census Bureau
8400 EAST FREEWAY,Fort Worth,TX,32.758636,-97.171192,1,rooftop,Tarrant County,76120,US,Tarrant County
1900 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.668994,-97.303786,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
2200 E INTERSTATE 820 FW,Fort Worth,TX,32.828308,-97.379958,0.8,street_center,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2500 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2500 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.839035,-97.317669,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2800 LAS VEGAS TR,Fort Worth,TX,32.734805,-97.467603,1,rooftop,Tarrant County,76116,US,Tarrant County
3600 AVE L,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3600 TULSA WAY,Fort Worth,TX,32.747033,-97.369963,1,range_interpolation,Tarrant County,76107,US,TIGER/Line® dataset from the US Census Bureau
3900 ANEWBY WAY,Fort Worth,TX,32.63735,-97.37829,1,rooftop,Tarrant County,76133,US,Tarrant County
5600 DECORY RD,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
600 7 OLD HIGHWAY,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
7300 E SOUTH MEADOW DR,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2100 EAST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,32.671868,-97.351531,1,range_interpolation,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2100 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.787452,-97.214806,0.2,rooftop,Tarrant County,76119,US,Tarrant County
2200 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.787719,-97.212431,0.9,range_interpolation,Tarrant County,76118,US,TIGER/Line® dataset from the US Census Bureau
2600 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2800 AVE J,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3200 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.713742,-97.229536,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3500 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3800 TULSA WAY,Fort Worth,TX,32.745611,-97.372765,1,rooftop,Tarrant County,76107,US,Tarrant County
6000 WIMBLETON WAY,Fort Worth,TX,32.657084,-97.386145,1,rooftop,Tarrant County,76133,US,Tarrant County
100 NORTH SOUTH FW,Fort Worth,TX,32.742146,-97.321625,0.6,rooftop,Tarrant County,76104,US,Tarrant County
1100 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.730487,-97.226295,0.2,rooftop,Tarrant County,76119,US,Tarrant County
1200 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.78217,-97.211601,0.2,rooftop,Tarrant County,76119,US,Tarrant County
1200 S FORUM WAY,Fort Worth,TX,32.621324,-97.310436,0.6,rooftop,Tarrant County,76140,US,Tarrant County
1200 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.78217,-97.211601,0.2,rooftop,Tarrant County,76119,US,Tarrant County
1300 WIND STAR WAY,Fort Worth,TX,32.746668,-97.498514,1,rooftop,Tarrant County,76108,US,Tarrant County
13900 HAMMER HE,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
1400 SHINY OAKS TRL,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
15000 SEVENTEEN LAKES BL,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2200 NORTH SOUTH FW,Fort Worth,TX,32.740069,-97.349713,0.5,rooftop,Tarrant County,76102,US,Tarrant County
2300 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.791882,-97.20224,0.2,rooftop,Tarrant County,76119,US,Tarrant County
2700 AVE H,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2800 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3000 AVE K,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3000 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3400 AVE M,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3700 WILKIE WAY,Fort Worth,TX,32.659874,-97.370515,1,range_interpolation,Tarrant County,76133,US,TIGER/Line® dataset from the US Census Bureau
3800 STAGHORN CIR N,Fort Worth,TX,32.882159,-97.302294,1,rooftop,Tarrant County,76137,US,Tarrant County
4200 AVE M,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
4400 FOXFIRE WAY,Fort Worth,TX,32.644738,-97.387497,1,rooftop,Tarrant County,76133,US,Tarrant County
4800 SALMON RUN WAY,Fort Worth,TX,32.882793,-97.284287,1,rooftop,Tarrant County,76137,US,Tarrant County
5100 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,32.836678,-97.314016,0.8,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
5500 TINKERBELL LN,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
6100 CARSWELL ACCESS RD,Fort Worth,TX,32.774963,-97.413539,1,range_interpolation,Tarrant County,76114,US,TIGER/Line® dataset from the US Census Bureau
7000 E SOUTH MEADOW DR,Fort Worth,TX,32.771419,-97.291484,0.33,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
800 E INTERSTATE 820 FW,Fort Worth,TX,0,0,0,,,,,
8100 OAKMONT BL,Fort Worth,TX,32.668888,-97.42705,1,range_interpolation,Tarrant County,76132,US,TIGER/Line® dataset from the US Census Bureau
9500 WILLOW BRANCH WAY,Fort Worth,TX,32.605237,-97.399889,1,range_interpolation,Tarrant County,76123,US,TIGER/Line® dataset from the US Census Bureau
10100 BULL RU,Fort Worth,TX,32.63822,-97.280597,0.8,street_center,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
10400 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,32.933067,-97.316206,0.8,range_interpolation,Tarrant County,76177,US,TIGER/Line® dataset from the US Census Bureau
1700 GAINSBOROUGH WAY,Fort Worth,TX,32.625009,-97.34433,1,rooftop,Tarrant County,76134,US,Tarrant County
1900 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.839595,-97.32968,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
200 N JIM WRIGHT FW,Fort Worth,TX,32.761947,-97.475857,1,rooftop,Tarrant County,76108,US,Tarrant County
200 STOCKYARDS BL,Fort Worth,TX,32.791964,-97.344789,0.8,street_center,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
2200 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.667692,-97.299251,1,range_interpolation,Tarrant County,76134,US,TIGER/Line® dataset from the US Census Bureau
