Block Address,Block Address Expanded,City,State,n
100 BLOCK  COMMANDER RD,100 COMMANDER RD,Fort Worth,TX,1
100 BLOCK  COTILLION RD,100 COTILLION RD,Fort Worth,TX,2
100 BLOCK  DUPONT CI,100 DUPONT CI,Fort Worth,TX,1
100 BLOCK  EAST FREEWAY EB E IH RA,100 EAST FREEWAY E INTERSTATE,Fort Worth,TX,1
100 BLOCK  EAST LOOP 820,100 EAST LOOP INTERSTATE 820,Fort Worth,TX,61
100 BLOCK  EAST LOOP 820 NORTH RA,100 EAST LOOP INTERSTATE 820 820 NORTH,Fort Worth,TX,1
100 BLOCK  EAST LOOP 820 SB,100 EAST LOOP INTERSTATE 820 820,Fort Worth,TX,1
100 BLOCK  ENERGY WA,100 ENERGY WAY,Fort Worth,TX,2
100 BLOCK  ENERGY WAY,100 ENERGY WAY,Fort Worth,TX,4
100 BLOCK  EXETER ST,100 EXETER ST,Fort Worth,TX,1
100 BLOCK  EXPEDITION DR,100 EXPEDITION DR,Fort Worth,TX,1
100 BLOCK  FAA DFW AIRPORT RA,100 FAA DFW AIRPORT,Fort Worth,TX,1
100 BLOCK  GREENWAY PARK DR,100 GREENWAY PARK DR,Fort Worth,TX,1
100 BLOCK  HALTOM RD,100 HALTOM RD,Fort Worth,TX,2
100 BLOCK  INDUSTRIAL AV,100 INDUSTRIAL AV,Fort Worth,TX,1
100 BLOCK  ISBELL RD,100 ISBELL RD,Fort Worth,TX,3
100 BLOCK  JIM WRIGHT EB NORTHW RA,100 JIM WRIGHT NORTHW,Fort Worth,TX,1
100 BLOCK  JONES ST,100 JONES ST,Fort Worth,TX,1
100 BLOCK  LAS VEGAS WEST LOOP RA,100 LAS VEGAS WEST LOOP INTERSTATE 820,Fort Worth,TX,1
100 BLOCK  LAS VEGAS WEST LOOP RAMP,100 LAS VEGAS WEST LOOP INTERSTATE 820,Fort Worth,TX,1
100 BLOCK  LINDENWOOD DR,100 LINDENWOOD DR,Fort Worth,TX,1
100 BLOCK  LINKCREST IH 30 WB RA,100 LINKCREST INTERSTATE 30,Fort Worth,TX,1
100 BLOCK  LONGHORN DR,100 LONGHORN DR,Fort Worth,TX,1
100 BLOCK  MARTIN EAST LOOP 820 RAMP,100 MARTIN EAST LOOP INTERSTATE 820 820,Fort Worth,TX,1
100 BLOCK  NICHOLS ST,100 NICHOLS ST,Fort Worth,TX,1
100 BLOCK  NORTH FREEWAY BRASWE RA,100 NORTH FREEWAY BRASWE,Fort Worth,TX,1
100 BLOCK  NORTH FWY SR SB,100 NORTH FREEWAY SERVICE ROAD,Fort Worth,TX,1
100 BLOCK  NORTH SOUTH FW,100 NORTH SOUTH FW,Fort Worth,TX,11
100 BLOCK  NORTHEAST LOOP 820,100 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,24
100 BLOCK  NORTHEAST LOOP 820 E RAMP,100 NORTHEAST LOOP INTERSTATE 820 820 E,Fort Worth,TX,1
100 BLOCK  NORTHEAST LOOP 820 W RAMP,100 NORTHEAST LOOP INTERSTATE 820 820 W,Fort Worth,TX,1
100 BLOCK  NORTHWEST LOOP 820,100 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,14
100 BLOCK  NURSERY LN,100 NURSERY LN,Fort Worth,TX,1
100 BLOCK  PROSPECTOR CT,100 PROSPECTOR CT,Fort Worth,TX,1
100 BLOCK  RIDGLEA CTRY CLB STA RA,100 RIDGLEA CTRY CLB STA,Fort Worth,TX,1
100 BLOCK  RIVERSIDE DR,100 RIVERSIDE DR,Fort Worth,TX,2
100 BLOCK  RIVERSIDE NB IH 30 E RA,100 RIVERSIDE INTERSTATE 30 E,Fort Worth,TX,1
100 BLOCK  RIVERSIDE SB US 287 NB RAMP HWY,100 RIVERSIDE US 287 HWY,Fort Worth,TX,1
100 BLOCK  ROSEDALE EAST LOOP 8 RA,100 ROSEDALE EAST LOOP INTERSTATE 820 8,Fort Worth,TX,1
100 BLOCK  SANDY LN,100 SANDY LN,Fort Worth,TX,2
100 BLOCK  SHUMER SHUFFLE DR,100 SHUMER SHUFFLE DR,Fort Worth,TX,3
100 BLOCK  SOUTH FW,100 SOUTH FW,Fort Worth,TX,1
100 BLOCK  SOUTH FW SR SB IH 20 RA,100 SOUTH FW SERVICE ROAD INTERSTATE 20,Fort Worth,TX,2
100 BLOCK  SOUTHEAST LOOP 820,100 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,7
100 BLOCK  SOUTHEAST LOOP 820 FWY,100 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,Fort Worth,TX,1
100 BLOCK  SOUTHWEST LOOP 820,100 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,7
100 BLOCK  SPUR 280 WB 4TH WB RA,100 SPUR 280 4TH,Fort Worth,TX,3
100 BLOCK  SPUR 341 SB CALMONT RA,100 SPUR 341 CALMONT,Fort Worth,TX,1
100 BLOCK  STATE HWY 183 WB SOU RA,100 STATE HWY 183 SOU,Fort Worth,TX,1
100 BLOCK  STREAMS AND VALLEYS CIR,100 STREAMS AND VALLEYS CIR,Fort Worth,TX,1
100 BLOCK  TENNESSEE AV,100 TENNESSEE AV,Fort Worth,TX,2
100 BLOCK  TRINITY CT,100 TRINITY CT,Fort Worth,TX,1
100 BLOCK  VICTORIAN DR,100 VICTORIAN DR,Fort Worth,TX,1
100 BLOCK  WEST FREEWAY EB GREE RA,100 WEST FREEWAY GREE,Fort Worth,TX,1
100 BLOCK  WEST FW,100 WEST FW,Fort Worth,TX,2
100 BLOCK  WESTVIEW AVE,100 WESTVIEW AVE,Fort Worth,TX,1
100 BLOCK  WIMBERLY ST,100 WIMBERLY ST,Fort Worth,TX,1
100 BLOCK  YUCHI TRL N,100 YUCHI TRL N,Fort Worth,TX,1
100 BLOCK  YUCHI TRL S,100 YUCHI TRL S,Fort Worth,TX,1
100 BLOCK 7 OLD HIGHWAY 11,100 7 OLD HIGHWAY,Fort Worth,TX,5
100 BLOCK D WOODHAVEN BL,100 WOODHAVEN BL,Fort Worth,TX,2
100 BLOCK E 3RD ST,100 E 3RD ST,Fort Worth,TX,1
100 BLOCK E 4TH ST,100 E 4TH ST,Fort Worth,TX,1
100 BLOCK E BOZEMAN,100 E BOZEMAN,Fort Worth,TX,1
100 BLOCK E EXCHANGE AV ST 131,100 E EXCHANGE AV ST,Fort Worth,TX,1
100 BLOCK E FWY WB,100 E FREEWAY,Fort Worth,TX,1
100 BLOCK E IH 820 FW,100 E INTERSTATE 820 FW,Fort Worth,TX,3
100 BLOCK E IH 820 FWY,100 E INTERSTATE 820 FREEWAY,Fort Worth,TX,3
100 BLOCK E IH 820 FWY N,100 E INTERSTATE 820 FREEWAY N,Fort Worth,TX,2
100 BLOCK E ROSEDALE ST,100 E ROSEDALE ST,Fort Worth,TX,1
100 BLOCK E SEMINARY DR,100 E SEMINARY DR,Fort Worth,TX,1
100 BLOCK E STEPHENS ST,100 E STEPHENS ST,Fort Worth,TX,1
100 BLOCK IH 20 EB IH 35W NB RA,100 INTERSTATE 20 INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK IH 20 EB OAK GROVE RA,100 INTERSTATE 20 OAK GROVE,Fort Worth,TX,1
100 BLOCK IH 20 WB IH 35W SB RA,100 INTERSTATE 20 INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK IH 20 WB WEST LOOP 8 RAMP,100 INTERSTATE 20 WEST LOOP INTERSTATE 820 8,Fort Worth,TX,1
100 BLOCK IH 30 EB IH 35W NB RA,100 INTERSTATE 30 INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK IH 30 EB LANCASTER RA,100 INTERSTATE 30 LANCASTER,Fort Worth,TX,2
100 BLOCK IH 30 WB CALMONT RA,100 INTERSTATE 30 CALMONT,Fort Worth,TX,1
100 BLOCK IH 30 WB CHAPEL CREE RA,100 INTERSTATE 30 CHAPEL CREE,Fort Worth,TX,1
100 BLOCK IH 35W NB,100 INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK MC CART IH 20,100 MC CART INTERSTATE,Fort Worth,TX,1
100 BLOCK N BEACH ST,100 N BEACH ST,Fort Worth,TX,1
100 BLOCK N IH 820 FW,100 N INTERSTATE 820 FW,Fort Worth,TX,1
100 BLOCK N JIM WRIGHT FW,100 N JIM WRIGHT FW,Fort Worth,TX,1
100 BLOCK N JIM WRIGHT FWY,100 N JIM WRIGHT FREEWAY,Fort Worth,TX,1
100 BLOCK N NICHOLS ST,100 N NICHOLS ST,Fort Worth,TX,1
100 BLOCK N NORTH SOUTH FWY SR,100 N NORTH SOUTH FREEWAY SERVICE ROAD,Fort Worth,TX,2
100 BLOCK NE 28TH ST,100 NE 28TH ST,Fort Worth,TX,2
100 BLOCK NW JIM WRIGHT FW,100 NW JIM WRIGHT FW,Fort Worth,TX,2
100 BLOCK P 20 EB CAMPUS RA,100 20 CAMPUS,Fort Worth,TX,4
100 BLOCK P 20 EB IH 35W NB RA,100 20 INTERSTATE 35W,Fort Worth,TX,7
100 BLOCK P 20 EB IH 35W SB RA,100 20 INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK P 20 WB IH 35W NB RA,100 20 INTERSTATE 35W,Fort Worth,TX,2
100 BLOCK P 20 WB IH 35W SB RA,100 20 INTERSTATE 35W,Fort Worth,TX,4
100 BLOCK P 28TH IH 35W NB RA,100 28TH INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK P 28TH IH 35W SB RA,100 28TH INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK P 30 EB IH 35W NB RA,100 30 INTERSTATE 35W,Fort Worth,TX,27
100 BLOCK P 30 EB IH 35W SB RA,100 30 INTERSTATE 35W,Fort Worth,TX,3
100 BLOCK P 30 EB SPUR 341 NB RA,100 30 SPUR 341,Fort Worth,TX,1
100 BLOCK P 30 EB WEST FREEWA RA,100 30 WEST FREEWA,Fort Worth,TX,1
100 BLOCK P 30 IH 820 SB RA,100 30 INTERSTATE 820,Fort Worth,TX,1
100 BLOCK P 30 WB ALTA MERE RA,100 30 ALTA MERE,Fort Worth,TX,1
100 BLOCK P 30 WB EXIT EASTCH RA,100 30 EXIT EASTCH,Fort Worth,TX,1
100 BLOCK P 30 WB IH 35W SB RA,100 30 INTERSTATE 35W,Fort Worth,TX,5
100 BLOCK P 30 WB RIVERSIDE S RA,100 30 RIVERSIDE S,Fort Worth,TX,1
100 BLOCK P 33RD E LONG RA,100 33RD E LONG,Fort Worth,TX,1
100 BLOCK P 35W NB IH 20 EB RA,100 35W INTERSTATE 20,Fort Worth,TX,1
100 BLOCK P 35W NB WESTERN CE RA,100 35W WESTERN CE,Fort Worth,TX,1
100 BLOCK P 35W SR NB NORTHEA RA,100 35W SERVICE ROAD NORTHEA,Fort Worth,TX,1
100 BLOCK P 7TH EB SPUR 280 EB RA,100 7TH SPUR 280,Fort Worth,TX,1
100 BLOCK P 820 WB SH 199 EB RA,100 820 SH 199,Fort Worth,TX,1
100 BLOCK P ALTAMESA NB IH 35W N RA,100 ALTAMESA INTERSTATE 35W N,Fort Worth,TX,5
100 BLOCK P ALTAMESA NB IH 35W S RA,100 ALTAMESA INTERSTATE 35W S,Fort Worth,TX,4
100 BLOCK P AMERICAN BLVD AIRPOR RA,100 AMERICAN BLVD AIRPOR,Fort Worth,TX,1
100 BLOCK P BASSWOOD IH 35W NB RA,100 BASSWOOD INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK P CAMP BOWIE IH 30 EB RA,100 CAMP BOWIE INTERSTATE 30,Fort Worth,TX,2
100 BLOCK P CHERRY IH 30 EB RA,100 CHERRY INTERSTATE 30,Fort Worth,TX,4
100 BLOCK P CHERRY IH 30 WB RA,100 CHERRY INTERSTATE 30,Fort Worth,TX,1
100 BLOCK P COLLARD SB VICKERY W RA,100 COLLARD VICKERY W,Fort Worth,TX,1
100 BLOCK P DFW AIRPORT SH 183 W RA,100 DFW AIRPORT SH 183 W,Fort Worth,TX,1
100 BLOCK P EAST FREEWAY EB E IH RA,100 EAST FREEWAY E INTERSTATE,Fort Worth,TX,11
100 BLOCK P EAST FREEWAY EB IH 820 NB RA,100 EAST FREEWAY INTERSTATE 820,Fort Worth,TX,1
100 BLOCK P EAST FREEWAY WB E IH RA,100 EAST FREEWAY E INTERSTATE,Fort Worth,TX,8
100 BLOCK P FOCH SB LANCASTER WB RA,100 FOCH LANCASTER,Fort Worth,TX,2
100 BLOCK P HULEN IH 30 EB RA,100 HULEN INTERSTATE 30,Fort Worth,TX,1
100 BLOCK P HULEN NB VICKERY WB RA,100 HULEN VICKERY,Fort Worth,TX,1
100 BLOCK P HWY 183 EB INTERNATI RA,100 HWY 183 INTERNATI,Fort Worth,TX,2
100 BLOCK P HWY 287 SB EAST L RA,100 HWY 287 EAST L,Fort Worth,TX,1
100 BLOCK P JACKSBORO NORTHWEST RA,100 JACKSBORO NORTHWEST,Fort Worth,TX,1
100 BLOCK P MAIN NB NORTHEAST LO RA,100 MAIN NORTHEAST LO,Fort Worth,TX,1
100 BLOCK P MAIN SB NORTHWEST LO RA,100 MAIN NORTHWEST LO,Fort Worth,TX,2
100 BLOCK P MARK IV NORTHWEST LO RA,100 MARK IV NORTHWEST LO,Fort Worth,TX,2
100 BLOCK P MARK MARTIN IH 35W S RA,100 MARK MARTIN INTERSTATE 35W S,Fort Worth,TX,1
100 BLOCK P MITCHELL US HWY 287 RA,100 MITCHELL US HWY 287,Fort Worth,TX,1
100 BLOCK P MONTGOMERY IH 30 WB RA,100 MONTGOMERY INTERSTATE 30,Fort Worth,TX,1
100 BLOCK P NORTH FREEWAY BRASWE RA,100 NORTH FREEWAY BRASWE,Fort Worth,TX,1
100 BLOCK P RENDON CROWLEY IH 35 RA,100 RENDON CROWLEY INTERSTATE 35,Fort Worth,TX,2
100 BLOCK P RIDGMAR ALTA MERE RA,100 RIDGMAR ALTA MERE,Fort Worth,TX,1
100 BLOCK P RIDGMAR IH 30 WB RA,100 RIDGMAR INTERSTATE 30,Fort Worth,TX,1
100 BLOCK P RIVERSIDE NB IH 30 E RA,100 RIVERSIDE INTERSTATE 30 E,Fort Worth,TX,2
100 BLOCK P RIVERSIDE SB US HWY RA,100 RIVERSIDE US HWY,Fort Worth,TX,1
100 BLOCK P ROSEDALE IH 35W NB RA,100 ROSEDALE INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK P ROSEDALE US HWY 287 RA,100 ROSEDALE US HWY 287,Fort Worth,TX,1
100 BLOCK P SPUR 280 WB 4TH WB RA,100 SPUR 280 4TH,Fort Worth,TX,3
100 BLOCK P STATE HWY 121 WB IH35 SB RA,100 STATE HWY 121 IH35,Fort Worth,TX,1
100 BLOCK P STATE HWY 183 SB RID RA,100 STATE HWY 183 RID,Fort Worth,TX,1
100 BLOCK P STATE HWY 360 SB AIR RA,100 STATE HWY 360 AIR,Fort Worth,TX,1
100 BLOCK P VICKERY EB IH 30 EB RA,100 VICKERY INTERSTATE 30,Fort Worth,TX,1
100 BLOCK P WEATHERFORD EB GILVI RA,100 WEATHERFORD GILVI,Fort Worth,TX,1
100 BLOCK P WEST FREEWAY WB IH 35 RA,100 WEST FREEWAY INTERSTATE 35,Fort Worth,TX,1
100 BLOCK P WILBARGER US HWY 287 RA,100 WILBARGER US HWY 287,Fort Worth,TX,2
100 BLOCK S JIM WRIGHT FW,100 S JIM WRIGHT FW,Fort Worth,TX,3
100 BLOCK S JIM WRIGHT FWY,100 S JIM WRIGHT FREEWAY,Fort Worth,TX,1
100 BLOCK SB EAST FREEWAY,100 EAST FREEWAY,Fort Worth,TX,1
100 BLOCK SW BRUSHY MOUND RD,100 SW BRUSHY MOUND RD,Fort Worth,TX,1
100 BLOCK US 287 SB VICKERY RA,100 US 287 VICKERY,Fort Worth,TX,2
100 BLOCK US HWY 287 NB IH 35W RA,100 US HWY 287 INTERSTATE 35W,Fort Worth,TX,2
100 BLOCK V WEST FRWY EB WEST FR CR,100 WEST FRWY WEST FR CR,Fort Worth,TX,1
100 BLOCK W 3RD ST,100 W 3RD ST,Fort Worth,TX,1
100 BLOCK W EXCHANGE AVE,100 W EXCHANGE AVE,Fort Worth,TX,2
100 BLOCK W HALLMARK DR,100 W HALLMARK DR,Fort Worth,TX,1
100 BLOCK W PARK ROW DR,100 W PARK ROW DR,Fort Worth,TX,1
100 N HENDERSON ST  900 W BELKNAP ST,100 N HENDERSON ST 900 W BELKNAP ST,Fort Worth,TX,1
100 SOUTH FWY SR SB IH 20 EB IH 35W SB,100 SOUTH FREEWAY SERVICE ROAD INTERSTATE 20 INTERSTATE 35W,Fort Worth,TX,1
1000 BLOCK  6TH AVE,1000 6TH AVE,Fort Worth,TX,2
1000 BLOCK  ALCATEL LN,1000 ALCATEL LN,Fort Worth,TX,7
1000 BLOCK  ALSTON AV,1000 ALSTON AV,Fort Worth,TX,3
1000 BLOCK  ALTA MERE DR,1000 ALTA MERE DR,Fort Worth,TX,1
1000 BLOCK  APPALOOSA CI,1000 APPALOOSA CI,Fort Worth,TX,1
1000 BLOCK  BARCLAY AV,1000 BARCLAY AV,Fort Worth,TX,1
1000 BLOCK  BARCLAY AVE,1000 BARCLAY AVE,Fort Worth,TX,3
1000 BLOCK  BESSIE ST,1000 BESSIE ST,Fort Worth,TX,4
1000 BLOCK  BINKLEY ST,1000 BINKLEY ST,Fort Worth,TX,1
1000 BLOCK  BLUE LAKE DR,1000 BLUE LAKE DR,Fort Worth,TX,1
1000 BLOCK  BOCA CIRCA,1000 BOCA CIRCA,Fort Worth,TX,1
1000 BLOCK  BRADLEY AV,1000 BRADLEY AV,Fort Worth,TX,1
1000 BLOCK  BROWN DR,1000 BROWN DR,Fort Worth,TX,4
1000 BLOCK  CALVERT ST,1000 CALVERT ST,Fort Worth,TX,2
1000 BLOCK  CARDINAL RIDGE AV,1000 CARDINAL RIDGE AV,Fort Worth,TX,1
1000 BLOCK  CARDINAL RIDGE AVE,1000 CARDINAL RIDGE AVE,Fort Worth,TX,1
1000 BLOCK  CHICAGO AVE,1000 CHICAGO AVE,Fort Worth,TX,1
1000 BLOCK  CHURCHILL RD,1000 CHURCHILL RD,Fort Worth,TX,1
1000 BLOCK  COLE CT,1000 COLE CT,Fort Worth,TX,2
1000 BLOCK  CONNER AV,1000 CONNER AV,Fort Worth,TX,1
1000 BLOCK  CONNER AVE,1000 CONNER AVE,Fort Worth,TX,1
1000 BLOCK  COTTON DEPOT LN,1000 COTTON DEPOT LN,Fort Worth,TX,2
1000 BLOCK  DEERBROOK DR,1000 DEERBROOK DR,Fort Worth,TX,2
1000 BLOCK  DORAL DR,1000 DORAL DR,Fort Worth,TX,1
1000 BLOCK  EAGLE RIDGE DR,1000 EAGLE RIDGE DR,Fort Worth,TX,3
1000 BLOCK  EAST LOOP 820,1000 EAST LOOP INTERSTATE 820,Fort Worth,TX,18
1000 BLOCK  EAST LOOP 820 NORTH,1000 EAST LOOP INTERSTATE 820 820 NORTH,Fort Worth,TX,1
1000 BLOCK  EAST LOOP 820 SOUTH,1000 EAST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,3
1000 BLOCK  ECHO LAKE N,1000 ECHO LAKE N,Fort Worth,TX,1
1000 BLOCK  EDNEY ST,1000 EDNEY ST,Fort Worth,TX,2
1000 BLOCK  ELMWOOD AV,1000 ELMWOOD AV,Fort Worth,TX,1
1000 BLOCK  FABONS ST,1000 FABONS ST,Fort Worth,TX,2
1000 BLOCK  FLORENCE ST,1000 FLORENCE ST,Fort Worth,TX,3
1000 BLOCK  GREEN RIVER TRL,1000 GREEN RIVER TRL,Fort Worth,TX,1
1000 BLOCK  HALTOM RD,1000 HALTOM RD,Fort Worth,TX,1
1000 BLOCK  HASKELL ST,1000 HASKELL ST,Fort Worth,TX,1
1000 BLOCK  HAVENOAKS DR,1000 HAVENOAKS DR,Fort Worth,TX,2
1000 BLOCK  HAWTHORNE AVE,1000 HAWTHORNE AVE,Fort Worth,TX,2
1000 BLOCK  HAYNES AVE,1000 HAYNES AVE,Fort Worth,TX,1
1000 BLOCK  HOUSTON ST,1000 HOUSTON ST,Fort Worth,TX,6
1000 BLOCK  ILLINOIS AVE,1000 ILLINOIS AVE,Fort Worth,TX,2
1000 BLOCK  ISBELL,1000 ISBELL,Fort Worth,TX,1
1000 BLOCK  JEROME ST,1000 JEROME ST,Fort Worth,TX,1
1000 BLOCK  KINGS HWY,1000 KINGS HWY,Fort Worth,TX,1
1000 BLOCK  LAKE CHARLES AVE,1000 LAKE CHARLES AVE,Fort Worth,TX,1
1000 BLOCK  LAMAR ST,1000 LAMAR ST,Fort Worth,TX,1
1000 BLOCK  LANDWOODS CT APT,1000 LANDWOODS CT APT,Fort Worth,TX,1
1000 BLOCK  MILLER AV,1000 MILLER AV,Fort Worth,TX,2
1000 BLOCK  MOSAIC DR,1000 MOSAIC DR,Fort Worth,TX,2
1000 BLOCK  NELSON AV,1000 NELSON AV,Fort Worth,TX,1
1000 BLOCK  NEW YORK AVE,1000 NEW YORK AVE,Fort Worth,TX,1
1000 BLOCK  NEWARK AVE,1000 NEWARK AVE,Fort Worth,TX,2
1000 BLOCK  NORTH FWY,1000 NORTH FREEWAY,Fort Worth,TX,1
1000 BLOCK  NORTH SOUTH FW,1000 NORTH SOUTH FW,Fort Worth,TX,2
1000 BLOCK  NORTHEAST LOOP 820,1000 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,65
1000 BLOCK  NORTHWEST LOOP 820,1000 NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,4
1000 BLOCK  NORTHWOOD RD,1000 NORTHWOOD RD,Fort Worth,TX,1
1000 BLOCK  OAK FOREST DR,1000 OAK FOREST DR,Fort Worth,TX,2
1000 BLOCK  OAK GROVE ST,1000 OAK GROVE ST,Fort Worth,TX,2
1000 BLOCK  OAKLAND HILLS LN,1000 OAKLAND HILLS LN,Fort Worth,TX,1
1000 BLOCK  PARK ST,1000 PARK ST,Fort Worth,TX,1
1000 BLOCK  PARKER ST,1000 PARKER ST,Fort Worth,TX,1
1000 BLOCK  PARSONS LN,1000 PARSONS LN,Fort Worth,TX,2
1000 BLOCK  PAVILLION CT,1000 PAVILLION CT,Fort Worth,TX,1
1000 BLOCK  PENNSYLVANIA AV,1000 PENNSYLVANIA AV,Fort Worth,TX,1
1000 BLOCK  SALT CREEK TR,1000 SALT CREEK TR,Fort Worth,TX,1
1000 BLOCK  SALT CREEK TRL,1000 SALT CREEK TRL,Fort Worth,TX,1
1000 BLOCK  SAMUELS AV,1000 SAMUELS AV,Fort Worth,TX,1
1000 BLOCK  SOUTH FW,1000 SOUTH FW,Fort Worth,TX,1
1000 BLOCK  SOUTHEAST LOOP 820,1000 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,2
1000 BLOCK  STONE CHAPEL WA,1000 STONE CHAPEL WAY,Fort Worth,TX,15
1000 BLOCK  STONE CHAPEL WAY,1000 STONE CHAPEL WAY,Fort Worth,TX,1
1000 BLOCK  TEQUILLA CT,1000 TEQUILLA CT,Fort Worth,TX,2
1000 BLOCK  TERMINAL RD,1000 TERMINAL RD,Fort Worth,TX,3
1000 BLOCK  THOMAS CROSSING DR,1000 THOMAS CROSSING DR,Fort Worth,TX,1
1000 BLOCK  TRAVIS AV,1000 TRAVIS AV,Fort Worth,TX,1
1000 BLOCK  TRINIDAD DR,1000 TRINIDAD DR,Fort Worth,TX,1
1000 BLOCK  TROOST ST,1000 TROOST ST,Fort Worth,TX,1
1000 BLOCK  UNIVERSITY DR,1000 UNIVERSITY DR,Fort Worth,TX,1
1000 BLOCK  VERBENA ST,1000 VERBENA ST,Fort Worth,TX,1
1000 BLOCK  VIRGINIA PL,1000 VIRGINIA PL,Fort Worth,TX,1
1000 BLOCK  WASHINGTON AVE,1000 WASHINGTON AVE,Fort Worth,TX,1
1000 BLOCK  WEST FWY SR WB,1000 WEST FREEWAY SERVICE ROAD,Fort Worth,TX,7
1000 BLOCK  WEST LOOP 820 SOUTH,1000 WEST LOOP INTERSTATE 820 820 SOUTH,Fort Worth,TX,5
1000 BLOCK  WHISPER WOODS CI,1000 WHISPER WOODS CI,Fort Worth,TX,3
1000 BLOCK  WILLIAMS RD,1000 WILLIAMS RD,Fort Worth,TX,1
1000 BLOCK  WOODLANDS CI,1000 WOODLANDS CI,Fort Worth,TX,5
1000 BLOCK 1 EAGLE RIDGE DR 17,1000 1 EAGLE RIDGE DR,Fort Worth,TX,1
1000 BLOCK D OAKLAND BL,1000 OAKLAND BL,Fort Worth,TX,3
1000 BLOCK E BEDDELL ST,1000 E BEDDELL ST,Fort Worth,TX,1
1000 BLOCK E BERRY ST,1000 E BERRY ST,Fort Worth,TX,2
1000 BLOCK E CANNON ST,1000 E CANNON ST,Fort Worth,TX,2
1000 BLOCK E HUMBOLT ST,1000 E HUMBOLT ST,Fort Worth,TX,1
1000 BLOCK E IH 820 FW,1000 E INTERSTATE 820 FW,Fort Worth,TX,2
1000 BLOCK E IH 820 FWY N,1000 E INTERSTATE 820 FREEWAY N,Fort Worth,TX,3
1000 BLOCK L HULEN MA,1000 L HULEN MA,Fort Worth,TX,1
1000 BLOCK N BEACH ST,1000 N BEACH ST,Fort Worth,TX,1
1000 BLOCK N IH 820 FW,1000 N INTERSTATE 820 FW,Fort Worth,TX,2
