block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
4200 EAST LOOP INTERSTATE 820 820 SOUTH,2,8,1,2,4,2,8,7,,,,,34
6100 OAKWAY LN,,,1,2,6,10,8,6,,,1,,34
3400 WEST LOOP INTERSTATE 820 820 SOUTH,3,4,2,5,4,8,2,5,,,,,33
5500 EAST LOOP INTERSTATE 820 820 SOUTH,3,4,6,8,5,6,,,,,,,32
10500 SASLOW SK,,,,,,4,4,7,10,4,1,1,31
5200 A ROBERSON BL,,,,4,2,4,4,1,4,3,9,,31
3600 EAST LOOP INTERSTATE 820 820 SOUTH,6,4,4,2,3,6,4,1,,,,,30
200 WEST LOOP INTERSTATE 820 820 NORTH,4,1,3,3,3,3,6,6,,,,,29
3400 AVE E,2,4,6,2,4,3,3,4,,,1,,29
4400 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,18,8,2,,,,,28
5000 LAGO BE,,1,1,2,7,3,3,1,3,1,,6,28
7400 E SOUTH MEADOW DR,4,5,1,3,3,3,,3,1,3,2,,28
1400 AVE E,3,7,2,2,3,5,2,2,,,1,,27
2700 AVE E,7,7,3,1,3,1,3,2,,,,,27
300 WEST LOOP INTERSTATE 820 820 SOUTH,2,2,5,3,11,2,2,,,,,,27
3300 EAST LOOP INTERSTATE 820 820 SOUTH,1,7,5,3,2,3,5,1,,,,,27
1300 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,10,8,8,,,,,26
2800 AVE E,2,6,2,2,5,7,2,,,,,,26
300 EAST LOOP INTERSTATE 820,2,5,7,8,2,2,,,,,,,26
3900 HIGHWAY,,,,2,6,4,5,9,,,,,26
3000 WEST LOOP INTERSTATE 820 820 SOUTH,2,4,6,4,1,5,3,,,,,,25
4700 EAST LOOP INTERSTATE 820 820 SOUTH,2,4,2,3,7,3,,4,,,,,25
5300 EAST LOOP INTERSTATE 820 820 SOUTH,4,3,1,4,5,3,3,2,,,,,25
6600 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,10,15,,,,,25
4500 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,9,14,1,,,,,24
4900 AVE G,1,,2,4,5,3,6,3,,,,,24
3300 AVE G,1,1,2,10,3,2,2,2,,,,,23
400 WEST LOOP INTERSTATE 820 820 SOUTH,2,2,3,1,2,7,1,5,,,,,23
100 WEST LOOP INTERSTATE 820 820 SOUTH,1,2,2,1,7,4,2,3,,,,,22
1700 EAST LOOP INTERSTATE 820,3,3,2,4,3,7,,,,,,,22
2100 EAST LOOP INTERSTATE 820 820 NORTH,2,1,2,3,1,7,2,4,,,,,22
2200 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,7,11,1,,,,22
3100 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,6,9,7,,,,,22
3400 AVE N,1,3,1,3,3,1,9,1,,,,,22
3900 AVE N,2,3,1,5,4,,2,5,,,,,22
3900 EAST LOOP INTERSTATE 820 820 SOUTH,5,1,3,4,4,2,2,1,,,,,22
3100 AVE N,5,3,2,6,2,1,2,,,,,,21
6600 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,17,4,,,,,,21
800 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,11,8,,,,2,21
1100 EAST LOOP INTERSTATE 820 820 SOUTH,2,2,6,5,,,4,1,,,,,20
1900 EAST LOOP INTERSTATE 820 820 SOUTH,2,2,4,5,5,1,1,,,,,,20
2300 EAST LOOP INTERSTATE 820,1,1,3,6,4,4,1,,,,,,20
3700 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,9,8,,,,,20
4300 EAST LOOP INTERSTATE 820 820 SOUTH,4,2,2,3,4,3,2,,,,,,20
5700 EAST LOOP INTERSTATE 820 820 SOUTH,4,2,3,5,1,2,3,,,,,,20
5900 EAST LOOP INTERSTATE 820 820 SOUTH,3,2,2,3,1,2,4,3,,,,,20
100 WEST LOOP INTERSTATE 820 820 NORTH,4,1,3,2,1,4,1,2,1,,,,19
200 WEST LOOP INTERSTATE 820 820 SOUTH,,2,2,1,6,3,5,,,,,,19
3100 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,6,7,6,,,,,19
3400 OUTLET BL,,,,,,,,,,4,11,4,19
3600 AVE N,3,,2,6,1,,5,2,,,,,19
3800 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,10,6,,,,,19
1000 EAST LOOP INTERSTATE 820,6,4,4,,3,1,,,,,,,18
1100 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,11,5,,,,2,18
1900 AVE E,2,6,3,,3,1,3,,,,,,18
3800 AVE N,1,3,3,1,5,2,1,2,,,,,18
4100 EAST LOOP INTERSTATE 820 820 SOUTH,2,4,4,,1,3,2,2,,,,,18
5300 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,8,6,4,,,,,18
700 EAST LOOP INTERSTATE 820,3,2,,,7,4,2,,,,,,18
800 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,8,8,,,1,,18
3000 AVE N,1,1,3,2,2,,,8,,,,,17
3800 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,14,,,,,17
4800 EAST LOOP INTERSTATE 820 820 SOUTH,2,4,1,2,3,1,1,3,,,,,17
1000 WEST LOOP INTERSTATE 820 820 NORTH,2,4,1,,3,1,3,1,,,,,15
2600 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,8,4,2,1,,,,15
2800 EAST LOOP INTERSTATE 820 820 SOUTH,3,3,2,2,2,1,2,,,,,,15
3200 EAST LOOP INTERSTATE 820 820 SOUTH,,,1,3,3,2,4,2,,,,,15
3900 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,4,6,5,,,,,15
4300 AVE N,1,1,4,2,1,3,1,2,,,,,15
5200 EAST LOOP INTERSTATE 820 820 SOUTH,2,5,,1,,3,3,1,,,,,15
600 7 OLD HIGHWAY,,,,,,2,,1,6,2,2,2,15
900 EAST LOOP INTERSTATE 820,2,5,1,2,4,1,,,,,,,15
500 WEST LOOP INTERSTATE 820 820 NORTH,1,3,1,,2,1,5,1,,,,,14
5600 EAST LOOP INTERSTATE 820 820 SOUTH,4,1,4,2,,1,1,1,,,,,14
100 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,4,8,1,,,,13
2300 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,8,4,1,,,,,13
2500 EAST LOOP INTERSTATE 820,1,1,4,4,1,1,1,,,,,,13
2600 EAST LOOP INTERSTATE 820 820 SOUTH,1,2,2,3,1,3,1,,,,,,13
3600 AVE L,,1,,1,2,2,2,5,,,,,13
5600 DECORY RD,2,1,,,2,1,3,4,,,,,13
5700 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,4,8,1,,,,,13
6000 EAST LOOP INTERSTATE 820 820 SOUTH,1,6,1,2,1,1,1,,,,,,13
7300 E SOUTH MEADOW DR,1,2,5,1,,1,2,,1,,,,13
12700 WELSH WAY,3,2,2,2,,1,1,,1,,,,12
1800 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,11,,1,,,,,12
2500 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,5,4,,,,,12
2600 AVE G,,,,2,2,2,3,3,,,,,12
2800 AVE J,2,,1,1,,2,3,2,,,1,,12
2900 WEST LOOP INTERSTATE 820 820 SOUTH,,2,3,2,,1,2,2,,,,,12
3500 AVE H,,,,1,1,1,1,8,,,,,12
100 INTERSTATE 30 WEST LOOP INTERSTATE 820 8,,,,1,1,,,,2,5,,2,11
1100 EAST LOOP INTERSTATE 820 820 FREEWAY,,1,,,,,7,1,,,2,,11
13900 HAMMER HE,,5,,1,1,1,,3,,,,,11
1400 SHINY OAKS TRL,,,,1,3,1,3,2,,,1,,11
1500 WEST LOOP INTERSTATE 820 820 NORTH,1,2,,1,3,2,2,,,,,,11
15000 SEVENTEEN LAKES BL,,,,,,1,2,,7,,1,,11
2000 EAST LOOP INTERSTATE 820 820 SOUTH,3,2,1,,2,2,1,,,,,,11
2000 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,5,4,2,,,,,11
2700 AVE H,,,1,2,2,3,2,1,,,,,11
2800 EAST LOOP INTERSTATE 820,1,2,1,2,3,1,1,,,,,,11
3000 AVE K,,,2,1,1,2,2,3,,,,,11
3000 EAST LOOP INTERSTATE 820,1,2,3,2,2,1,,,,,,,11
3100 WEST LOOP INTERSTATE 820 820 SOUTH,,2,2,1,,1,2,3,,,,,11
3400 AVE M,,,,3,,3,4,1,,,,,11
4000 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,8,,,,,11
4200 AVE M,,,2,3,,2,,4,,,,,11
5100 EAST LOOP INTERSTATE 820 820 SOUTH,,3,,2,1,3,2,,,,,,11
5500 TINKERBELL LN,,,1,1,3,3,1,2,,,,,11
700 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,3,7,,,,1,11
700 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,5,1,5,,,,,11
7000 E SOUTH MEADOW DR,1,,,4,6,,,,,,,,11
7200 E SOUTH MEADOW DR,2,,,,,,,,,1,8,,11
2000 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,3,4,,,,,10
2100 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,7,,,,,10
2300 EAST LOOP INTERSTATE 820 820 SOUTH,2,2,3,2,,1,,,,,,,10
2500 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,8,2,,,,,10
2800 AVE A,,,1,1,2,1,3,2,,,,,10
2800 AVE K,,1,,,2,2,1,3,,,1,,10
2900 EAST LOOP INTERSTATE 820 820 SOUTH,1,,,1,4,4,,,,,,,10
3000 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,8,2,,,,,10
3200 AVE N,,,5,1,,1,,3,,,,,10
3400 EAST LOOP INTERSTATE 820 820 SOUTH,4,,,1,4,,,1,,,,,10
3500 AVE J,,1,1,1,1,4,1,1,,,,,10
4100 AVE H,,1,,,,4,2,3,,,,,10
4100 HIGHWAY,,,,1,2,4,3,,,,,,10
500 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,5,3,,,,,10
5200 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,6,4,,,,,10
5400 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,5,5,,,,,10
5500 S OURAY PA,,,,1,1,,1,2,2,,2,1,10
600 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,4,4,2,,,,,10
7100 E SOUTH MEADOW DR,1,2,1,2,1,,1,,,,2,,10
100 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,4,5,,,,,,9
14400 JFK BL,,,,,,,,,2,1,1,5,9
14500 JFK BL,,,,,,,,,,6,3,,9
1600 EAST LOOP INTERSTATE 820,2,,,2,2,3,,,,,,,9
2200 EAST LOOP INTERSTATE 820 820 NORTH,2,,,2,3,1,1,,,,,,9
2600 EAST LOOP INTERSTATE 820,3,,3,,1,,2,,,,,,9
2700 AVE G,,,1,6,,1,,1,,,,,9
300 7 OLD HWY,7,1,1,,,,,,,,,,9
3000 AVE E,2,1,1,2,,,,3,,,,,9
3100 AVE J,1,,,1,2,,3,2,,,,,9
3100 AVE L,,,,2,2,3,,2,,,,,9
3100 GOLDEN TRIANGLE BL,,,,,,,,,,,2,7,9
3300 AVE K,,,,2,3,2,2,,,,,,9
3300 AVE M,,1,,1,,,4,3,,,,,9
3400 AVE G,1,1,,,1,2,1,3,,,,,9
3700 AVE G,,1,,,4,1,1,2,,,,,9
3700 AVE K,,,,,,2,5,2,,,,,9
3800 AVE H,1,,1,,2,2,,3,,,,,9
3900 AVE J,,,,,2,4,1,2,,,,,9
4200 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,2,3,,,3,,9
4900 MELODYLANE ST,2,,,,,1,2,4,,,,,9
5000 WEST LOOP INTERSTATE 820 820 SOUTH,1,5,1,,1,,1,,,,,,9
7000 OAKMONT BL,,,,,1,1,,,,,1,6,9
13100 287 EXIT AVOND,,,,,,,,,,1,4,3,8
1400 EAST LOOP INTERSTATE 820,,1,1,2,2,1,1,,,,,,8
1400 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,5,1,,,,,8
1900 EAST LOOP INTERSTATE 820,,1,4,,1,2,,,,,,,8
2400 EAST LOOP INTERSTATE 820,,2,,1,3,2,,,,,,,8
2700 WEST LOOP INTERSTATE 820 820 SOUTH,1,,,2,3,1,1,,,,,,8
3000 AVE L,,,,2,1,1,2,2,,,,,8
3000 EAST LOOP INTERSTATE 820 820 SOUTH,3,1,,1,1,,1,1,,,,,8
3300 AVE H,,,,2,3,1,,2,,,,,8
3500 EAST LOOP INTERSTATE 820 820 SOUTH,1,2,1,,,2,2,,,,,,8
3600 AVE J,,,,1,3,2,1,1,,,,,8
3600 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,4,3,1,,,,8
3700 AVE M,,,,1,2,4,,1,,,,,8
400 7 OLD HIGHWAY,,,,,,3,2,1,,2,,,8
5500 DECORY RD,,1,2,,1,,,4,,,,,8
100 INTERSTATE 20 EAST LOOP INTERSTATE 820 8,,,1,,,,,,,1,,5,7
1300 EAST LOOP INTERSTATE 820,2,,2,,2,,1,,,,,,7
1600 FOUR SEASONS LN,,,,,,3,,4,,,,,7
1900 FOXFIELD WAY,2,,3,1,1,,,,,,,,7
200 7 OLD HIGHWAY,,,,,,4,1,,,,1,1,7
200 WEST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,4,3,,,,,7
2100 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,7,,,,,7
2100 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,3,2,,,,,7
2200 DOTTIE LYNN PK,,,,1,,1,1,,1,,1,2,7
2200 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,3,4,,,,,7
2300 EAST LOOP INTERSTATE 820 820 NORTH,3,,1,,2,1,,,,,,,7
2400 EAST LOOP INTERSTATE 820 820 NORTH,,5,1,,,,,1,,,,,7
2400 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,4,1,,,,,7
2700 EAST LOOP INTERSTATE 820 820 SOUTH,2,,3,2,,,,,,,,,7
2700 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,3,1,2,,,,7
3100 AVE G,,,,1,1,,4,1,,,,,7
3600 AVE G,,,,,4,1,,2,,,,,7
3600 AVE H,,,,1,,2,3,1,,,,,7
3600 AVE K,,,,1,,4,,2,,,,,7
3600 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,3,3,,,,,7
3700 AVE H,,,,,2,,2,3,,,,,7
3800 WEST LOOP INTERSTATE 820 820 SOUTH,,3,,1,1,1,,1,,,,,7
400 WEST LOOP INTERSTATE 820 820 NORTH,,,,1,4,1,1,,,,,,7
4800 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,4,,,,,7
4900 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,4,,,,,7
5800 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,3,2,,,,,7
6100 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,5,2,,,,,7
700 WEST LOOP INTERSTATE 820 820 NORTH,,,2,,2,2,1,,,,,,7
700 WEST LOOP INTERSTATE 820 820 SOUTH,,,,1,1,4,1,,,,,,7
100 BEACH NORTHEAST LOOP INTERSTATE 820,1,,,5,,,,,,,,,6
100 EAST LOOP INTERSTATE 820 820 INTERSTATE,,,,1,,1,1,,,2,1,,6
1500 AVE E,2,2,,,1,,1,,,,,,6
16600 WINDTHORST WAY,2,,2,1,,,,1,,,,,6
16800 PINERY WAY,,,2,,1,1,,2,,,,,6
200 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,3,2,,,,,6
2000 WEST LOOP INTERSTATE 820 820 NORTH,1,,,,1,2,2,,,,,,6
2300 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,1,2,,,1,,6
2500 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,6,,,,,6
2700 AVE C,1,,1,,1,1,1,1,,,,,6
2900 AVE I,,,,1,2,2,,1,,,,,6
2900 AVE K,,,,1,1,1,2,1,,,,,6
2900 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,,3,,,,,6
3200 AVE L,,2,,,1,3,,,,,,,6
3300 WEST LOOP INTERSTATE 820 820 SOUTH,,,,1,1,3,,1,,,,,6
3400 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,2,3,,,,,6
3500 AVE I,,1,,,2,2,,1,,,,,6
3500 MEACHAM BL,,,,,1,,,,,,2,3,6
3500 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,2,,,,2,,6
3600 WEST LOOP INTERSTATE 820 820 SOUTH,,,,3,,1,2,,,,,,6
400 7 OLD HWY,,,2,2,2,,,,,,,,6
400 STREAMS AND VALLEYS CIR,,,,,,,5,1,,,,,6
4000 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,,4,,,,,6
4200 AVE H,1,,,2,,1,2,,,,,,6
4500 EAST LOOP INTERSTATE 820 820 SOUTH,2,,1,2,,,,1,,,,,6
4500 REGALRIDGE DR,,,,,2,1,1,2,,,,,6
500 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,3,3,,,,,6
500 STREAMS AND VALLEYS CIR,,,,1,1,1,1,2,,,,,6
5800 EAST LOOP INTERSTATE 820 820 SOUTH,2,,1,1,2,,,,,,,,6
6400 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,3,3,,,,,6
6500 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,4,,1,,1,,6
6700 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,4,2,,,,,6
700 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,5,1,,,,,6
800 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,3,3,,,,,6
8500 EAST FW,2,2,2,,,,,,,,,,6
900 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,3,1,,,,6
900 EAST LOOP INTERSTATE 820 820 SOUTH,1,1,1,,,3,,,,,,,6
100 7 OLD HIGHWAY,,,,,,,,1,,1,3,,5
100 EAST LOOP INTERSTATE 820 820 SOUTH,,,,,,3,2,,,,,,5
1300 S NORTH SOUTH FREEWAY SERVICE ROAD,2,,,,,1,,,,,,2,5
14000 INDEPENDENCE PK,,,,,,,,,,,,5,5
14500 FAA BL,,,,,,,,,,,1,4,5
15100 SEVENTEEN LAKES BL,,,,,,,1,2,1,1,,,5
1600 RIALTO WAY,1,2,1,,1,,,,,,,,5
16700 WINDTHORST WAY,,2,1,,,,1,1,,,,,5
1700 AVE E,2,,,,,1,,2,,,,,5
1700 EAST LOOP INTERSTATE 820 820 SOUTH,1,,2,1,,1,,,,,,,5
1700 RIALTO WAY,2,,1,,1,,,1,,,,,5
1700 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,3,2,,,,,5
2200 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,1,2,,,,,5
2300 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,1,3,,,,,5
2300 WEST LOOP INTERSTATE 820 820 NORTH,,,,1,,2,2,,,,,,5
2400 S OTERO PA,,,,,,,4,,1,,,,5
2700 AVE J,,,,,2,1,1,1,,,,,5
2800 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,1,2,,,,,5
2900 AVE H,,,,1,,3,,1,,,,,5
2900 AVE L,,,,,1,,1,2,,,1,,5
2900 EAST LOOP INTERSTATE 820,3,1,,1,,,,,,,,,5
300 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,5,,,,,5
3000 AVE J,,,,2,2,1,,,,,,,5
3300 AVE E,,,2,1,,,1,1,,,,,5
3400 AVE L,,,,,2,,1,2,,,,,5
3400 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,2,,,,,5
3400 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,4,,,,,5
3600 AVE E,,5,,,,,,,,,,,5
3700 AVE L,,,1,1,,2,1,,,,,,5
3800 AVE J,,,1,1,,1,,2,,,,,5
3800 WG. DANIELS DR,,,,,,,,,1,,3,1,5
3900 AVE M,,,,1,,,2,2,,,,,5
3900 WEST LOOP INTERSTATE 820 820 SOUTH,,,2,1,1,,1,,,,,,5
4000 AVE H,,,,,,4,,1,,,,,5
4100 AVE G,,1,,,1,2,1,,,,,,5
4200 AVE G,1,,,2,2,,,,,,,,5
4300 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,3,1,,,,,5
4400 AVE N,,,,1,,2,,2,,,,,5
4600 AVE H,,,,2,,1,2,,,,,,5
4600 AVE M,,,,1,3,,1,,,,,,5
4700 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,5,,,,,5
4800 WEST LOOP INTERSTATE 820 820 SOUTH,1,,1,1,,,2,,,,,,5
500 WEST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,2,3,,,,,5
6600 TRINITY HEIGHTS BL,,,,1,1,,,,,,1,2,5
800 WEST LOOP INTERSTATE 820 820 NORTH,,1,,1,2,,1,,,,,,5
800 WEST LOOP INTERSTATE 820 820 SOUTH,,,,1,,2,1,1,,,,,5
900 NORTHTON ST,,,,,,1,3,1,,,,,5
900 WEST LOOP INTERSTATE 820 820 NORTH,1,,1,1,1,,,1,,,,,5
9200 S TURTLE PA,,,,,1,1,,,,,1,2,5
100 N NORTH SOUTH FREEWAY SERVICE ROAD,1,,,1,,,,,,,,2,4
100 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,4,,,,,4
100 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,3,,,,,,4
1100 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,1,2,,,,,4
1200 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,2,,,,,,4
1400 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,3,,,,,4
15500 YARBERRY DR,,,,,1,1,2,,,,,,4
15800 DOUBLE EAGLE BL,,,,,,,1,,,,,3,4
1600 AVE E,,,,1,,,,3,,,,,4
1600 WEST LOOP INTERSTATE 820 820 SOUTH,,,,,,2,,2,,,,,4
1700 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,1,2,,,,,4
1800 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,2,1,,,,,4
1900 AVE D,1,,,,1,,1,1,,,,,4
200 7 OLD HWY,1,1,1,,1,,,,,,,,4
200 EAST LOOP INTERSTATE 820,2,,,,,1,1,,,,,,4
200 SHUMER SHUFFLE DR,,,,,,,4,,,,,,4
2200 EAST LOOP INTERSTATE 820 820 SOUTH,,,,,,,2,2,,,,,4
