ID,original_address,street,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
2612,"2100 BLOCK  BOMAR AVE","2100 BOMAR AVE","Fort Worth",TX,32.746622,-97.297119,1,range_interpolation,2100,"Bomar Ave","Fort Worth",TX,"Tarrant County",76103,US
2613,"2100 BLOCK  BRENNAN AVE","2100 BRENNAN AVE","Fort Worth",TX,32.790081,-97.335144,1,range_interpolation,2100,"Brennan Ave","Fort Worth",TX,"Tarrant County",76106,US
2614,"2100 BLOCK  BRIARDALE RD","2100 BRIARDALE RD","Fort Worth",TX,32.700782,-97.304878,1,range_interpolation,2100,"Briardale Rd","Fort Worth",TX,"Tarrant County",76119,US
2615,"2100 BLOCK  BRITTAIN ST","2100 BRITTAIN ST","Fort Worth",TX,32.789405,-97.295041,1,range_interpolation,2100,"Brittain St","Fort Worth",TX,"Tarrant County",76111,US
2616,"2100 BLOCK  CANTON DR","2100 CANTON DR","Fort Worth",TX,32.748921,-97.228817,1,range_interpolation,2100,"Canton Dr","Fort Worth",TX,"Tarrant County",76112,US
2617,"2100 BLOCK  CARDINAL LN","2100 CARDINAL LN","Fort Worth",TX,32.787078,-97.317332,1,range_interpolation,2100,"Cardinal Ln","Fort Worth",TX,"Tarrant County",76111,US
2618,"2100 BLOCK  CARVERLY DR","2100 CARVERLY DR","Fort Worth",TX,32.724686,-97.232158,1,range_interpolation,2100,"Carverly Dr","Fort Worth",TX,"Tarrant County",76112,US
2619,"2100 BLOCK  CHARMION LN","2100 CHARMION LN","Fort Worth",TX,32.851992,-97.332639,1,range_interpolation,2100,"Charmion Ln","Fort Worth",TX,"Tarrant County",76131,US
2620,"2100 BLOCK  CHESTNUT AVE","2100 CHESTNUT AVE","Fort Worth",TX,32.782721,-97.363785,1,range_interpolation,2100,"Chestnut Ave","Fort Worth",TX,"Tarrant County",76164,US
2621,"2100 BLOCK  CHRISTINE AVE","2100 CHRISTINE AVE","Fort Worth",TX,32.72435,-97.288995,1,range_interpolation,2100,"Christine Ave","Fort Worth",TX,"Tarrant County",76105,US
2622,"2100 BLOCK  CIRCLE DR","2100 CIRCLE DR","Fort Worth",TX,32.678219,-97.301891,1,range_interpolation,2100,"Circle Dr","Fort Worth",TX,"Tarrant County",76119,US
2623,"2100 BLOCK  CLINTON AVE","2100 CLINTON AVE","Fort Worth",TX,32.782637,-97.3529,1,range_interpolation,2100,"Clinton Ave","Fort Worth",TX,"Tarrant County",76164,US
2624,"2100 BLOCK  CLOVER LN","2100 CLOVER LN","Fort Worth",TX,32.739618,-97.378656,1,range_interpolation,2100,"Clover Ln","Fort Worth",TX,"Tarrant County",76107,US
2625,"2100 BLOCK  COLUMBUS AVE","2100 COLUMBUS AVE","Fort Worth",TX,32.782726,-97.364921,1,range_interpolation,2100,"Columbus Ave","Fort Worth",TX,"Tarrant County",76164,US
2626,"2100 BLOCK  CRESTVIEW DR","2100 CRESTVIEW DR","Fort Worth",TX,32.746935,-97.263386,1,range_interpolation,2100,"Crestview Dr","Fort Worth",TX,"Tarrant County",76103,US
2627,"2100 BLOCK  CUNNINGHAM RD","2100 CUNNINGHAM RD","Fort Worth",TX,32.622295,-97.354314,1,range_interpolation,2100,"Cunningham Rd","Fort Worth",TX,"Tarrant County",76134,US
2628,"2100 BLOCK  DAISY LN","2100 DAISY LN","Fort Worth",TX,32.78467,-97.314854,1,range_interpolation,2100,"Daisy Ln","Fort Worth",TX,"Tarrant County",76111,US
2629,"2100 BLOCK  DANIEL ST","2100 DANIEL ST","Fort Worth",TX,32.72237,-97.301644,1,range_interpolation,2100,"Daniel St","Fort Worth",TX,"Tarrant County",76104,US
2630,"2100 BLOCK  DANNER ST","2100 DANNER ST","Fort Worth",TX,32.722603,-97.25136,1,range_interpolation,2100,"Danner St","Fort Worth",TX,"Tarrant County",76105,US
2631,"2100 BLOCK  DIAMOND RD","2100 DIAMOND RD","Fort Worth",TX,32.804442,-97.32995,1,range_interpolation,2100,"Diamond Rd","Fort Worth",TX,"Tarrant County",76106,US
2632,"2100 BLOCK  DILLARD ST","2100 DILLARD ST","Fort Worth",TX,32.724296,-97.242787,1,range_interpolation,2100,"Dillard St","Fort Worth",TX,"Tarrant County",76105,US
2633,"2100 BLOCK  DILLOW ST","2100 DILLOW ST","Fort Worth",TX,32.724234,-97.266364,1,range_interpolation,2100,"Dillow St","Fort Worth",TX,"Tarrant County",76105,US
2634,"2100 BLOCK  EAST LOOP 820","2100 EAST LOOP","Fort Worth",TX,32.671868,-97.351531,1,range_interpolation,2100,E,"Fort Worth",TX,"Tarrant County",76115,US
2635,"2100 BLOCK  EAST LOOP 820 FWY","2100 EAST LOOP 820 FREEWAY","Fort Worth",TX,32.751095,-97.219471,1,range_interpolation,2100,"E Loop 820","Fort Worth",TX,"Tarrant County",76112,US
2636,"2100 BLOCK  EAST LOOP 820 NORTH","2100 EAST LOOP 820 NORTH","Fort Worth",TX,32.747591,-97.221367,0.9,range_interpolation,2100,"I- 820","Fort Worth",TX,"Tarrant County",76112,US
2637,"2100 BLOCK  EAST LOOP 820 NORTH FWY","2100 EAST LOOP 820 NORTH FREEWAY","Fort Worth",TX,32.747591,-97.221367,0.9,range_interpolation,2100,"I- 820","Fort Worth",TX,"Tarrant County",76112,US
