10001, 9500 LANE AVENUE, KANSAS CITY, MO, 64138
10126, BENTON BOULEVARD and E TRUMAN ROAD, KANSAS CITY, MO,
10127, BENTON BOULEVARD and E TRUMAN ROAD, KANSAS CITY, MO, 64124
10128, BENTON BOULEVARD and EMANUEL CLEAVER II BOULEVARD E, KANSAS CITY, MO, 64128
10129, BENTON BOULEVARD and EMANUEL CLEAVER II BOULEVARD E, KANSAS CITY, MO, 64130
10130, BENTON BOULEVARD and EMANUEL CLEAVER II BOULEVARD W, KANSAS CITY, MO, 64130
10131, BENTON BOULEVARD and GARNER AVENUE, KANSAS CITY, MO, 64124
10132, BENTON BOULEVARD and I 70 HIGHWAY, KANSAS CITY, MO, 64124
10133, BENTON BOULEVARD and I 70 HIGHWAY, KANSAS CITY, MO, 64131
10134, BENTON BOULEVARD and LOCKRIDGE STREET, KANSAS CITY, MO, 64128
10135, BENTON BOULEVARD and MORRELL AVENUE, KANSAS CITY, MO, 64124
10136, BENTON BOULEVARD and ROBERTS STREET, KANSAS CITY, MO, 64123
10137, BENTON BOULEVARD and SMART AVENUE, KANSAS CITY, MO, 64127
10138, BENTON BOULEVARD and STREET JOHN AVENUE, KANSAS CITY, MO,
10139, BENTON BOULEVARD and THOMPSON AVENUE, KANSAS CITY, MO, 64127
10140, BENTON PL and BENTON BOULEVARD, KANSAS CITY, MO, 64124
10141, BENTON PL and KANSAS AVENUE, KANSAS CITY, MO, 64127
10142, BERNARD POWELL DR and JACKSON AVENUE, KANSAS CITY, MO, 64124
10143, BLUE HILLS ROAD and CITADEL DR, KANSAS CITY, MO, 64132
10144, BLUE PARKWAY and I435, KANSAS CITY, MO, 64129
10145, BLUE PARKWAY DR and BOOTH AVENUE, KANSAS CITY, MO, 64130
10146, BLUE PK and CLEVELAND AVENUE, KANSAS CITY, MO,
10147, BLUE PK and CLEVELAND, KANSAS CITY, MO, 64130
10148, BLUE PK and COLORADO AVENUE, KANSAS CITY, MO, 64129
10149, BLUE PK and COLORADO AVENUE, KANSAS CITY, MO, 64130
10150, BLUE PK and E COAL MINE ROAD, KANSAS CITY, MO,
10151, BLUE PK and E COAL MINE ROAD, KANSAS CITY, MO, 64130
10152, BLUE PK and EASTWOOD TRAFFICWAY, KANSAS CITY, MO, 64114
10153, BLUE PK E and CLEVELAND AVENUE, KANSAS CITY, MO, 64132
10154, BLUE PK E and I 435 N TO BLUE PKWY RA, KANSAS CITY, MO, 64129
10155, BLUE PK E and NOLAND ROAD, KANSAS CITY, MO, 64134
10156, BLUE PK W and BRIGHTON AVENUE, KANSAS CITY, MO, 64130
10157, BLUE PK W and I 435 HIGHWAY, KANSAS CITY, MO,
10158, BLUE PK W and I 435 HIGHWAY, KANSAS CITY, MO, 64131
10159, BLUE PK W and SWOPE PK, KANSAS CITY, MO, 64130
10160, BLUE PKWY TO I 435 N RA and I 435 HIGHWAY, KANSAS CITY, MO, 64130
10161, BLUE PKWY TO I 435 S RA and I 435 HIGHWAY, KANSAS CITY, MO, 64132
10162, BLUE RIDGE BLVD and LONGVIEW ROAD, KANSAS CITY, MO,
10163, BLUE RIDGE BOULEVARD and E GREGORY BOULEVARD, RAYTOWN, MO, 64128
10164, BLUE RIDGE BOULEVARD and FULLER AVENUE, KANSAS CITY, MO, 64134
10165, BLUE RIDGE BOULEVARD and GREENWOOD ROAD, KANSAS CITY, MO, 64138
10166, BLUE RIDGE BOULEVARD and I 470 HIGHWAY, KANSAS CITY, MO, 64138
10167, BLUE RIDGE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64120
10168, BLUE RIDGE BOULEVARD and LONGVIEW ROAD, KANSAS CITY, MO,
10169, BLUE RIDGE BOULEVARD and LONGVIEW ROAD, KANSAS CITY, MO, 64137
10170, BLUE RIDGE BOULEVARD and US HIGHWAY 71 ON RA, KANSAS CITY, MO, 64137
10171, BLUE RIDGE BOULEVARD and US HIGHWAY 71 ON RA, KANSAS CITY, MO, 64138
10172, BLUE RIDGE BOULEVARD and WINNER ROAD, KANSAS CITY, MO,
10173, BLUE RIDGE BOULEVARD and WINNER ROAD, KANSAS CITY, MO, 64126
10174, BLUE RIDGE COURT and E US HIGHWAY 40, KANSAS CITY, MO, 64126
10175, BLUE RIDGE COURT and E US HIGHWAY 40, KANSAS CITY, MO, 64129
10176, BLUE RIDGE COURT and I 70 HIGHWAY FRONTAGE ROAD, KANSAS CITY, MO, 64129
10177, BLUE RIDGE COURT and I 70 HIGHWAY, KANSAS CITY, MO, 64106
10178, BLUE RIDGE COURT and I 70 HIGHWAY, KANSAS CITY, MO, 64127
10179, BLUE RIDGE COURT and RAYTOWN ROAD, KANSAS CITY, MO, 64130
10180, BLUE RIVER ROAD and E RED BRIDGE ROAD, KANSAS CITY, MO, 64137
10181, BLUE RIVER ROAD and E RED BRIDGE ROAD, KANSAS CITY, MO, 64145
10182, BLUE RIVER ROAD and MARTHA TRUMAN ROAD, KANSAS CITY, MO, 64134
10183, BLUE RIVER ROAD and OLDHAM ROAD, KANSAS CITY, MO, 64138
10184, BLUE RIVER ROAD and PROSPECT AVENUE, KANSAS CITY, MO, 64131
10185, BLUE RIVER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64132
10186, BONITA AVENUE and OAKLEY AVENUE, KANSAS CITY, MO, 64128
10187, BONITA AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
10188, BOOTH AVENUE and E US HIGHWAY 40, KANSAS CITY, MO, 64129
10189, BOOTH AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
10190, BOOTH AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64125
10191, BOOTH AVENUE and SMART AVENUE, KANSAS CITY, MO, 64128
10192, BOTTS ROAD and E M 150 HIGHWAY, KANSAS CITY, MO, 64145
10193, BOTTS ROAD and E M 150 HIGHWAY, KANSAS CITY, MO, 64146
10194, BRECKENRIDGE AVENUE and E US HIGHWAY 40, KANSAS CITY, MO, 64136
10195, BRIDGER ROAD and WESTPORT ROAD, KANSAS CITY, MO, 64106
10196, BRIGHTON AVENUE and BUDD PARK ESPLANADE, KANSAS CITY, MO, 64108
10197, BRIGHTON AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127
10198, BRIGHTON AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64124
10199, BRISTOL AVENUE and EASTWOOD TRAFFICWAY, KANSAS CITY, MO,
10200, BRISTOL AVENUE and EASTWOOD TRAFFICWAY, KANSAS CITY, MO, 64129
10201, BRISTOL TERRACE and SYCAMORE TERRACE, KANSAS CITY, MO, 64134
10202, BROADWAY and I 35 N TO BROADWAY RA, KANSAS CITY, MO, 64106
10203, BROADWAY and I 670 HIGHWAY, KANSAS CITY, MO, 64070
10204, BROADWAY and I 670 HIGHWAY, KANSAS CITY, MO, 64105
10205, BROADWAY and I 70 HIGHWAY, KANSAS CITY, MO, 64106
10206, BROADWAY and I 70 HIGHWAY, KANSAS CITY, MO, 64127
10207, BROADWAY and NICHOLS ROAD, KANSAS CITY, MO, 64111
10208, BROADWAY and W PERSHING ROAD, KANSAS CITY, MO,
10209, BROADWAY and WARD PK N, KANSAS CITY, MO, 64110
10210, BROADWAY and WARD PK N, KANSAS CITY, MO, 64114
10211, BROADWAY and WASHINGTON STREET, KANSAS CITY, MO, 64111
10212, BROADWAY BOULEVARD and KNICKERBOCKER PL, KANSAS CITY, MO, 64110
10213, BROADWAY BOULEVARD and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64110
10214, BROADWAY BOULEVARD and VALENTINE ROAD, KANSAS CITY, MO, 64106
10215, BROADWAY BOULEVARD and W LINWOOD BOULEVARD, KANSAS CITY, MO, 64109
10216, BROOKLYN AVENUE and E MEYER BOULEVARD, KANSAS CITY, MO, 64124
10217, BROOKLYN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64106
10218, BROOKLYN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64111
10219, BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64109
10220, BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64110
10221, BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64126
10222, BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64151
10223, BROOKLYN AVENUE and LEXINGTON AVENUE, KANSAS CITY, MO, 64110
10224, BROOKLYN AVENUE and MADDI AVENUE, KANSAS CITY, MO, 64132
10225, BROOKSIDE BOULEVARD and VOLKER BOULEVARD, KANSAS CITY, MO, 64112
10226, BROOKSIDE BOULEVARD and VOLKER BOULEVARD, KANSAS CITY, MO, 64113
10227, BROOKSIDE BOULEVARD and WARD PK, KANSAS CITY, MO, 64112
10228, BROOKSIDE ROAD and W MEYER BOULEVARD, KANSAS CITY, MO, 64113
10229, BROOKWOOD AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64130
10230, BROWNELL AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64122
10231, BRUCE R WATKINS DR and E GREGORY BOULEVARD, KANSAS CITY, MO, 64131
10232, BRUCE R WATKINS DR and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64111
10233, BRUCE R WATKINS DR and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64130
10234, BRUCE R WATKINS DR and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64106
10235, BRUCE R WATKINS DR and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64110
10236, BRUCE R WATKINS DR and I 70 HIGHWAY, KANSAS CITY, MO, 64105
10237, BRUCE R WATKINS DR and PASEO, KANSAS CITY, MO, 64108
10238, BRUCE R WATKINS DR and PASEO, KANSAS CITY, MO, 64127
10239, BRUCE R WATKINS DR and SWOPE PK, KANSAS CITY, MO, 64110
10240, BRUCE R WATKINS DR and SWOPE PK, KANSAS CITY, MO, 64124
10241, BRUCE WATKINS ACCESS RA and I 70 HIGHWAY, KANSAS CITY, MO, 64105
10242, BRUSH CREEK BOULEVARD and FOREST AVENUE, KANSAS CITY, MO, 64127
10243, BRUSH CREEK BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64109
10244, BRUSH CREEK BOULEVARD and TRACY AVENUE, KANSAS CITY, MO, 64110
10245, BRUSH CREEK BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64109
10246, BRUSH CREEK BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64110
10247, BUDD PARK ESPLANADE and COLORADO AVENUE, KANSAS CITY, MO, 64124
10248, BUDD PARK ESPLANADE and DENVER AVENUE, KANSAS CITY, MO, 64123
10249, BUDD PARK ESPLANADE and HARDESTY AVENUE, KANSAS CITY, MO, 64124
10250, BUTLER WAY and STATE LINE ROAD, KANSAS CITY, MO, 64102
10251, BYRAMS FORD ROAD and SNI-A-BAR ROAD, KANSAS CITY, MO, 64133
10252, CARONDELET DR and WORNALL ROAD, KANSAS CITY, MO, 64145
10253, CARONDELET ROAD and STATE LINE ROAD, KANSAS CITY, MO, 64114
10254, CARONDOLET STREET and STATE LINE ROAD, KANSAS CITY, MO, 64114
10255, CENTRAL STREET and NICHOLS ROAD, KANSAS CITY, MO, 64110
10256, CENTRAL STREET and NICHOLS ROAD, KANSAS CITY, MO, 64111
10257, CENTRAL STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64106
10258, CENTRAL STREET and W LINWOOD BOULEVARD, KANSAS CITY, MO, 64109
10259, CENTRAL STREET and WARD PK S, KANSAS CITY, MO, 64111
10260, CENTRAL STREET and WESTPORT ROAD, KANSAS CITY, MO, 64110
10261, CENTRAL STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64111
10262, CESAR CHAVEZ and MERCIER, KANSAS CITY, MO, 64108
10263, CHARLOTTE STREET and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64108
10264, CHARLOTTE STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64108
10265, CHARLOTTE STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64109
10266, CHARLOTTE STREET and I 70 HIGHWAY, KANSAS CITY, MO, 64106
10267, CHELSEA AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64123
10268, CHERRY STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64110
10269, CHERRY STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64111
10270, CHESTNUT AVENUE and E GREGORY BOULEVARD, KANSAS CITY, MO, 64130
10271, CHESTNUT AVENUE and E GREGORY BOULEVARD, KANSAS CITY, MO, 64131
10272, CHESTNUT AVENUE and E GREGORY BOULEVARD, KANSAS CITY, MO, 64132
10273, CHESTNUT AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64111
10274, CHESTNUT AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64126
10275, CHESTNUT AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64128
10276, CHESTNUT TRAFFICWAY and CLIFF DR, KANSAS CITY, MO, 64124
10277, CHESTNUT TRAFFICWAY and CLIFF DR, KANSAS CITY, MO, 64127
10278, CHESTNUT TRAFFICWAY and CLIFF DR, KANSAS CITY, MO, 64129
10279, CHESTNUT TRAFFICWAY and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64106
10280, CHESTNUT TRAFFICWAY and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64120
10281, CHESTNUT TRAFFICWAY and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127
10282, CHOUTEAU TFWY TO I 3 RA and I 35 S TO CHOUTE, KANSAS CITY, MO, 64119
10283, CI00 OF KANSAS CITY MISSOURI, KANSAS CITY, MO, 64112
10284, CIRCLE DR and EWING AVENUE, KANSAS CITY, MO, 64127
10285, CLARK AVENUE and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64110
10286, CLEVELAND AVE and INDEPENDENCE AVE, KANSAS CITY, MO, 64123
10287, CLEVELAND AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64130
10288, CLEVELAND AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64126
10289, CLEVELAND AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64128
10290, CLIFF DR and GLADSTONE BOULEVARD, KANSAS CITY, MO,
10291, CLINTON ROAD and GENESSEE STREET, KANSAS CITY, MO, 64108
10292, CLOON AVENUE and ELMWOOD AVENUE, KANSAS CITY, MO, 64123
10293, CLOON AVENUE and KENSINGTON AVENUE, KANSAS CITY, MO, 64123
10294, COLLEGE AVENUE and E GREGORY BOULEVARD, KANSAS CITY, MO,
10295, COLLEGE AVENUE and E RED BRIDGE ROAD, KANSAS CITY, MO, 64137
10296, COLORADO AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64128
10297, COLORADO AVENUE and E M 150 HIGHWAY, KANSAS CITY, MO, 64147
10298, COLORADO AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64123
10299, COLORADO AVENUE and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64129
10300, COLORADO AVENUE and SMART AVENUE, KANSAS CITY, MO, 64123
10301, COLORADO AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64123
10302, CREST DR and E GREGORY BOULEVARD, KANSAS CITY, MO, 64130
10303, CRYSTAL AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64126
10304, CYPRESS AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64128
10305, CYPRESS AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64130
10306, CYPRESS AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO,
10307, CYPRESS AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64109
10308, CYPRESS AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64127
10309, CYPRESS AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64123
10310, DELAWARE STREET and I 70-35 HIGHWAY, KANSAS CITY, MO, 64127
10311, DELMAR AVENUE and LONGVIEW ROAD, KANSAS CITY, MO, 64134
10312, DENVER AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64127
10313, DENVER AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
10314, DENVER AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64128
10315, DENVER AVENUE and RAYTOWN ROAD, KANSAS CITY, MO, 64127
10316, DONNELLY AVENUE and E US HIGHWAY 40, KANSAS CITY, MO, 64129
10317, DONNELLY AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64128
10318, DONNELLY AVENUE and WINNER ROAD, KANSAS CITY, MO, 64120
10319, DONNELLY AVENUE and WINNER ROAD, KANSAS CITY, MO, 64125
10320, DRURY AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64124
10321, DRURY AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
10322, DRURY AVENUE and PALOMA AVENUE, KANSAS CITY, MO, 64128
10323, DRURY AVENUE and SMART AVENUE, KANSAS CITY, MO, 64124
10324, DRURY AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64127
10325, DRURY AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64124
10326, E 1 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64102
10327, E 10 STREET and AGNES AVENUE, KANSAS CITY, MO, 64127
10328, E 10 STREET and ASKEW AVENUE, KANSAS CITY, MO, 64127
10329, E 10 STREET and BENNINGTON AVENUE, KANSAS CITY, MO, 64120
10330, E 10 STREET and BENNINGTON AVENUE, KANSAS CITY, MO, 64123
10331, E 10 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127
