statutdesc,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
COMMERCIALIZED SEX/OTHER,40A,40A Prostitution,Prostitution Offenses,Crimes against society
SEX OFFENSES/MOLESTING,11D,11D Fondling,Sex Offenses,Crimes against person
SEX OFFENSES/CHILD MOLESTING,11D,11D Fondling,Sex Offenses,Crimes against person
SEX OFFENSES/EXPOSURE,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
SEX OFFENSES/OBSCENE PHONE CALLS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
SEX OFFENSES/LEWD & LASCIVIOUS ACTS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
"SEX OFFENSES/OTHER (ADULTRY,INCEST,STAT RAPE,ETC)",36U,36U Other Sex Offenses,Sex Offenses,Crimes against person
SEX OFFENSES/PEEPING TOM,90H,90H Peeping Tom,Peeping Tom,Crimes against society
NARCOTIC DRUG LAWS/POSSESSION,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
NARCOTIC DRUG LAWS/SALE,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
NARCOTIC DRUG LAWS/POSSESSION OF PARAPHERNALIA,35B,35B Drug Equipment Violations,Drug/Narcotic Offenses,Crimes against society
NARCOTIC DRUG LAWS/PAINT OR GLUE SNIFFING,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
OFFENSES AGAINST FAMILY & CHILDREN/PHYSICAL ABUSE,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
OFFENSES AGAINST FAMILY & CHILDREN/NEGLECT,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
OFFENSES AGAINST FAMILY & CHILDREN/NON-SUPPORT,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
OFFENSES AGNST FAMILY & CHLDRN/DESERTION-ABANDON,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
OFFENSES AGNST FAMILY & CHLDRN/CUSTODIAL INTERFERE,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
OFFENSES AGAINST FAMILY & CHILDREN/OTHER,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
OFFENSES AGNST FAMILY & CHLDRN/CSTDL INTRFRNCE DV,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
DUI/FATAL ACCIDENT,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society
DUI/PERSONAL INJURY ACCIDENT,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society
DUI/PROPERTY DAMAGE ONLY ACCIDENT,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society
DUI/NON-ACCIDENT,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society
LIQUOR LAWS/FURNISHING LIQUOR TO MINOR,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
LIQUOR LAWS/MINOR IN POSSESSION,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
LIQUOR LAWS/DRINKING IN PUBLIC,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
LIQUOR LAWS/OTHER,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
INTOXICATION/DRUNK IN PUBLIC,90E,90E Drunkenness (except Driving Under the Influence),Drunkenness (except Driving Under the Influence),Crimes against society
INTOXICATION/TRANSPORTED TO LARC,90E,90E Drunkenness (except Driving Under the Influence),Drunkenness (except Driving Under the Influence),Crimes against society
INTOXICATION/OTHER,90E,90E Drunkenness (except Driving Under the Influence),Drunkenness (except Driving Under the Influence),Crimes against society
DISORDERLY CONDUCT/DISTURBING THE PEACE,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/FIGHTING,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/FAMILY FIGHT,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/OBSTRUCTING AN OFFICER,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/DISCHARGING FIREARMS OR FIREWKS,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/OTHER (TRESPASSING),90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society
RED TAG ISSUED,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/DISTURBING THE PEACE DV,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
DISORDERLY CONDUCT/OTHER (TRESPASSING) DV,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society
VAGRANCY/BEGGING,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
VAGRANCY/LOITERING,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
VAGRANCY/OTHER,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
OTHER OFFENSES/ESCAPE,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/PHONE CALLS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/BOMB THREATS,13C,13C Intimidation,Assault Offenses,Crimes against person
OTHER OFFENSES/OTHER FELONIES,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/OTHER MISDEMEANORS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/KIDNAPPING,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person
OTHER OFFENSES/ANIMAL ABUSE OR NEGLECT,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/OTHER FELONIES DV,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/OTHER MISDEMEANORS DV,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
OTHER OFFENSES/STALKING,13C,13C Intimidation,Assault Offenses,Crimes against person
ARREST FOR OTHER JURISDICTION/FELONY WARRANT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ARREST FOR OTHER JURISDICTION/MISD CRIMINL WARRANT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ARREST FOR OTHER JURISDICTION/MISD TRAFFIC WARRANT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ARREST FOR OTHER JURISDICTION/OTHER (OUTSIDE RAJ),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
JUVENILE VIOLATIONS/CURFEW,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
"JUVENILE VIOLATIONS/HEALTH, WELFARE, MORALS",90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
JUVENILE VIOLATIONS/OTHER,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
RUNAWAY JUVENILE/FROM PARENT OR GUARDIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
RUNAWAY JUVENILE/FROM INSTITUTION OR FOSTER HOME,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
RUNAWAY JUVENILE/ESCAPEE FROM INSTITUTION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/PEDESTRIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/OTHER MOTOR VEHC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/RAILROAD TRAIN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/BICYCLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/FIXED OBJECT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/HIT-AND-RUN/PEDESTRIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/HIT-AND-RUN/AUTOMOBILE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/HIT-AND-RUN/BICYCLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/HIT-AND-RUN/ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/FATAL/HIT-AND-RUN/FIXED OBJECT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/PEDESTRIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/OTHER MOTOR VEHC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/RR TRAIN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/BICYCLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/FIXED OBJECT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/PEDESTRIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/OTHER MOTOR VEHC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/RR TRAIN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/BICYCLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/FIXED OBJECT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/INJURY/HIT-AND-RUN/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/PEDESTRIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/OTHER MOTOR VEHC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/RR TRAIN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/BICYCLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/FIXED OBJECT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/PEDESTRIAN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/MOTOR VEHC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/RR TRAIN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/BICYCLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/WITH ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/FIXED OBJECT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC ACCIDENT/PRP DMG/HIT-AND-RUN/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
NON-TRAFFIC ACCIDENT/FATAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
NON-TRAFFIC ACCIDENT/PERSONAL INJURY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
NON-TRAFFIC ACCIDENT/PROPERTY DAMAGE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
NON-TRAFFIC ACCIDENT/FATAL-LEAVING THE SCENE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
NON-TRAFFIC ACCIDENT/PRSNL INJURY-LEAVING SCENE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
NON-TRAFFIC ACCIDENT/PRPRTY DMG-LEAVING SCENE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
OTHER VEHICLE ACCIDENTS/RAILROAD ACCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
OTHER VEHICLE ACCIDENTS/BICYCLE ACCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
OTHER VEHICLE ACCIDENTS/AIRPLANE ACCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
OTHER VEHICLE ACCIDENTS/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
TRAFFIC & MOTOR VEHC LAWS/MOVING VIOLATIONS,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
TRAFFIC & MOTOR VEHC LAWS/LICENSE & REGISTRATION,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
TRAFFIC & MOTOR VEHC LAWS/PARKING VIOLATIONS,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
TRAFFIC & MOTOR VEHC LAWS/ABANDONED VEHICLE,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
TRAFFIC & MOTOR VEHC LAWS/OTHER,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
TRAFFIC & MOTOR VEHC LAWS/ROAD RAGE,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
DEATH/NATURAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DEATH/ACCIDENTAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DEATH/SUICIDE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DEATH/UNKNOWN CAUSES,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MENTAL CASES/TRANSPORTED TO TREATMENT FACILITY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
MENTAL CASES/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SICK CARED FOR/TRANSPORTED TO MEDICAL FACILITY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SICK CARED FOR/ATTEMPTED SUICIDE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
SICK CARED FOR/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ANIMAL BITES/DOG,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ANIMAL BITES/OTHER DOMESTIC ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ANIMAL BITES/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIREARM ACCIDENT/HUNTING OR RECREATIONAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIREARM ACCIDENT/HOME,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIREARM ACCIDENT/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PERSONAL INJURY ACCIDENTS/RESIDENTIAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PERSONAL INJURY ACCIDENTS/OCCUPATIONAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PERSONAL INJURY ACCIDENTS/PUBLIC PROPERTY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PERSONAL INJURY ACCIDENTS/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISASTER/EXPLOSION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISASTER/FLOOD,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
DISASTER/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC HAZARD/NATURAL GAS LEAK,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC HAZARD/CHEMICAL SPILLS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC HAZARD/DOWN POWER LINE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC HAZARD/TRAFFIC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC HAZARD/OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
PUBLIC HAZARD/JUNKED MOTOR VEHICLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/RESIDENTIAL STRUCTURE (FIRE NOT ARSON),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/BUSINES STRUCTURE (FIRE NOT ARSON),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/RESIDENTIAL STRUCTURE (FIRE ORIGIN UNKNOWN),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/OTHER STRUCTURE (FIRE NOT ARSON),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/VEHICLE (FIRE NOT ARSON),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/OTHER (FIRE NOT ARSON),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/RESIDENTIAL STRUCTURE (FIRE ORIGIN UNKNOWN),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/BUSINESS STRUCTURE (FIRE ORIGIN UNKNOWN),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/OTHER STRUCTURE (FIRE ORIGIN UNKNOWN),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/VEHICLE (UNKNOWN ORIGIN),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
FIRE/OTHER (UNKNOWN ORIGIN),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
LOST/ADULT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
LOST/ANIMAL,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
LOST/PROPERTY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
LOST/JUVENILE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
