crm_cd,crime_code_description
850,INDECENT EXPOSURE
860,BATTERY WITH SEXUAL CONTACT
865,"DRUGS, TO A MINOR"
870,CHILD ABANDONMENT
880,DISRUPT SCHOOL
882,INCITING A RIOT
884,FAILURE TO DISPERSE
886,DISTURBING THE PEACE
888,TRESPASSING
890,FAILURE TO YIELD
900,VIOLATION OF COURT ORDER
901,VIOLATION OF RESTRAINING ORDER
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
903,CONTEMPT OF COURT
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
910,KIDNAPPING
920,KIDNAPPING - GRAND ATTEMPT
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
922,CHILD STEALING
924,TELEPHONE PROPERTY - DAMAGE
926,TRAIN WRECKING
928,THREATENING PHONE CALLS/LETTERS
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
932,PEEPING TOM
933,PROWLER
940,EXTORTION
942,BRIBERY
943,CRUELTY TO ANIMALS
944,CONSPIRACY
946,OTHER MISCELLANEOUS CRIME
948,BIGAMY
949,ILLEGAL DUMPING
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
952,ABORTION/ILLEGAL
954,CONTRIBUTING
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
