NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,CATEGORY,OFFENSEDESCRIPTION
09B,Crimes against person,Homicide Offenses,09B Negligent Manslaughter,NEGLIGENT HOMICIDE,NEGLIGENT HOMICIDE/MANSLAUGHTER -WEAPON
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,ABDUCT -NO RANSOM OR ASSAULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,ABDUCT -NO RANSOM OR ASSAULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP ADULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAP ADULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP ADULT FOR RANSOM
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP ADULT TO SEXUALLY ASSAULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAP ADULT TO SEXUALLY ASSAULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP HOSTAGE FOR ESCAPE
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAP HOSTAGE FOR ESCAPE
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP MINOR
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAP MINOR
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP MINOR FOR RANSOM
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAP MINOR FOR RANSOM
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAP MINOR TO SEXUALLY ASSAULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAP MINOR TO SEXUALLY ASSAULT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,KIDNAPPING ( OTHER)
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAPPING ( OTHER)
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,AGGRAVATED ASSAULT,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,ASSAULT,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,BURGLARY,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,DAMAGE TO PROPERTY,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,FRAUD,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,LARCENY,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,MISCELLANEOUS,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OUIL,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,ROBBERY,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,SEX OFFENSES,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,SEXUAL ASSAULT,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,STOLEN VEHICLE,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,WEAPONS OFFENSES,KIDNAPPING / ABDUCTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,DAMAGE TO PROPERTY,LARCENY - FROM A COIN OPERATED MACHINE
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,LARCENY,LARCENY - FROM A COIN OPERATED MACHINE
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPING,PARENTAL KIDNAP
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,PARENTAL KIDNAP
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,PARENTAL KIDNAPPING
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,WEAPONS OFFENSES,PARENTAL KIDNAPPING
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),BURGLARY,CSC 1ST DEGREE - OBJECT
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),ROBBERY,CSC 1ST DEGREE - OBJECT
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),SEXUAL ASSAULT,CSC 1ST DEGREE - OBJECT
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),LARCENY,CSC 1ST DEGREE - ORAL / ANAL
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),SEX OFFENSES,CSC 1ST DEGREE - ORAL / ANAL
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),SEXUAL ASSAULT,CSC 1ST DEGREE - ORAL / ANAL
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),AGGRAVATED ASSAULT,CSC 1ST DEGREE - PENIS / VAGINA
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),BURGLARY,CSC 1ST DEGREE - PENIS / VAGINA
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),FAMILY OFFENSE,CSC 1ST DEGREE - PENIS / VAGINA
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),LARCENY,CSC 1ST DEGREE - PENIS / VAGINA
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),ROBBERY,CSC 1ST DEGREE - PENIS / VAGINA
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),SEXUAL ASSAULT,CSC 1ST DEGREE - PENIS / VAGINA
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - FORCIBLE PURSESNATCHING
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - MOTOR VEHICLE (CAR JACKING)
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - MOTOR VEHICLE (CARJACKING)
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - RESIDENCE - GUN
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - RESIDENCE - OTHER WEAPON
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - RESIDENCE - STRONG ARM
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - STREET - GUN
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - STREET - OTHER WEAPON
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ROBBERY - STREET - STRONG ARM
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ROBBERY - BANKING TYPE INSTITUTION
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ROBBERY - BUSINESS - GUN
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ROBBERY - BUSINESS - OTHER WEAPON
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ROBBERY - BUSINESS - STRONG ARM
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ATTEMPTED ROBBERY -ARMED
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ATTEMPTED ROBBERY -UNARMED
12U,Crimes against property,Robbery,12U Other Robbery,AGGRAVATED ASSAULT,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,ARSON,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,ASSAULT,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,BURGLARY,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,DAMAGE TO PROPERTY,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,DANGEROUS DRUGS,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,FRAUD,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,LARCENY,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,OBSTRUCTING THE POLICE,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,OUIL,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,STOLEN PROPERTY,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,STOLEN VEHICLE,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,WEAPONS OFFENSES,ROBBERY
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ROBBERY - ARMED
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ROBBERY - STRONG ARM
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ROBBERY - UNARMED
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ROBBERY (OTHER)
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - FAMILY - GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - FAMILY - OTHER WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - FAMILY - SRONG ARM
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - MAYHEM
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - MURDER ATTEMPT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - NON-FAMILY - GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - NON-FAMILY - STRONG ARM
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - POLICE OFFICER - GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - POLICE OFFICER - OTHER WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - POLICE OFFICER - STRONG ARM
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - PUBLIC OFFICIAL - GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - PUBLIC OFFICIAL - OTHER WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGG/FEL ASSAULT - PUBLIC OFFICIAL - STRONG ARM
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ARSON,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,BURGLARY,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,DAMAGE TO PROPERTY,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,DANGEROUS DRUGS,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,DISORDERLY CONDUCT,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,FAMILY OFFENSE,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,FORGERY,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,FRAUD,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,LARCENY,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,MISCELLANEOUS,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,OBSTRUCTING JUDICIARY,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,OBSTRUCTING THE POLICE,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,OTHER,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,OUIL,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,SEX OFFENSES,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,STOLEN PROPERTY,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,STOLEN VEHICLE,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,WEAPONS OFFENSES,AGGRAVATED / FELONIOUS ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,ASSAULT (OTHER)
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,ASSAULT LESS THAN MURDER
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,ASSAULT W/INTENT TO MURDER
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,"ASSAULT, INTENT TO COMMIT FELONY"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,"ASSAULT, INTENT TO MAIM"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,FLEEING RESULTING IN ASSAULT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,MURDER - ATTEMPT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,AGGRAVATED ASSAULT,SHOOTING-NON FATAL
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,ASSAULT AND BATTERY (DOMESTIC)
13B,Crimes against person,Assault Offenses,13B Simple Assault,AGGRAVATED ASSAULT,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,ARSON,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,BURGLARY,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,DAMAGE TO PROPERTY,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,DANGEROUS DRUGS,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,DISORDERLY CONDUCT,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,FAMILY OFFENSE,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,FORGERY,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,FRAUD,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,LARCENY,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,MISCELLANEOUS,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,OBSTRUCTING JUDICIARY,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,OBSTRUCTING THE POLICE,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,OTHER,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,OUIL,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,STOLEN PROPERTY,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,STOLEN VEHICLE,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,WEAPONS OFFENSES,ASSAULT AND BATTERY/SIMPLE ASSAULT
13B,Crimes against person,Assault Offenses,13B Simple Assault,OBSTRUCTING THE POLICE,RESISTING OFFICER
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,AGGRAVATED STALKING (FELONY)
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,INTIMIDATION
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,INTIMIDATION - THREAT TO BOMB
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,INTIMIDATION - THREAT TO BURN
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,BURGLARY,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,DAMAGE TO PROPERTY,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,FAMILY OFFENSE,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,FRAUD,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,OBSTRUCTING JUDICIARY,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,STOLEN VEHICLE,INTIMIDATION / STALKING
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,STALKING - AGGREVATED (FELONY)
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,STALKING (MISDEMEANOR)
13C,Crimes against person,Assault Offenses,13C Intimidation,ASSAULT,STALKING A MINOR (FELONY)
200,Crimes against property,Arson,200 Arson,ARSON,ARSON
200,Crimes against property,Arson,200 Arson,BURGLARY,ARSON
200,Crimes against property,Arson,200 Arson,DAMAGE TO PROPERTY,ARSON
200,Crimes against property,Arson,200 Arson,LARCENY,ARSON
200,Crimes against property,Arson,200 Arson,MISCELLANEOUS,ARSON
200,Crimes against property,Arson,200 Arson,STOLEN PROPERTY,ARSON
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - ATTEMPT
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - BURNING OF INSURED PROPERTY (OWN)
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - BURNING OF PERSONAL PROPERTY
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - BURNING OF REAL PROPERTY
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - BUSINESS - DEFRAUD INSURER
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - BUSINESS - ENDANGERED LIFE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - PREPARATION TO BURN
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - PUBLIC BUILDING (INCLUDES HOTEL/MOTEL) - ENDANGERED LIFE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - RESIDENCE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - RESIDENCE - DEFRAUD INSURER
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - RESIDENCE - ENDANGERED LIFE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON - SETTING FIRE TO WOODS AND PRAIRIES
200,Crimes against property,Arson,200 Arson,ARSON,ARSON -BUSINESS
200,Crimes against property,Arson,200 Arson,ARSON,ARSON -PUBLIC BUILDING
200,Crimes against property,Arson,200 Arson,ARSON,ARSON -RESIDENCE
200,Crimes against property,Arson,200 Arson,ARSON,ARSON (OTHER)
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,DAMAGE TO PROPERTY,EXTORTION
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,LARCENY,EXTORTION
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION - THREAT TO DAMAGE PROPERTY
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION - THREAT TO INJURE PERSON
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION - THREAT TO INJURE REPUTATION
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION (OTHER)
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,THREAT OF INFORMING OF VIOLATION
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,THREAT TO ACCUSE PERSON OF CRIME
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - BURGLARY - FORCED ENTRY - RESIDENCE
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - ENTRY WITHOUT FORCE - RESIDENCE
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - FORCED ENTRY -  RESIDENCE
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,DANGEROUS DRUGS,BURGLARY - FORCED ENTRY -  RESIDENCE
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,STOLEN PROPERTY,BURGLARY - FORCED ENTRY -  RESIDENCE
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - NO FORCED ENTRY - RESIDENCE
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - BANKING TYPE INSTITUTION
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - BURGLARY - FORCED ENTRY - NON-RESIDENCE
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - ENTRY WITHOUT FORCE - NON-RESIDENCE
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - FORCED ENTRY -  NON-RESIDENCE
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - FORCED ENTRY - UNOCCUPIED BUILDING
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,BURGLARY - NO FORCED ENTRY - NON-RESIDENCE
