Premise Description,location_type,location_category
"BUS, SCHOOL, CHURCH",bus,transportation
CHARTER BUS AND PRIVATELY OWNED BUS,bus,transportation
GREYHOUND OR INTERSTATE BUS,bus,transportation
MTA BUS,bus,transportation
MUNICIPAL BUS LINE INCLUDES LADOT/DASH,bus,transportation
"OTHER INTERSTATE, CHARTER BUS",bus,transportation
MTA PROPERTY OR PARKING LOT,other transportation,transportation
TERMINAL,other transportation,transportation
"TERMINAL, OTHER THAN MTA",other transportation,transportation
AMTRAK TRAIN,rapid transit,transportation
BLUE LINE (ABOVE GROUND SURFACE TRAIN),rapid transit,transportation
GREEN LINE (I-105 FWY LEVEL TRAIN),rapid transit,transportation
LA UNION STATION (NOT LINE SPECIFIC),rapid transit,transportation
METROLINK TRAIN,rapid transit,transportation
MTA - BLUE LINE - 103RD/WATTS TOWERS,rapid transit,transportation
MTA - BLUE LINE - 7TH AND METRO CENTER,rapid transit,transportation
MTA - BLUE LINE - PICO,rapid transit,transportation
MTA - BLUE LINE - SAN PEDRO,rapid transit,transportation
MTA - BLUE LINE - VERNON,rapid transit,transportation
MTA - BLUE LINE - WASHINGTON,rapid transit,transportation
MTA - EXPO LINE - 7TH AND METRO CENTER,rapid transit,transportation
MTA - EXPO LINE - EXPO PARK/USC,rapid transit,transportation
MTA - EXPO LINE - EXPO/BUNDY,rapid transit,transportation
MTA - EXPO LINE - EXPO/CRENSHAW,rapid transit,transportation
MTA - EXPO LINE - EXPO/LA BREA,rapid transit,transportation
MTA - EXPO LINE - EXPO/SEPULVEDA,rapid transit,transportation
MTA - EXPO LINE - EXPO/VERMONT,rapid transit,transportation
MTA - EXPO LINE - EXPO/WESTERN,rapid transit,transportation
MTA - EXPO LINE - FARMDALE,rapid transit,transportation
MTA - EXPO LINE - JEFFERSON/USC,rapid transit,transportation
MTA - EXPO LINE - LA CIENEGA/JEFFERSON,rapid transit,transportation
MTA - EXPO LINE - LATTC/ORTHO INSTITUTE,rapid transit,transportation
MTA - EXPO LINE - PALMS,rapid transit,transportation
MTA - EXPO LINE - PICO,rapid transit,transportation
MTA - EXPO LINE - WESTWOOD/RANCHO PARK,rapid transit,transportation
MTA - GOLD LINE - CHINATOWN,rapid transit,transportation
MTA - GOLD LINE - HERITAGE SQ,rapid transit,transportation
MTA - GOLD LINE - HIGHLAND PARK,rapid transit,transportation
MTA - GOLD LINE - INDIANA,rapid transit,transportation
MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT,rapid transit,transportation
MTA - GOLD LINE - MARIACHI PLAZA,rapid transit,transportation
MTA - GOLD LINE - PICO/ALISO,rapid transit,transportation
MTA - GOLD LINE - SOTO,rapid transit,transportation
MTA - GOLD LINE - UNION STATION,rapid transit,transportation
MTA - GREEN LINE - AVALON,rapid transit,transportation
MTA - GREEN LINE - AVIATION/LAX,rapid transit,transportation
MTA - GREEN LINE - HARBOR FWY,rapid transit,transportation
MTA - ORANGE LINE - BALBOA,rapid transit,transportation
MTA - ORANGE LINE - CANOGA,rapid transit,transportation
MTA - ORANGE LINE - CHATSWORTH,rapid transit,transportation
MTA - ORANGE LINE - LAUREL CANYON,rapid transit,transportation
MTA - ORANGE LINE - NORTH HOLLYWOOD,rapid transit,transportation
MTA - ORANGE LINE - RESEDA,rapid transit,transportation
MTA - ORANGE LINE - SEPULVEDA,rapid transit,transportation
MTA - ORANGE LINE - TAMPA,rapid transit,transportation
MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,rapid transit,transportation
MTA - PURPLE LINE - PERSHING SQUARE,rapid transit,transportation
MTA - PURPLE LINE - UNION STATION,rapid transit,transportation
MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK,rapid transit,transportation
MTA - PURPLE LINE - WILSHIRE/VERMONT,rapid transit,transportation
MTA - PURPLE LINE - WILSHIRE/WESTERN,rapid transit,transportation
MTA - RED LINE - 7TH AND METRO CENTER,rapid transit,transportation
MTA - RED LINE - CIVIC CENTER/GRAND PARK,rapid transit,transportation
MTA - RED LINE - HOLLYWOOD/HIGHLAND,rapid transit,transportation
MTA - RED LINE - HOLLYWOOD/VINE,rapid transit,transportation
MTA - RED LINE - HOLLYWOOD/WESTERN,rapid transit,transportation
MTA - RED LINE - NORTH HOLLYWOOD,rapid transit,transportation
MTA - RED LINE - PERSHING SQUARE,rapid transit,transportation
MTA - RED LINE - UNION STATION,rapid transit,transportation
MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,rapid transit,transportation
MTA - RED LINE - VERMONT/BEVERLY,rapid transit,transportation
MTA - RED LINE - VERMONT/SANTA MONICA,rapid transit,transportation
MTA - RED LINE - VERMONT/SUNSET,rapid transit,transportation
MTA - RED LINE - WESTLAKE/MACARTHUR PARK,rapid transit,transportation
MTA - RED LINE - WILSHIRE/VERMONT,rapid transit,transportation
MTA - SILVER LINE - HARBOR FWY,rapid transit,transportation
MTA - SILVER LINE - UNION STATION,rapid transit,transportation
ORANGE LINE PARKING LOT,rapid transit,transportation
"OTHER RR TRAIN (UNION PAC, SANTE FE ETC",rapid transit,transportation
REDLINE (SUBWAY TRAIN),rapid transit,transportation
REDLINE ENTRANCE/EXIT,rapid transit,transportation
REDLINE SUBWAY MEZZANINE,rapid transit,transportation
REDLINE SUBWAY PLATFORM,rapid transit,transportation
REDLINE SUBWAY RAIL CAR (INSIDE TRAIN),rapid transit,transportation
REDLINE SUBWAY TUNNEL,rapid transit,transportation
TRAIN,rapid transit,transportation
TRAIN DEPOT,rapid transit,transportation
"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",rapid transit,transportation
TRAIN TRACKS,rapid transit,transportation
"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",rapid transit,transportation
TRAM/STREETCAR(BOXLIKE WAG ON RAILS)*,rapid transit,transportation
ENERGY PLANT/FACILITY,utility,utility
NUCLEAR FACILITY,utility,utility
MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,commercial vehicle,vehicle
TAXI,commercial vehicle,vehicle
"TRUCK, COMMERICAL",commercial vehicle,vehicle
"VEHICLE, PASSENGER/TRUCK",commercial vehicle,vehicle
7TH AND METRO CENTER (NOT LINE SPECIFIC),rapid transit,transportation
ABANDONED BUILDING ABANDONED HOUSE,abandoned,other
ABATEMENT LOCATION,other,other
AUTOMATED TELLER MACHINE (ATM),finance,commercial
CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),religious,other
ELEVATOR,other,other
ESCALATOR*,other,other
MAIL BOX,other,other
MOSQUE*,religious,other
OTHER PLACE OF WORSHIP,religious,other
PARKING UNDERGROUND/BUILDING,vehicle parking,open space
PAY PHONE,other,other
PUBLIC RESTROOM(INDOORS-INSIDE),other,other
PUBLIC RESTROOM/OUTSIDE*,other,other
RETIRED (DUPLICATE) DO NOT USE THIS CODE,other,other
SEWAGE FACILITY/PIPE,other,other
SYNAGOGUE/TEMPLE,religious,other
TACTICAL SIGNIFICANCE,other,other
TRASH CAN/TRASH DUMPSTER,other,other
WEBSITE,other,other
